onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544725100	1.191547871	3	1	1	4	9	1	1	3	3	4	7	NaN	NaN	NaN	NaN
1544725101	1.191594124	3	2	1	4	9	1	2	3	3	4	7	NaN	NaN	NaN	NaN
1544725103	1.191710949	3	3	1	4	9	1	3	3	3	4	7	NaN	NaN	NaN	NaN
1544725104	1.191806078	3	4	1	4	9	1	4	3	3	4	7	NaN	NaN	NaN	NaN
1544725105	1.191769838	3	5	1	4	9	1	5	3	3	4	7	NaN	NaN	NaN	NaN
1544725106	1.19173789	3	6	1	4	9	1	6	3	3	4	7	NaN	NaN	NaN	NaN
1544725107	1.191776991	3	7	1	4	9	1	7	3	3	4	7	NaN	NaN	NaN	NaN
1544725109	1.191591978	3	8	1	4	9	1	8	3	3	4	7	NaN	NaN	NaN	NaN
1544725110	1.191709995	3	9	1	4	9	1	9	3	3	4	7	NaN	NaN	NaN	NaN
NaN	NaN	3	10	1	4	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544725111	1.199213982	3	11	1	4	1	2	1	2	2	4	7	NaN	1544725112	NaN	NaN
1544725112	1.200046778	3	12	1	4	1	2	2	2	2	4	7	1	1544725113	0.5670361519	0.5670361519
1544725114	1.200001001	3	13	1	4	1	2	3	1	1	3	7	1	1544725114	0.6501522064	0.6501522064
1544725115	1.200021982	3	14	1	4	1	2	4	2	1	3	7	1	1544725115	0.7751948833	0.7751948833
1544725116	1.200108051	3	15	1	4	1	2	5	2	2	4	7	0	1544725116	0.6079819202	0.6079819202
1544725117	1.200073004	3	16	1	4	1	2	6	1	2	4	7	1	1544725118	0.5921149254	0.5921149254
1544725119	1.191734076	3	17	1	4	1	2	7	1	2	4	7	1	1544725119	0.6335709095	0.6335709095
1544725120	1.200096846	3	18	1	4	1	2	8	1	2	3	7	1	1544725120	0.8096318245	0.8096318245
1544725121	1.200016022	3	19	1	4	1	2	9	1	1	4	7	0	1544725121	0.6585018635	0.6585018635
1544725122	1.200098991	3	20	1	4	1	2	10	2	1	4	7	1	1544725122	0.7502839565	0.7502839565
1544725123	1.200070143	3	21	1	4	1	2	11	1	2	5	7	0	1544725124	0.6678929329	0.6678929329
1544725125	1.191730022	3	22	1	4	1	2	12	1	2	5	7	1	1544725125	0.6087129116	0.6087129116
1544725126	1.200068951	3	23	1	4	1	2	13	2	1	5	7	1	1544725126	0.6337559223	0.6337559223
1544725127	1.191757202	3	24	1	4	1	2	14	1	1	4	7	1	1544725127	0.6421470642	0.6421470642
1544725128	1.200019121	3	25	1	4	1	2	15	1	1	4	7	1	1544725128	0.7252430916	0.7252430916
1544725129	1.199893951	3	26	1	4	1	2	16	2	2	4	7	1	1544725130	0.7335889339	0.7335889339
1544725131	1.200139999	3	27	1	4	1	2	17	2	2	5	7	0	1544725131	0.7420158386	0.7420158386
1544725132	1.199992895	3	28	1	4	1	2	18	2	2	5	7	1	1544725132	0.7084200382	0.7084200382
1544725133	1.200042963	3	29	1	4	1	2	19	1	2	5	7	NaN	1544725133	NaN	NaN
1544725134	1.200031042	3	30	1	4	1	2	20	1	2	5	7	1	1544725134	0.6416990757	0.6416990757
1544725135	1.200048923	3	31	1	4	1	2	21	2	2	4	7	1	1544725136	0.7918241024	0.7918241024
1544725137	1.200043201	3	32	1	4	1	2	22	1	1	4	7	NaN	1544725137	NaN	NaN
1544725138	1.20003891	3	33	1	4	1	2	23	1	2	4	7	1	1544725138	0.7417490482	0.7417490482
