onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544725780	1.191469908	5	1	1	1	9	1	1	3	3	4	6	NaN	NaN	NaN	NaN
1544725782	1.191622019	5	2	1	1	9	1	2	3	3	4	6	NaN	NaN	NaN	NaN
1544725783	1.191706896	5	3	1	1	9	1	3	3	3	4	6	NaN	NaN	NaN	NaN
1544725784	1.191797018	5	4	1	1	9	1	4	3	3	4	6	NaN	NaN	NaN	NaN
1544725785	1.191703081	5	5	1	1	9	1	5	3	3	4	6	NaN	NaN	NaN	NaN
1544725786	1.191666842	5	6	1	1	9	1	6	3	3	4	6	NaN	NaN	NaN	NaN
1544725788	1.19178009	5	7	1	1	9	1	7	3	3	4	6	NaN	NaN	NaN	NaN
1544725789	1.191594124	5	8	1	1	9	1	8	3	3	4	6	NaN	NaN	NaN	NaN
1544725790	1.191710949	5	9	1	1	9	1	9	3	3	4	6	NaN	NaN	NaN	NaN
NaN	NaN	5	10	1	1	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544725791	1.190931082	5	11	1	1	1	2	1	1	1	4	6	1	1544725792	0.875232935	0.875232935
1544725792	1.191651821	5	12	1	1	1	2	2	2	1	3	6	1	1544725793	0.6418068409	0.6418068409
1544725794	1.191699028	5	13	1	1	1	2	3	1	2	4	6	0	1544725794	0.7501411438	0.7501411438
1544725795	1.191709042	5	14	1	1	1	2	4	1	1	4	6	1	1544725795	0.5918118954	0.5918118954
1544725796	1.200004101	5	15	1	1	1	2	5	2	2	5	6	0	1544725796	0.6497900486	0.6497900486
1544725797	1.200023174	5	16	1	1	1	2	6	2	1	5	6	1	1544725798	0.6167559624	0.6167559624
1544725798	1.191812992	5	17	1	1	1	2	7	2	1	5	6	1	1544725799	0.6418678761	0.6418678761
1544725800	1.191603899	5	18	1	1	1	2	8	1	2	4	6	1	1544725800	0.6504170895	0.6504170895
1544725801	1.19166398	5	19	1	1	1	2	9	2	1	4	6	1	1544725801	0.7097361088	0.7097361088
1544725802	1.19167304	5	20	1	1	1	2	10	2	2	4	6	1	1544725802	0.8337190151	0.8337190151
1544725803	1.200059175	5	21	1	1	1	2	11	1	1	3	6	1	1544725804	0.6845669746	0.6845669746
