onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544724794	1.191433907	2	1	2	4	9	1	1	3	3	4	5	NaN	NaN	NaN	NaN
1544724795	1.191666842	2	2	2	4	9	1	2	3	3	4	5	NaN	NaN	NaN	NaN
1544724796	1.191583157	2	3	2	4	9	1	3	3	3	4	5	NaN	NaN	NaN	NaN
1544724798	1.191729069	2	4	2	4	9	1	4	3	3	4	5	NaN	NaN	NaN	NaN
1544724799	1.191728115	2	5	2	4	9	1	5	3	3	4	5	NaN	NaN	NaN	NaN
1544724800	1.191770077	2	6	2	4	9	1	6	3	3	4	5	NaN	NaN	NaN	NaN
1544724801	1.191817045	2	7	2	4	9	1	7	3	3	4	5	NaN	NaN	NaN	NaN
1544724802	1.191640139	2	8	2	4	9	1	8	3	3	4	5	NaN	NaN	NaN	NaN
1544724804	1.191720009	2	9	2	4	9	1	9	3	3	4	5	NaN	NaN	NaN	NaN
NaN	NaN	2	10	2	4	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544724806	1.191035986	2	11	2	4	1	2	1	2	1	4	5	NaN	1544724806	NaN	NaN
1544724807	1.200049877	2	12	2	4	1	2	2	1	1	4	6	0	1544724807	0.4587659836	0.4587659836
1544724808	1.200150967	2	13	2	4	1	2	3	1	2	4	6	1	1544724809	0.533536911	0.533536911
1544724810	1.20005703	2	14	2	4	1	2	4	2	1	4	7	0	1544724810	0.6502709389	0.6502709389
1544724811	1.191712856	2	15	2	4	1	2	5	2	2	4	7	1	1544724811	0.7580759525	0.7580759525
1544724812	1.20004797	2	16	2	4	1	2	6	1	1	4	7	1	1544724812	0.7501480579	0.7501480579
1544724813	1.200082064	2	17	2	4	1	2	7	1	2	4	7	1	1544724813	0.9095730782	0.9095730782
1544724814	1.200057983	2	18	2	4	1	2	8	2	1	4	6	1	1544724815	0.8587908745	0.8587908745
1544724816	1.191656828	2	19	2	4	1	2	9	2	1	4	6	NaN	1544724816	NaN	NaN
1544724817	1.191756964	2	20	2	4	1	2	10	2	2	4	6	1	1544724817	0.8335590363	0.8335590363
1544724818	1.191754103	2	21	2	4	1	2	11	2	2	4	5	1	1544724818	0.8086409569	0.8086409569
1544724819	1.200002193	2	22	2	4	1	2	12	2	2	4	5	1	1544724820	0.8837590218	0.8837590218
1544724820	1.200036049	2	23	2	4	1	2	13	1	2	4	5	1	1544724821	0.8251430988	0.8251430988
1544724822	1.191657066	2	24	2	4	1	2	14	2	1	4	4	1	1544724822	0.8005478382	0.8005478382
1544724823	1.200021029	2	25	2	4	1	2	15	1	1	4	4	1	1544724823	0.7838029861	0.7838029861
1544724824	1.200082064	2	26	2	4	1	2	16	1	1	4	5	0	1544724824	0.8003220558	0.8003220558
1544724825	1.200050116	2	27	2	4	1	2	17	1	1	4	5	NaN	1544724826	NaN	NaN
1544724826	1.200015068	2	28	2	4	1	2	18	1	1	4	5	NaN	1544724827	NaN	NaN
1544724828	1.200092793	2	29	2	4	1	2	19	1	2	4	5	NaN	1544724828	NaN	NaN
1544724829	1.191730976	2	30	2	4	1	2	20	1	2	4	5	NaN	1544724829	NaN	NaN
1544724830	1.200109959	2	31	2	4	1	2	21	1	1	4	5	1	1544724830	0.2928180695	0.2928180695
1544724831	1.191753864	2	32	2	4	1	2	22	1	2	4	5	1	1544724832	0.5834619999	0.5834619999
1544724832	1.200026035	2	33	2	4	1	2	23	2	2	4	5	NaN	1544724833	NaN	NaN
1544724834	1.20005393	2	34	2	4	1	2	24	2	1	4	5	NaN	1544724834	NaN	NaN
1544724835	1.200075865	2	35	2	4	1	2	25	2	1	4	4	1	1544724835	0.7670381069	0.7670381069
1544724836	1.200032949	2	36	2	4	1	2	26	1	2	4	4	1	1544724836	0.7834379673	0.7834379673
1544724837	1.191732883	2	37	2	4	1	2	27	1	1	4	5	0	1544724838	0.7502019405	0.7502019405
1544724839	1.200073957	2	38	2	4	1	2	28	2	2	4	5	1	1544724839	0.7751100063	0.7751100063
1544724840	1.200041056	2	39	2	4	1	2	29	2	1	4	5	0	1544724840	0.9086871147	0.9086871147
1544724841	1.200068951	2	40	2	4	1	2	30	1	1	4	6	NaN	1544724841	NaN	NaN
1544724842	1.200079918	2	41	2	4	1	2	31	1	1	4	6	NaN	1544724842	NaN	NaN
1544724843	1.191721916	2	42	2	4	1	2	32	2	2	4	6	NaN	1544724844	NaN	NaN
NaN	NaN	2	43	2	4	9	2	33	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544724846	1.191438913	2	44	2	4	9	3	1	3	3	4	6	NaN	NaN	NaN	NaN
1544724847	1.191429853	2	45	2	4	9	3	2	3	3	4	6	NaN	NaN	NaN	NaN
1544724848	1.191733837	2	46	2	4	9	3	3	3	3	4	6	NaN	NaN	NaN	NaN
1544724849	1.191751003	2	47	2	4	9	3	4	3	3	4	6	NaN	NaN	NaN	NaN
1544724850	1.191669941	2	48	2	4	9	3	5	3	3	4	6	NaN	NaN	NaN	NaN
1544724852	1.191693068	2	49	2	4	9	3	6	3	3	4	6	NaN	NaN	NaN	NaN
1544724853	1.191758871	2	50	2	4	9	3	7	3	3	4	6	NaN	NaN	NaN	NaN
1544724854	1.191635132	2	51	2	4	9	3	8	3	3	4	6	NaN	NaN	NaN	NaN
1544724855	1.191768169	2	52	2	4	9	3	9	3	3	4	6	NaN	NaN	NaN	NaN
NaN	NaN	2	53	2	4	9	3	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544724857	1.208083868	2	54	2	4	3	4	1	1	2	4	7	0	1544724857	0.4504320621	0.4504320621
1544724858	1.191653967	2	55	2	4	3	4	2	2	1	4	7	1	1544724858	0.7417969704	0.7417969704
1544724859	1.200008869	2	56	2	4	3	4	3	1	2	4	7	1	1544724859	0.8587770462	0.8587770462
