onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544726036	1.191579103	6	1	2	1	9	1	1	3	3	2	6	NaN	NaN	NaN	NaN
1544726037	1.191694021	6	2	2	1	9	1	2	3	3	2	6	NaN	NaN	NaN	NaN
1544726039	1.191800117	6	3	2	1	9	1	3	3	3	2	6	NaN	NaN	NaN	NaN
1544726040	1.191807032	6	4	2	1	9	1	4	3	3	2	6	NaN	NaN	NaN	NaN
1544726041	1.191769123	6	5	2	1	9	1	5	3	3	2	6	NaN	NaN	NaN	NaN
1544726042	1.191745996	6	6	2	1	9	1	6	3	3	2	6	NaN	NaN	NaN	NaN
1544726043	1.191804171	6	7	2	1	9	1	7	3	3	2	6	NaN	NaN	NaN	NaN
1544726045	1.191634893	6	8	2	1	9	1	8	3	3	2	6	NaN	NaN	NaN	NaN
1544726046	1.191790104	6	9	2	1	9	1	9	3	3	2	6	NaN	NaN	NaN	NaN
NaN	NaN	6	10	2	1	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726047	1.198880911	6	11	2	1	1	2	1	2	2	2	5	1	1544726047	0.7836120129	0.7836120129
1544726048	1.191730022	6	12	2	1	1	2	2	2	2	2	5	1	1544726049	0.7501437664	0.7501437664
1544726050	1.191730022	6	13	2	1	1	2	3	2	2	2	5	1	1544726050	0.7334110737	0.7334110737
1544726051	1.191754103	6	14	2	1	1	2	4	2	1	2	4	1	1544726051	0.6751480103	0.6751480103
1544726052	1.191753864	6	15	2	1	1	2	5	2	1	2	4	1	1544726052	0.8247220516	0.8247220516
1544726053	1.191800833	6	16	2	1	1	2	6	1	2	2	4	1	1544726053	0.6584670544	0.6584670544
1544726054	1.20005393	6	17	2	1	1	2	7	1	2	2	3	1	1544726055	0.6762549877	0.6762549877
1544726056	1.200082064	6	18	2	1	1	2	8	1	2	2	3	1	1544726056	0.6172361374	0.6172361374
1544726057	1.191738844	6	19	2	1	1	2	9	1	2	2	3	1	1544726057	0.7001438141	0.7001438141
1544726058	1.191613913	6	20	2	1	1	2	10	1	1	2	2	1	1544726058	0.7335040569	0.7335040569
1544726059	1.200084925	6	21	2	1	1	2	11	2	2	2	2	1	1544726060	0.7667210102	0.7667210102
1544726060	1.191756964	6	22	2	1	1	2	12	1	1	2	2	1	1544726061	0.6835989952	0.6835989952
1544726062	1.200103045	6	23	2	1	1	2	13	2	2	2	2	1	1544726062	0.558508873	0.558508873
1544726063	1.200083971	6	24	2	1	1	2	14	1	1	2	2	NaN	1544726063	NaN	NaN
1544726064	1.199919939	6	25	2	1	1	2	15	2	1	2	2	NaN	1544726064	NaN	NaN
1544726065	1.191699982	6	26	2	1	1	2	16	2	2	2	2	NaN	1544726066	NaN	NaN
1544726066	1.191655874	6	27	2	1	1	2	17	2	1	2	2	NaN	1544726067	NaN	NaN
1544726068	1.191824913	6	28	2	1	1	2	18	1	1	2	2	NaN	1544726068	NaN	NaN
NaN	NaN	6	29	2	1	9	2	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726070	1.19148922	6	30	2	1	9	3	1	3	3	2	2	NaN	NaN	NaN	NaN
1544726071	1.19138217	6	31	2	1	9	3	2	3	3	2	2	NaN	NaN	NaN	NaN
1544726072	1.191714048	6	32	2	1	9	3	3	3	3	2	2	NaN	NaN	NaN	NaN
1544726073	1.191661119	6	33	2	1	9	3	4	3	3	2	2	NaN	NaN	NaN	NaN
1544726075	1.191769123	6	34	2	1	9	3	5	3	3	2	2	NaN	NaN	NaN	NaN
1544726076	1.191762924	6	35	2	1	9	3	6	3	3	2	2	NaN	NaN	NaN	NaN
1544726077	1.19178915	6	36	2	1	9	3	7	3	3	2	2	NaN	NaN	NaN	NaN
1544726078	1.191527128	6	37	2	1	9	3	8	3	3	2	2	NaN	NaN	NaN	NaN
1544726079	1.191720009	6	38	2	1	9	3	9	3	3	2	2	NaN	NaN	NaN	NaN
NaN	NaN	6	39	2	1	9	3	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726081	1.199608088	6	40	2	1	5	4	1	2	1	2	2	1	1544726081	0.6094908714	0.6094908714
1544726082	1.19164896	6	41	2	1	5	4	2	1	2	2	2	1	1544726082	0.8251290321	0.8251290321
1544726083	1.19166398	6	42	2	1	5	4	3	2	1	2	3	0	1544726083	0.825414896	0.825414896
1544726084	1.19175601	6	43	2	1	5	4	4	1	2	2	3	NaN	1544726085	NaN	NaN
1544726086	1.191787004	6	44	2	1	5	4	5	1	2	2	3	1	1544726086	0.6416890621	0.6416890621
1544726087	1.191779852	6	45	2	1	5	4	6	2	1	2	3	1	1544726087	0.508754015	0.508754015
1544726088	1.191757202	6	46	2	1	5	4	7	2	1	2	4	0	1544726088	0.5668311119	0.5668311119
1544726089	1.191715002	6	47	2	1	5	4	8	1	2	2	4	1	1544726089	0.6751298904	0.6751298904
1544726090	1.191733122	6	48	2	1	5	4	9	2	2	2	4	1	1544726091	0.5750918388	0.5750918388
1544726092	1.191752911	6	49	2	1	5	4	10	2	1	2	5	0	1544726092	0.6334218979	0.6334218979
1544726093	1.19174695	6	50	2	1	5	4	11	2	1	2	6	0	1544726093	0.5751199722	0.5751199722
1544726094	1.191751957	6	51	2	1	5	4	12	2	1	2	6	1	1544726094	0.6251881123	0.6251881123
1544726095	1.191747189	6	52	2	1	5	4	13	2	1	2	6	1	1544726095	0.6418070793	0.6418070793
1544726096	1.191716909	6	53	2	1	5	4	14	1	1	2	7	0	1544726097	0.5669898987	0.5669898987
1544726098	1.200196981	6	54	2	1	5	4	15	1	1	2	7	1	1544726098	0.633482933	0.633482933
1544726099	1.191635132	6	55	2	1	5	4	16	2	2	2	7	1	1544726099	0.5084350109	0.5084350109
1544726100	1.191489935	6	56	2	1	5	4	17	2	2	2	6	1	1544726100	0.5084378719	0.5084378719
1544726101	1.191735029	6	57	2	1	5	4	18	2	1	2	7	0	1544726101	0.4584610462	0.4584610462
NaN	NaN	6	58	2	1	9	4	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726103	1.191749096	6	59	2	1	9	5	1	3	3	2	7	NaN	NaN	NaN	NaN
1544726105	1.191675901	6	60	2	1	9	5	2	3	3	2	7	NaN	NaN	NaN	NaN
1544726106	1.191751003	6	61	2	1	9	5	3	3	3	2	7	NaN	NaN	NaN	NaN
1544726107	1.191752195	6	62	2	1	9	5	4	3	3	2	7	NaN	NaN	NaN	NaN
1544726108	1.191760063	6	63	2	1	9	5	5	3	3	2	7	NaN	NaN	NaN	NaN
1544726109	1.191754103	6	64	2	1	9	5	6	3	3	2	7	NaN	NaN	NaN	NaN
1544726111	1.19173193	6	65	2	1	9	5	7	3	3	2	7	NaN	NaN	NaN	NaN
1544726112	1.191689968	6	66	2	1	9	5	8	3	3	2	7	NaN	NaN	NaN	NaN
1544726113	1.19173193	6	67	2	1	9	5	9	3	3	2	7	NaN	NaN	NaN	NaN
NaN	NaN	6	68	2	1	9	5	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726114	1.19175005	6	69	2	1	1	6	1	2	2	2	7	1	1544726115	0.3339240551	0.3339240551
1544726116	1.191694975	6	70	2	1	1	6	2	2	1	2	7	1	1544726116	0.5835039616	0.5835039616
1544726117	1.191749096	6	71	2	1	1	6	3	2	2	2	6	1	1544726117	0.5584290028	0.5584290028
1544726118	1.200061083	6	72	2	1	1	6	4	1	1	2	6	1	1544726118	0.641865015	0.641865015
1544726119	1.191730022	6	73	2	1	1	6	5	2	1	2	6	1	1544726119	0.6918349266	0.6918349266
1544726120	1.191735983	6	74	2	1	1	6	6	1	1	2	5	1	1544726121	0.6834509373	0.6834509373
1544726122	1.200093985	6	75	2	1	1	6	7	1	1	2	6	0	1544726122	0.7334840298	0.7334840298
1544726123	1.200040102	6	76	2	1	1	6	8	1	1	2	6	1	1544726123	0.7251260281	0.7251260281
1544726124	1.191801071	6	77	2	1	1	6	9	2	2	2	6	1	1544726124	0.6334471703	0.6334471703
1544726125	1.191739082	6	78	2	1	1	6	10	2	1	2	7	0	1544726126	0.6917979717	0.6917979717
1544726126	1.191808939	6	79	2	1	1	6	11	1	1	2	7	1	1544726127	0.5918638706	0.5918638706
1544726128	1.200166941	6	80	2	1	1	6	12	1	1	2	7	1	1544726128	0.6500999928	0.6500999928
1544726129	1.191787004	6	81	2	1	1	6	13	2	2	2	6	1	1544726129	0.6501159668	0.6501159668
1544726130	1.191803932	6	82	2	1	1	6	14	2	2	2	6	1	1544726130	0.8416819572	0.8416819572
1544726131	1.200070143	6	83	2	1	1	6	15	1	1	2	6	1	1544726132	0.6834430695	0.6834430695
1544726132	1.191739082	6	84	2	1	1	6	16	2	1	2	5	1	1544726133	0.6250851154	0.6250851154
1544726134	1.191729069	6	85	2	1	1	6	17	2	2	2	5	1	1544726134	0.5918121338	0.5918121338
1544726135	1.191725016	6	86	2	1	1	6	18	1	2	2	5	1	1544726135	0.5334219933	0.5334219933
NaN	NaN	6	87	2	1	9	6	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726137	1.19174695	6	88	2	1	9	7	1	3	3	2	5	NaN	NaN	NaN	NaN
1544726138	1.191694021	6	89	2	1	9	7	2	3	3	2	5	NaN	NaN	NaN	NaN
1544726139	1.191776991	6	90	2	1	9	7	3	3	3	2	5	NaN	NaN	NaN	NaN
1544726141	1.191751003	6	91	2	1	9	7	4	3	3	2	5	NaN	NaN	NaN	NaN
1544726142	1.191757202	6	92	2	1	9	7	5	3	3	2	5	NaN	NaN	NaN	NaN
1544726143	1.191709042	6	93	2	1	9	7	6	3	3	2	5	NaN	NaN	NaN	NaN
1544726144	1.191725016	6	94	2	1	9	7	7	3	3	2	5	NaN	NaN	NaN	NaN
1544726145	1.191735029	6	95	2	1	9	7	8	3	3	2	5	NaN	NaN	NaN	NaN
1544726147	1.191730976	6	96	2	1	9	7	9	3	3	2	5	NaN	NaN	NaN	NaN
NaN	NaN	6	97	2	1	9	7	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726148	1.20014596	6	98	2	1	5	8	1	1	1	2	4	1	1544726148	0.7421000004	0.7421000004
1544726149	1.191807985	6	99	2	1	5	8	2	1	2	2	5	0	1544726149	0.8335778713	0.8335778713
1544726150	1.191702127	6	100	2	1	5	8	3	1	1	2	6	0	1544726151	0.841755867	0.841755867
1544726152	1.191710949	6	101	2	1	5	8	4	1	1	2	6	1	1544726152	0.6834819317	0.6834819317
1544726153	1.191739082	6	102	2	1	5	8	5	2	2	2	6	1	1544726153	0.675162077	0.675162077
1544726154	1.191744089	6	103	2	1	5	8	6	1	2	2	5	1	1544726154	0.7084269524	0.7084269524
1544726155	1.19175005	6	104	2	1	5	8	7	2	2	2	5	1	1544726155	0.641780138	0.641780138
1544726156	1.191690922	6	105	2	1	5	8	8	1	1	2	5	1	1544726157	0.7167761326	0.7167761326
1544726158	1.191756964	6	106	2	1	5	8	9	2	1	2	4	1	1544726158	0.6250810623	0.6250810623
1544726159	1.191716194	6	107	2	1	5	8	10	2	2	2	4	1	1544726159	0.625164032	0.625164032
1544726160	1.191734076	6	108	2	1	5	8	11	2	1	2	4	1	1544726160	0.5751860142	0.5751860142
1544726161	1.191802979	6	109	2	1	5	8	12	2	2	2	3	1	1544726161	0.5917150974	0.5917150974
1544726162	1.191682816	6	110	2	1	5	8	13	2	2	2	3	1	1544726163	0.5833311081	0.5833311081
1544726164	1.191673994	6	111	2	1	5	8	14	1	1	2	3	1	1544726164	0.7001190186	0.7001190186
1544726165	1.191679001	6	112	2	1	5	8	15	2	2	2	4	0	1544726165	0.7584350109	0.7584350109
1544726166	1.191766977	6	113	2	1	5	8	16	2	1	2	5	0	1544726166	0.7501869202	0.7501869202
1544726167	1.191794157	6	114	2	1	5	8	17	1	2	2	5	1	1544726167	0.6667780876	0.6667780876
1544726168	1.191747904	6	115	2	1	5	8	18	1	2	2	5	1	1544726169	0.6501870155	0.6501870155
