onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544726553	1.191426992	8	1	2	3	9	1	1	3	3	7	5	NaN	NaN	NaN	NaN
1544726554	1.191666842	8	2	2	3	9	1	2	3	3	7	5	NaN	NaN	NaN	NaN
1544726556	1.19166708	8	3	2	3	9	1	3	3	3	7	5	NaN	NaN	NaN	NaN
1544726557	1.191604853	8	4	2	3	9	1	4	3	3	7	5	NaN	NaN	NaN	NaN
1544726558	1.191817999	8	5	2	3	9	1	5	3	3	7	5	NaN	NaN	NaN	NaN
1544726559	1.191688061	8	6	2	3	9	1	6	3	3	7	5	NaN	NaN	NaN	NaN
1544726560	1.191797972	8	7	2	3	9	1	7	3	3	7	5	NaN	NaN	NaN	NaN
1544726562	1.191643	8	8	2	3	9	1	8	3	3	7	5	NaN	NaN	NaN	NaN
1544726563	1.191704035	8	9	2	3	9	1	9	3	3	7	5	NaN	NaN	NaN	NaN
NaN	NaN	8	10	2	3	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726564	1.199207067	8	11	2	3	1	2	1	2	1	7	5	NaN	1544726565	NaN	NaN
1544726565	1.191704988	8	12	2	3	1	2	2	2	2	7	5	1	1544726566	0.8670349121	0.8670349121
1544726567	1.191815138	8	13	2	3	1	2	3	1	1	7	5	1	1544726567	0.7585000992	0.7585000992
1544726568	1.191755056	8	14	2	3	1	2	4	2	1	7	5	NaN	1544726568	NaN	NaN
1544726569	1.191723824	8	15	2	3	1	2	5	2	2	7	5	1	1544726569	0.88280797	0.88280797
1544726570	1.191728115	8	16	2	3	1	2	6	1	2	7	4	NaN	1544726571	NaN	NaN
1544726571	1.191716909	8	17	2	3	1	2	7	2	2	7	4	1	1544726572	0.7253329754	0.7253329754
1544726573	1.191711903	8	18	2	3	1	2	8	2	2	7	4	1	1544726573	0.7002060413	0.7002060413
1544726574	1.19176507	8	19	2	3	1	2	9	2	1	7	3	1	1544726574	0.5919480324	0.5919480324
1544726575	1.191719055	8	20	2	3	1	2	10	2	2	7	3	1	1544726575	0.6178929806	0.6178929806
