onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545047362	1.191401005	1	1	1	4	9	1	1	3	3	9	9	n/a	n/a	n/a
1545047363	1.191729069	1	2	1	4	9	1	2	3	3	9	9	n/a	n/a	n/a
1545047364	1.191870928	1	3	1	4	9	1	3	3	3	9	9	n/a	n/a	n/a
1545047365	1.191989183	1	4	1	4	9	1	4	3	3	9	9	n/a	n/a	n/a
1545047367	1.191751957	1	5	1	4	9	1	5	3	3	9	9	n/a	n/a	n/a
1545047368	1.191768885	1	6	1	4	9	1	6	3	3	9	9	n/a	n/a	n/a
1545047369	1.191694021	1	7	1	4	9	1	7	3	3	9	9	n/a	n/a	n/a
1545047370	1.191758871	1	8	1	4	9	1	8	3	3	9	9	n/a	n/a	n/a
1545047371	1.191632986	1	9	1	4	9	1	9	3	3	9	9	n/a	n/a	n/a
1545047373	1.191675186	1	10	1	4	9	1	10	3	3	9	9	n/a	n/a	n/a
1545047374	1.207305908	1	11	1	4	1	2	1	1	2	9	9	n/a	1545047374	n/a
1545047375	1.191682816	1	12	1	4	1	2	2	2	2	9	9	n/a	1545047375	n/a
1545047376	1.191676855	1	13	1	4	1	2	3	2	2	9	9	n/a	1545047377	n/a
1545047377	1.199966908	1	14	1	4	1	2	4	1	1	9	9	1	1545047378	0.7755270004
1545047379	1.191628218	1	15	1	4	1	2	5	2	2	9	9	0	1545047379	0.8998119831
1545047380	1.200241089	1	16	1	4	1	2	6	1	2	11	9	0	1545047380	0.7920298576
1545047381	1.191957951	1	17	1	4	1	2	7	2	1	12	9	0	1545047381	0.8168489933
1545047382	1.200193882	1	18	1	4	1	2	8	1	1	13	9	0	1545047383	0.8421871662
1545047383	1.191498041	1	19	1	4	1	2	9	1	2	13	9	n/a	1545047384	n/a
1545047385	1.191562891	1	20	1	4	1	2	10	1	2	13	9	n/a	1545047385	n/a
1545047386	1.191703081	1	21	1	4	1	2	11	2	2	13	9	n/a	1545047386	n/a
1545047387	1.191689014	1	22	1	4	1	2	12	2	1	13	9	1	1545047387	0.5753428936
1545047388	1.191679955	1	23	1	4	1	2	13	1	1	13	9	1	1545047389	0.6004471779
1545047389	1.19165802	1	24	1	4	1	2	14	1	1	12	9	1	1545047390	0.6011369228
1545047391	1.200011015	1	25	1	4	1	2	15	1	2	12	9	1	1545047391	0.5419261456
1545047392	1.199985981	1	26	1	4	1	2	16	1	1	12	9	1	1545047392	0.5671291351
1545047393	1.200020075	1	27	1	4	1	2	17	2	1	11	9	1	1545047393	0.533495903
1545047394	1.200031996	1	28	1	4	1	2	18	2	2	11	9	1	1545047395	0.6344480515
1545047396	1.191736937	1	29	1	4	1	2	19	1	1	11	9	1	1545047396	0.6923410892
1545047397	1.191697121	1	30	1	4	1	2	20	2	2	10	9	1	1545047397	0.6335420609
1545047398	1.200017929	1	31	1	4	1	2	21	2	2	10	9	1	1545047398	0.5836679935
1545047399	1.200015068	1	32	1	4	1	2	22	1	2	10	9	1	1545047399	0.5835080147
1545047400	1.199975967	1	33	1	4	1	2	23	1	1	9	9	1	1545047401	0.7086510658
1545047402	1.200196981	1	34	1	4	1	2	24	1	1	9	9	1	1545047402	0.5500669479
1545047403	1.200000048	1	35	1	4	1	2	25	1	1	9	9	1	1545047403	0.524971962
1545047404	1.191700935	1	36	1	4	1	2	26	1	2	9	9	n/a	1545047404	n/a
1545047405	1.200026989	1	37	1	4	1	2	27	2	1	8	9	1	1545047405	0.6751689911
1545047406	1.199986935	1	38	1	4	1	2	28	2	2	8	9	1	1545047407	0.6261270046
1545047408	1.200011015	1	39	1	4	1	2	29	1	1	8	9	1	1545047408	0.6750869751
1545047409	1.200008869	1	40	1	4	1	2	30	2	1	7	9	1	1545047409	0.666754961
1545047410	1.199960947	1	41	1	4	1	2	31	1	2	7	9	1	1545047410	0.7918288708
1545047411	1.199995995	1	42	1	4	1	2	32	1	2	7	9	1	1545047412	0.7584881783
1545047412	1.191329956	1	43	1	4	9	3	1	3	3	7	9	n/a	n/a	n/a
1545047414	1.191609859	1	44	1	4	9	3	2	3	3	7	9	n/a	n/a	n/a
1545047415	1.19164896	1	45	1	4	9	3	3	3	3	7	9	n/a	n/a	n/a
1545047416	1.19175601	1	46	1	4	9	3	4	3	3	7	9	n/a	n/a	n/a
1545047417	1.191645145	1	47	1	4	9	3	5	3	3	7	9	n/a	n/a	n/a
1545047418	1.191661835	1	48	1	4	9	3	6	3	3	7	9	n/a	n/a	n/a
1545047420	1.191697836	1	49	1	4	9	3	7	3	3	7	9	n/a	n/a	n/a
1545047421	1.191497087	1	50	1	4	9	3	8	3	3	7	9	n/a	n/a	n/a
1545047422	1.191498995	1	51	1	4	9	3	9	3	3	7	9	n/a	n/a	n/a
1545047423	1.191745996	1	52	1	4	9	3	10	3	3	7	9	n/a	n/a	n/a
1545047424	1.191874027	1	53	1	4	3	4	1	1	2	7	9	n/a	1545047425	n/a
1545047426	1.199895144	1	54	1	4	3	4	2	1	1	7	9	n/a	1545047426	n/a
1545047427	1.200011015	1	55	1	4	3	4	3	2	2	6	9	1	1545047427	0.6255259514
1545047428	1.199982166	1	56	1	4	3	4	4	2	1	6	9	n/a	1545047428	n/a
1545047429	1.200037956	1	57	1	4	3	4	5	2	2	6	9	n/a	1545047430	n/a
