onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545048275	1.191154003	4	1	2	4	9	1	1	3	3	4	7	n/a	n/a	n/a
1545048277	1.191645861	4	2	2	4	9	1	2	3	3	4	7	n/a	n/a	n/a
1545048278	1.1916399	4	3	2	4	9	1	3	3	3	4	7	n/a	n/a	n/a
1545048279	1.191499949	4	4	2	4	9	1	4	3	3	4	7	n/a	n/a	n/a
1545048280	1.191642046	4	5	2	4	9	1	5	3	3	4	7	n/a	n/a	n/a
1545048281	1.191751003	4	6	2	4	9	1	6	3	3	4	7	n/a	n/a	n/a
1545048283	1.191675901	4	7	2	4	9	1	7	3	3	4	7	n/a	n/a	n/a
1545048284	1.191684961	4	8	2	4	9	1	8	3	3	4	7	n/a	n/a	n/a
1545048285	1.191675186	4	9	2	4	9	1	9	3	3	4	7	n/a	n/a	n/a
1545048286	1.191704988	4	10	2	4	9	1	10	3	3	4	7	n/a	n/a	n/a
1545048287	1.198885202	4	11	2	4	1	2	1	2	1	4	7	n/a	1545048288	n/a
1545048289	1.191725969	4	12	2	4	1	2	2	1	2	4	7	n/a	1545048289	n/a
1545048290	1.199923992	4	13	2	4	1	2	3	1	1	4	7	n/a	1545048290	n/a
1545048291	1.20844388	4	14	2	4	1	2	4	2	1	4	7	n/a	1545048291	n/a
1545048292	1.191642046	4	15	2	4	1	2	5	2	2	4	7	n/a	1545048292	n/a
1545048293	1.191724062	4	16	2	4	1	2	6	2	2	4	7	n/a	1545048294	n/a
1545048295	1.191478968	4	17	2	4	1	2	7	2	2	4	7	n/a	1545048295	n/a
1545048296	1.199875832	4	18	2	4	1	2	8	2	2	4	7	n/a	1545048296	n/a
1545048297	1.191646814	4	19	2	4	1	2	9	2	2	4	7	n/a	1545048297	n/a
1545048298	1.200011015	4	20	2	4	1	2	10	2	1	4	7	n/a	1545048298	n/a
1545048299	1.191674948	4	21	2	4	1	2	11	2	1	4	7	n/a	1545048300	n/a
1545048301	1.200024843	4	22	2	4	1	2	12	1	2	4	7	n/a	1545048301	n/a
1545048302	1.200011015	4	23	2	4	1	2	13	2	2	4	7	n/a	1545048302	n/a
1545048303	1.200094938	4	24	2	4	1	2	14	2	1	4	7	n/a	1545048303	n/a
1545048304	1.200010061	4	25	2	4	1	2	15	1	2	4	7	n/a	1545048305	n/a
1545048305	1.200048923	4	26	2	4	1	2	16	2	2	4	7	n/a	1545048306	n/a
1545048307	1.200050116	4	27	2	4	1	2	17	2	1	4	7	n/a	1545048307	n/a
