onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545048490	1.199604034	5	1	1	1	9	1	1	3	3	4	7	n/a	n/a	n/a
1545048491	1.191705942	5	2	1	1	9	1	2	3	3	4	7	n/a	n/a	n/a
1545048493	1.191681862	5	3	1	1	9	1	3	3	3	4	7	n/a	n/a	n/a
1545048494	1.191610098	5	4	1	1	9	1	4	3	3	4	7	n/a	n/a	n/a
1545048495	1.191727161	5	5	1	1	9	1	5	3	3	4	7	n/a	n/a	n/a
1545048496	1.191734076	5	6	1	1	9	1	6	3	3	4	7	n/a	n/a	n/a
1545048497	1.191715002	5	7	1	1	9	1	7	3	3	4	7	n/a	n/a	n/a
1545048499	1.191740036	5	8	1	1	9	1	8	3	3	4	7	n/a	n/a	n/a
1545048500	1.191833019	5	9	1	1	9	1	9	3	3	4	7	n/a	n/a	n/a
1545048501	1.191931009	5	10	1	1	9	1	10	3	3	4	7	n/a	n/a	n/a
1545048502	1.190798044	5	11	1	1	1	2	1	1	2	4	7	n/a	1545048503	n/a
1545048503	1.19194293	5	12	1	1	1	2	2	1	2	4	7	n/a	1545048504	n/a
1545048505	1.200026989	5	13	1	1	1	2	3	1	2	4	7	n/a	1545048505	n/a
1545048506	1.191654921	5	14	1	1	1	2	4	2	1	4	7	n/a	1545048506	n/a
1545048507	1.191414118	5	15	1	1	1	2	5	1	1	4	7	n/a	1545048507	n/a
1545048508	1.19162488	5	16	1	1	1	2	6	1	2	4	7	n/a	1545048509	n/a
1545048509	1.191726208	5	17	1	1	1	2	7	1	2	4	7	n/a	1545048510	n/a
1545048511	1.191689014	5	18	1	1	1	2	8	2	2	4	7	n/a	1545048511	n/a
1545048512	1.191689014	5	19	1	1	1	2	9	2	2	4	7	n/a	1545048512	n/a
1545048513	1.191717863	5	20	1	1	1	2	10	2	2	4	7	n/a	1545048513	n/a
1545048514	1.191673994	5	21	1	1	1	2	11	2	2	4	7	n/a	1545048515	n/a
1545048515	1.191667795	5	22	1	1	1	2	12	2	1	4	7	n/a	1545048516	n/a
1545048517	1.191504002	5	23	1	1	1	2	13	1	1	4	7	n/a	1545048517	n/a
1545048518	1.191411972	5	24	1	1	1	2	14	2	2	4	7	n/a	1545048518	n/a
1545048519	1.191748857	5	25	1	1	1	2	15	1	1	4	7	n/a	1545048519	n/a
1545048520	1.191661119	5	26	1	1	1	2	16	1	2	4	7	n/a	1545048521	n/a
1545048521	1.191636086	5	27	1	1	1	2	17	2	1	4	7	n/a	1545048522	n/a
1545048523	1.191822052	5	28	1	1	1	2	18	2	2	4	7	n/a	1545048523	n/a
1545048524	1.191376925	5	29	1	1	9	3	1	3	3	4	7	n/a	n/a	n/a
1545048525	1.191493988	5	30	1	1	9	3	2	3	3	4	7	n/a	n/a	n/a
