onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545049582	1.199651957	10	1	2	3	9	1	1	3	3	4	7	n/a	n/a	n/a
1545049583	1.191658974	10	2	2	3	9	1	2	3	3	4	7	n/a	n/a	n/a
1545049584	1.191658974	10	3	2	3	9	1	3	3	3	4	7	n/a	n/a	n/a
1545049585	1.191698074	10	4	2	3	9	1	4	3	3	4	7	n/a	n/a	n/a
1545049586	1.191719055	10	5	2	3	9	1	5	3	3	4	7	n/a	n/a	n/a
1545049588	1.191658974	10	6	2	3	9	1	6	3	3	4	7	n/a	n/a	n/a
1545049589	1.191797972	10	7	2	3	9	1	7	3	3	4	7	n/a	n/a	n/a
1545049590	1.191646099	10	8	2	3	9	1	8	3	3	4	7	n/a	n/a	n/a
1545049591	1.191674948	10	9	2	3	9	1	9	3	3	4	7	n/a	n/a	n/a
1545049592	1.191681862	10	10	2	3	9	1	10	3	3	4	7	n/a	n/a	n/a
1545049594	1.19055891	10	11	2	3	1	2	1	2	2	4	7	n/a	1545049594	n/a
1545049595	1.191716909	10	12	2	3	1	2	2	1	2	4	7	n/a	1545049595	n/a
1545049596	1.1916852	10	13	2	3	1	2	3	1	1	4	7	n/a	1545049596	n/a
1545049597	1.191682816	10	14	2	3	1	2	4	2	1	4	7	n/a	1545049598	n/a
1545049598	1.191677809	10	15	2	3	1	2	5	2	1	4	7	n/a	1545049599	n/a
1545049600	1.191626787	10	16	2	3	1	2	6	2	1	4	7	n/a	1545049600	n/a
1545049601	1.191745043	10	17	2	3	1	2	7	1	1	4	7	n/a	1545049601	n/a
1545049602	1.191654921	10	18	2	3	1	2	8	2	2	4	7	n/a	1545049602	n/a
1545049603	1.191679001	10	19	2	3	1	2	9	1	1	4	7	n/a	1545049604	n/a
1545049604	1.1916821	10	20	2	3	1	2	10	1	2	4	7	n/a	1545049605	n/a
