onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544192425	1.199795008	3	1	1	4	9	1	1	3	3	9	9	NaN	NaN	NaN	NaN
1544192426	1.191637993	3	2	1	4	9	1	2	3	3	9	9	NaN	NaN	NaN	NaN
1544192427	1.19175601	3	3	1	4	9	1	3	3	3	9	9	NaN	NaN	NaN	NaN
1544192428	1.191773891	3	4	1	4	9	1	4	3	3	9	9	NaN	NaN	NaN	NaN
1544192430	1.191711187	3	5	1	4	9	1	5	3	3	9	9	NaN	NaN	NaN	NaN
1544192431	1.191610098	3	6	1	4	9	1	6	3	3	9	9	NaN	NaN	NaN	NaN
1544192432	1.191822052	3	7	1	4	9	1	7	3	3	9	9	NaN	NaN	NaN	NaN
1544192433	1.191622972	3	8	1	4	9	1	8	3	3	9	9	NaN	NaN	NaN	NaN
1544192434	1.191735029	3	9	1	4	9	1	9	3	3	9	9	NaN	NaN	NaN	NaN
NaN	NaN	3	10	1	4	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544192437	1.198493958	3	11	1	4	1	2	1	2	2	9	9	NaN	1544192437	NaN	NaN
1544192438	1.191671133	3	12	1	4	1	2	2	1	2	9	9	NaN	1544192438	NaN	NaN
1544192439	1.191761971	3	13	1	4	1	2	3	1	2	9	9	NaN	1544192440	NaN	NaN
1544192440	1.191735029	3	14	1	4	1	2	4	2	2	9	9	NaN	1544192441	NaN	NaN
1544192442	1.341751099	3	15	1	4	1	2	5	1	1	9	9	NaN	1544192442	NaN	NaN
1544192443	1.191692114	3	16	1	4	1	2	6	2	1	9	9	NaN	1544192443	NaN	NaN
1544192444	1.191702127	3	17	1	4	1	2	7	1	1	9	9	NaN	1544192445	NaN	NaN
1544192445	1.191693783	3	18	1	4	1	2	8	2	2	9	9	NaN	1544192446	NaN	NaN
1544192447	1.191733122	3	19	1	4	1	2	9	2	2	9	9	NaN	1544192447	NaN	NaN
1544192448	1.200181961	3	20	1	4	1	2	10	2	2	9	9	NaN	1544192448	NaN	NaN
1544192449	1.191724062	3	21	1	4	1	2	11	2	1	9	9	NaN	1544192449	NaN	NaN
1544192450	1.191751003	3	22	1	4	1	2	12	1	1	9	9	NaN	1544192451	NaN	NaN
1544192451	1.191732883	3	23	1	4	1	2	13	2	2	9	9	NaN	1544192452	NaN	NaN
1544192453	1.191583872	3	24	1	4	1	2	14	1	2	9	9	NaN	1544192453	NaN	NaN
1544192454	1.200114012	3	25	1	4	1	2	15	2	1	9	9	NaN	1544192454	NaN	NaN
1544192455	1.191668987	3	26	1	4	1	2	16	1	1	9	9	NaN	1544192455	NaN	NaN
1544192456	1.191716909	3	27	1	4	1	2	17	1	2	9	9	NaN	1544192457	NaN	NaN
1544192457	1.208385944	3	28	1	4	1	2	18	1	2	9	9	NaN	1544192458	NaN	NaN
1544192459	1.191778898	3	29	1	4	1	2	19	2	1	9	9	NaN	1544192459	NaN	NaN
1544192460	1.200026035	3	30	1	4	1	2	20	2	2	9	9	NaN	1544192460	NaN	NaN
1544192461	1.191769123	3	31	1	4	1	2	21	2	2	9	9	NaN	1544192461	NaN	NaN
1544192462	1.191768885	3	32	1	4	1	2	22	2	2	9	9	NaN	1544192463	NaN	NaN
1544192463	1.19175601	3	33	1	4	1	2	23	1	2	9	9	NaN	1544192464	NaN	NaN
1544192465	1.191766024	3	34	1	4	1	2	24	1	1	9	9	NaN	1544192465	NaN	NaN
1544192466	1.200052977	3	35	1	4	1	2	25	1	1	9	9	NaN	1544192466	NaN	NaN
1544192467	1.200069904	3	36	1	4	1	2	26	1	1	9	9	NaN	1544192467	NaN	NaN
1544192468	1.191735983	3	37	1	4	1	2	27	1	1	9	9	NaN	1544192469	NaN	NaN
