onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545310855	1.191509962	13	1	1	4	9	1	1	3	3	3	7	n/a	n/a	n/a
1545310857	1.19178319	13	2	1	4	9	1	2	3	3	3	7	n/a	n/a	n/a
1545310858	1.191775799	13	3	1	4	9	1	3	3	3	3	7	n/a	n/a	n/a
1545310859	1.191776037	13	4	1	4	9	1	4	3	3	3	7	n/a	n/a	n/a
1545310860	1.191905975	13	5	1	4	9	1	5	3	3	3	7	n/a	n/a	n/a
1545310861	1.191795111	13	6	1	4	9	1	6	3	3	3	7	n/a	n/a	n/a
1545310863	1.191817999	13	7	1	4	9	1	7	3	3	3	7	n/a	n/a	n/a
1545310864	1.19167304	13	8	1	4	9	1	8	3	3	3	7	n/a	n/a	n/a
1545310865	1.191745996	13	9	1	4	9	1	9	3	3	3	7	n/a	n/a	n/a
1545310866	1.191831112	13	10	1	4	9	1	10	3	3	3	7	n/a	n/a	n/a
1545310868	1.20491004	13	11	1	4	1	2	1	2	2	2	7	1	1545310868	0.6419050694
1545310869	1.200050116	13	12	1	4	1	2	2	2	2	2	7	1	1545310869	0.7585339546
1545310870	1.200030088	13	13	1	4	1	2	3	2	2	3	7	0	1545310870	0.65011096
1545310871	1.200037956	13	14	1	4	1	2	4	2	1	3	7	1	1545310872	0.475176096
1545310872	1.191620111	13	15	1	4	1	2	5	1	1	3	7	1	1545310873	0.7997150421
1545310874	1.200015068	13	16	1	4	1	2	6	2	2	2	7	1	1545310874	0.5167489052
1545310875	1.191740036	13	17	1	4	1	2	7	1	1	3	7	0	1545310875	0.6679282188
1545310876	1.200005054	13	18	1	4	1	2	8	2	2	3	7	0	1545310876	0.9003491402
1545310877	1.19167304	13	19	1	4	1	2	9	2	2	4	7	1	1545310878	0.6670899391
1545310878	1.200057983	13	20	1	4	1	2	10	2	1	4	7	1	1545310879	0.6421701908
1545310880	1.200060129	13	21	1	4	1	2	11	1	2	5	7	0	1545310880	0.7668809891
1545310881	1.199995995	13	22	1	4	1	2	12	2	2	5	7	1	1545310881	0.6584160328
1545310882	1.200084925	13	23	1	4	1	2	13	2	1	5	7	1	1545310882	0.6001589298
1545310883	1.208261013	13	24	1	4	1	2	14	1	1	6	7	0	1545310884	0.4251680374
1545310885	1.200042009	13	25	1	4	1	2	15	2	1	6	7	1	1545310885	0.6168448925
1545310886	1.191716909	13	26	1	4	1	2	16	1	2	6	7	1	1545310886	0.6919739246
1545310887	1.191659927	13	27	1	4	1	2	17	2	2	5	7	1	1545310887	0.7084670067
1545310888	1.191776991	13	28	1	4	1	2	18	2	1	5	7	1	1545310888	0.6335070133
1545310889	1.191609144	13	29	1	4	1	2	19	1	1	5	7	1	1545310890	0.7262132168
1545310891	1.200086117	13	30	1	4	1	2	20	2	2	4	7	1	1545310891	0.6750700474
1545310892	1.200057983	13	31	1	4	1	2	21	2	2	4	7	1	1545310892	0.5834598541
1545310893	1.200073004	13	32	1	4	1	2	22	1	1	4	7	1	1545310893	0.775053978
1545310894	1.200020075	13	33	1	4	1	2	23	1	2	5	7	0	1545310894	0.7001609802
1545310895	1.200094938	13	34	1	4	1	2	24	1	1	6	7	0	1545310896	0.7669541836
1545310897	1.200059891	13	35	1	4	1	2	25	2	2	6	7	1	1545310897	0.7167699337
1545310898	1.200058937	13	36	1	4	1	2	26	2	1	6	7	1	1545310898	0.6751821041
1545310899	1.200041056	13	37	1	4	1	2	27	1	2	7	7	0	1545310899	0.7002460957
1545310900	1.200067043	13	38	1	4	1	2	28	2	1	7	7	1	1545310901	0.6585178375
1545310901	1.191719055	13	39	1	4	1	2	29	2	2	7	7	1	1545310902	0.6000850201
1545310903	1.191606045	13	40	1	4	1	2	30	1	1	7	7	1	1545310903	0.8920271397
1545310904	1.199970961	13	41	1	4	1	2	31	1	2	6	7	1	1545310904	0.6835401058
1545310905	1.191717863	13	42	1	4	1	2	32	2	2	6	7	1	1545310905	0.6250941753
1545310906	1.198683977	13	43	1	4	9	3	1	3	3	6	7	n/a	n/a	n/a
1545310908	1.191516876	13	44	1	4	9	3	2	3	3	6	7	n/a	n/a	n/a
1545310909	1.191742897	13	45	1	4	9	3	3	3	3	6	7	n/a	n/a	n/a
1545310910	1.191591978	13	46	1	4	9	3	4	3	3	6	7	n/a	n/a	n/a
1545310911	1.19157815	13	47	1	4	9	3	5	3	3	6	7	n/a	n/a	n/a
1545310912	1.191792965	13	48	1	4	9	3	6	3	3	6	7	n/a	n/a	n/a
1545310914	1.191611052	13	49	1	4	9	3	7	3	3	6	7	n/a	n/a	n/a
1545310915	1.191608191	13	50	1	4	9	3	8	3	3	6	7	n/a	n/a	n/a
1545310916	1.1916821	13	51	1	4	9	3	9	3	3	6	7	n/a	n/a	n/a
1545310917	1.191658974	13	52	1	4	9	3	10	3	3	6	7	n/a	n/a	n/a
1545310919	1.207370996	13	53	1	4	3	4	1	1	2	5	7	1	1545310919	0.633715868
1545310920	1.200017929	13	54	1	4	3	4	2	2	1	5	7	1	1545310920	0.4167919159
1545310921	1.200109005	13	55	1	4	3	4	3	1	1	5	7	1	1545310921	0.6668031216
1545310922	1.20006299	13	56	1	4	3	4	4	2	2	6	7	0	1545310922	0.4919559956
1545310923	1.191771984	13	57	1	4	3	4	5	2	1	6	7	1	1545310924	0.6501398087
1545310925	1.216623068	13	58	1	4	3	4	6	2	1	7	7	0	1545310925	0.7168850899
1545310926	1.208419085	13	59	1	4	3	4	7	2	2	7	7	1	1545310926	0.8417069912
1545310927	1.200122118	13	60	1	4	3	4	8	2	1	7	7	1	1545310927	0.6168100834
1545310928	1.20003581	13	61	1	4	3	4	9	2	1	6	7	1	1545310929	0.7334861755
1545310929	1.200065851	13	62	1	4	3	4	10	1	1	6	7	1	1545310930	0.6917300224
1545310931	1.200120211	13	63	1	4	3	4	11	1	2	7	7	0	1545310931	0.7418091297
1545310932	1.208389997	13	64	1	4	3	4	12	2	2	7	7	1	1545310932	0.6833879948
1545310933	1.200117111	13	65	1	4	3	4	13	2	2	7	7	1	1545310933	0.6418089867
1545310934	1.216794014	13	66	1	4	3	4	14	2	2	6	7	1	1545310935	0.7834970951
1545310935	1.200052977	13	67	1	4	3	4	15	1	1	6	7	n/a	1545310936	n/a
1545310937	1.200051069	13	68	1	4	3	4	16	1	1	6	7	1	1545310937	0.7334990501
1545310938	1.208391905	13	69	1	4	3	4	17	1	2	6	7	1	1545310938	0.7333230972
1545310939	1.200059891	13	70	1	4	3	4	18	1	2	5	7	1	1545310939	0.7501409054
1545310940	1.199879169	13	71	1	4	9	5	1	3	3	5	7	n/a	n/a	n/a
1545310942	1.191739082	13	72	1	4	9	5	2	3	3	5	7	n/a	n/a	n/a
1545310943	1.191716909	13	73	1	4	9	5	3	3	3	5	7	n/a	n/a	n/a
1545310944	1.19172883	13	74	1	4	9	5	4	3	3	5	7	n/a	n/a	n/a
1545310945	1.191669941	13	75	1	4	9	5	5	3	3	5	7	n/a	n/a	n/a
1545310946	1.191651106	13	76	1	4	9	5	6	3	3	5	7	n/a	n/a	n/a
1545310948	1.191719055	13	77	1	4	9	5	7	3	3	5	7	n/a	n/a	n/a
1545310949	1.191753149	13	78	1	4	9	5	8	3	3	5	7	n/a	n/a	n/a
1545310950	1.191720963	13	79	1	4	9	5	9	3	3	5	7	n/a	n/a	n/a
1545310951	1.191719055	13	80	1	4	9	5	10	3	3	5	7	n/a	n/a	n/a
1545310953	1.199868917	13	81	1	4	5	6	1	2	1	5	7	1	1545310953	0.6005911827
1545310954	1.191554785	13	82	1	4	5	6	2	1	1	5	7	1	1545310954	0.6002221107
1545310955	1.200163126	13	83	1	4	5	6	3	2	1	4	7	1	1545310955	0.6335318089
1545310956	1.200017214	13	84	1	4	5	6	4	2	2	4	7	1	1545310957	0.858355999
1545310957	1.200028896	13	85	1	4	5	6	5	1	2	4	7	1	1545310958	0.7335448265
1545310959	1.200077057	13	86	1	4	5	6	6	2	1	3	7	1	1545310959	0.7251551151
1545310960	1.200050116	13	87	1	4	5	6	7	1	2	4	7	0	1545310960	0.6918530464
1545310961	1.191649199	13	88	1	4	5	6	8	2	1	4	7	1	1545310961	0.5750930309
1545310962	1.199980974	13	89	1	4	5	6	9	2	2	4	7	1	1545310963	0.7084639072
1545310963	1.200003862	13	90	1	4	5	6	10	1	2	5	7	0	1545310964	0.7750821114
1545310965	1.191645145	13	91	1	4	5	6	11	2	2	5	7	1	1545310965	0.6251051426
1545310966	1.19999814	13	92	1	4	5	6	12	1	2	5	7	1	1545310966	0.6917819977
1545310967	1.200011015	13	93	1	4	5	6	13	2	1	4	7	1	1545310967	0.6417598724
1545310968	1.19167614	13	94	1	4	5	6	14	2	2	4	7	1	1545310969	0.6667351723
1545310970	1.191699982	13	95	1	4	5	6	15	1	1	5	7	0	1545310970	0.6752839088
1545310971	1.191684961	13	96	1	4	5	6	16	2	1	5	7	1	1545310971	0.7251119614
1545310972	1.200025082	13	97	1	4	5	6	17	2	2	5	7	1	1545310972	0.8001909256
1545310973	1.200008154	13	98	1	4	5	6	18	2	2	5	7	0	1545310973	0.8670229912
1545310974	1.20007205	13	99	1	4	5	6	19	1	1	6	7	1	1545310975	0.8667271137
1545310976	1.20006299	13	100	1	4	5	6	20	2	1	6	7	1	1545310976	0.7833769321
1545310977	1.191724062	13	101	1	4	5	6	21	1	1	5	7	1	1545310977	0.625084877
1545310978	1.200046062	13	102	1	4	5	6	22	1	2	6	7	0	1545310978	0.7751269341
1545310979	1.191747904	13	103	1	4	5	6	23	2	2	6	7	1	1545310979	0.6917300224
1545310980	1.200032949	13	104	1	4	5	6	24	1	1	6	7	1	1545310981	0.6834340096
1545310982	1.191686153	13	105	1	4	5	6	25	2	2	5	7	1	1545310982	0.6750612259
1545310983	1.200058937	13	106	1	4	5	6	26	2	1	5	7	1	1545310983	0.7251381874
1545310984	1.199981928	13	107	1	4	5	6	27	2	2	6	7	0	1545310984	0.8584678173
1545310985	1.200046062	13	108	1	4	5	6	28	1	1	6	7	1	1545310985	0.725123167
1545310986	1.200051069	13	109	1	4	5	6	29	2	1	6	7	1	1545310987	0.8000910282
1545310988	1.200141191	13	110	1	4	5	6	30	1	2	5	7	1	1545310988	0.8583741188
