onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544726811	1.191397905	9	1	1	2	9	1	1	3	3	7	6	NaN	NaN	NaN	NaN
1544726813	1.191612005	9	2	1	2	9	1	2	3	3	7	6	NaN	NaN	NaN	NaN
1544726814	1.191796064	9	3	1	2	9	1	3	3	3	7	6	NaN	NaN	NaN	NaN
1544726815	1.191759109	9	4	1	2	9	1	4	3	3	7	6	NaN	NaN	NaN	NaN
1544726816	1.191834927	9	5	1	2	9	1	5	3	3	7	6	NaN	NaN	NaN	NaN
1544726817	1.19166708	9	6	1	2	9	1	6	3	3	7	6	NaN	NaN	NaN	NaN
1544726819	1.191872835	9	7	1	2	9	1	7	3	3	7	6	NaN	NaN	NaN	NaN
1544726820	1.19167304	9	8	1	2	9	1	8	3	3	7	6	NaN	NaN	NaN	NaN
1544726821	1.191772938	9	9	1	2	9	1	9	3	3	7	6	NaN	NaN	NaN	NaN
NaN	NaN	9	10	1	2	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726823	1.199244976	9	11	1	2	1	2	1	1	1	7	6	1	1544726824	0.5089578629	0.5089578629
1544726825	1.191771984	9	12	1	2	1	2	2	2	1	7	6	1	1544726825	0.5584878922	0.5584878922
1544726826	1.191512823	9	13	1	2	1	2	3	1	2	6	6	1	1544726826	0.6334638596	0.6334638596
1544726827	1.191570997	9	14	1	2	1	2	4	2	2	6	6	1	1544726827	0.7584760189	0.7584760189
1544726828	1.191662073	9	15	1	2	1	2	5	1	2	6	6	1	1544726828	0.6413319111	0.6413319111
1544726829	1.191647053	9	16	1	2	1	2	6	2	1	5	6	1	1544726830	0.6833639145	0.6833639145
1544726831	1.199986935	9	17	1	2	1	2	7	1	2	5	6	1	1544726831	0.6919071674	0.6919071674
1544726832	1.20001483	9	18	1	2	1	2	8	2	1	5	6	1	1544726832	0.658670187	0.658670187
1544726833	1.19167614	9	19	1	2	1	2	9	2	1	4	6	1	1544726833	0.609539032	0.609539032
1544726834	1.191692114	9	20	1	2	1	2	10	2	1	4	6	1	1544726834	0.4255430698	0.4255430698
1544726835	1.191704988	9	21	1	2	1	2	11	1	2	4	6	1	1544726836	0.6095747948	0.6095747948
1544726837	1.191659927	9	22	1	2	1	2	12	1	2	3	6	1	1544726837	0.6169741154	0.6169741154
1544726838	1.191679955	9	23	1	2	1	2	13	1	1	3	6	1	1544726838	0.6334559917	0.6334559917
1544726839	1.191680908	9	24	1	2	1	2	14	2	2	3	6	1	1544726839	0.6333880424	0.6333880424
1544726840	1.200020075	9	25	1	2	1	2	15	2	1	3	6	NaN	1544726840	NaN	NaN
1544726841	1.199990034	9	26	1	2	1	2	16	2	1	4	6	0	1544726842	0.6088211536	0.6088211536
