onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545309017	1.191555023	7	1	1	2	9	1	1	3	3	5	7	n/a	n/a	n/a
1545309018	1.191646099	7	2	1	2	9	1	2	3	3	5	7	n/a	n/a	n/a
1545309019	1.191720009	7	3	1	2	9	1	3	3	3	5	7	n/a	n/a	n/a
1545309021	1.191714048	7	4	1	2	9	1	4	3	3	5	7	n/a	n/a	n/a
1545309022	1.191580772	7	5	1	2	9	1	5	3	3	5	7	n/a	n/a	n/a
1545309023	1.191643953	7	6	1	2	9	1	6	3	3	5	7	n/a	n/a	n/a
1545309024	1.191761017	7	7	1	2	9	1	7	3	3	5	7	n/a	n/a	n/a
1545309025	1.191612005	7	8	1	2	9	1	8	3	3	5	7	n/a	n/a	n/a
1545309027	1.191646814	7	9	1	2	9	1	9	3	3	5	7	n/a	n/a	n/a
1545309028	1.191678047	7	10	1	2	9	1	10	3	3	5	7	n/a	n/a	n/a
1545309029	1.196741819	7	11	1	2	1	2	1	2	1	5	7	n/a	1545309029	n/a
1545309030	1.191723108	7	12	1	2	1	2	2	1	1	4	7	1	1545309031	0.7003729343
1545309032	1.191725969	7	13	1	2	1	2	3	2	2	4	7	1	1545309032	0.3334560394
1545309033	1.200058937	7	14	1	2	1	2	4	1	2	5	7	0	1545309033	0.3918180466
1545309034	1.200008154	7	15	1	2	1	2	5	1	1	6	7	0	1545309034	0.466258049
1545309035	1.200052977	7	16	1	2	1	2	6	1	2	7	7	0	1545309035	0.3002707958
1545309036	1.191775084	7	17	1	2	1	2	7	2	2	7	7	1	1545309037	0.25978899
1545309038	1.19157505	7	18	1	2	1	2	8	2	1	8	7	0	1545309038	0.5336718559
1545309039	1.200080872	7	19	1	2	1	2	9	1	2	9	7	0	1545309039	0.383713007
1545309040	1.20004487	7	20	1	2	1	2	10	1	2	9	7	1	1545309040	0.8670070171
1545309041	1.191716194	7	21	1	2	1	2	11	2	2	9	7	1	1545309041	0.7836740017
1545309042	1.200098991	7	22	1	2	1	2	12	2	1	8	7	1	1545309043	0.6501469612
1545309044	1.200113058	7	23	1	2	1	2	13	1	1	8	7	1	1545309044	0.7171299458
1545309045	1.208230019	7	24	1	2	1	2	14	1	1	8	7	1	1545309045	0.7345440388
1545309046	1.20003891	7	25	1	2	1	2	15	1	1	7	7	1	1545309046	0.7087500095
1545309047	1.200052023	7	26	1	2	1	2	16	2	1	7	7	1	1545309047	0.7420470715
1545309048	1.191702127	7	27	1	2	1	2	17	2	1	7	7	1	1545309049	0.7256360054
1545309050	1.191792965	7	28	1	2	1	2	18	2	2	6	7	1	1545309050	0.5751328468
1545309051	1.198693991	7	29	1	2	9	3	1	3	3	6	7	n/a	n/a	n/a
1545309052	1.191498041	7	30	1	2	9	3	2	3	3	6	7	n/a	n/a	n/a
1545309053	1.19178915	7	31	1	2	9	3	3	3	3	6	7	n/a	n/a	n/a
1545309055	1.191796064	7	32	1	2	9	3	4	3	3	6	7	n/a	n/a	n/a
1545309056	1.191797972	7	33	1	2	9	3	5	3	3	6	7	n/a	n/a	n/a
1545309057	1.191698074	7	34	1	2	9	3	6	3	3	6	7	n/a	n/a	n/a
1545309058	1.191776991	7	35	1	2	9	3	7	3	3	6	7	n/a	n/a	n/a
1545309059	1.191656113	7	36	1	2	9	3	8	3	3	6	7	n/a	n/a	n/a
1545309061	1.200040102	7	37	1	2	9	3	9	3	3	6	7	n/a	n/a	n/a
1545309062	1.191694975	7	38	1	2	9	3	10	3	3	6	7	n/a	n/a	n/a
1545309063	1.208055973	7	39	1	2	5	4	1	1	1	6	7	1	1545309063	0.7502491474
1545309064	1.200041056	7	40	1	2	5	4	2	1	2	7	7	0	1545309065	0.3836901188
1545309066	1.20005703	7	41	1	2	5	4	3	1	2	8	7	0	1545309066	0.7501688004
1545309067	1.200018883	7	42	1	2	5	4	4	1	2	8	7	1	1545309067	0.6754589081
1545309068	1.200130224	7	43	1	2	5	4	5	2	2	8	7	1	1545309068	0.6000630856
1545309069	1.191726923	7	44	1	2	5	4	6	1	1	7	7	1	1545309069	0.6417880058
1545309070	1.200058937	7	45	1	2	5	4	7	1	1	8	7	0	1545309071	0.7751660347
1545309072	1.191713095	7	46	1	2	5	4	8	2	2	8	7	1	1545309072	0.6083700657
1545309073	1.200117111	7	47	1	2	5	4	9	2	1	8	7	1	1545309073	0.6751379967
1545309074	1.200058937	7	48	1	2	5	4	10	1	2	7	7	1	1545309074	0.6333961487
1545309075	1.200073957	7	49	1	2	5	4	11	1	2	7	7	1	1545309075	0.6917631626
1545309076	1.19998908	7	50	1	2	5	4	12	2	1	8	7	0	1545309077	0.8586890697
1545309078	1.20003891	7	51	1	2	5	4	13	2	1	8	7	1	1545309078	0.6334991455
1545309079	1.200059891	7	52	1	2	5	4	14	2	2	8	7	1	1545309079	0.6502211094
1545309080	1.191729069	7	53	1	2	5	4	15	1	1	7	7	1	1545309080	0.6584610939
1545309081	1.19172883	7	54	1	2	5	4	16	1	2	7	7	1	1545309081	0.7167971134
1545309082	1.191779852	7	55	1	2	5	4	17	2	1	7	7	1	1545309083	0.7584681511
1545309084	1.191781998	7	56	1	2	5	4	18	1	2	7	7	1	1545309084	0.8666708469
1545309085	1.199835062	7	57	1	2	9	5	1	3	3	6	7	n/a	n/a	n/a
1545309086	1.191726923	7	58	1	2	9	5	2	3	3	6	7	n/a	n/a	n/a
