onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544193366	1.191519022	5	1	1	1	9	1	1	3	3	9	9	NaN	NaN	NaN	NaN
1544193367	1.191662073	5	2	1	1	9	1	2	3	3	9	9	NaN	NaN	NaN	NaN
1544193369	1.191709995	5	3	1	1	9	1	3	3	3	9	9	NaN	NaN	NaN	NaN
1544193370	1.191725969	5	4	1	1	9	1	4	3	3	9	9	NaN	NaN	NaN	NaN
1544193371	1.191664934	5	5	1	1	9	1	5	3	3	9	9	NaN	NaN	NaN	NaN
1544193372	1.191651106	5	6	1	1	9	1	6	3	3	9	9	NaN	NaN	NaN	NaN
1544193373	1.191759825	5	7	1	1	9	1	7	3	3	9	9	NaN	NaN	NaN	NaN
1544193375	1.191637993	5	8	1	1	9	1	8	3	3	9	9	NaN	NaN	NaN	NaN
1544193376	1.191793919	5	9	1	1	9	1	9	3	3	9	9	NaN	NaN	NaN	NaN
NaN	NaN	5	10	1	1	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544193378	1.199024916	5	11	1	1	1	2	1	2	1	9	9	NaN	1544193379	NaN	NaN
1544193380	1.191709995	5	12	1	1	1	2	2	1	2	9	9	NaN	1544193380	NaN	NaN
1544193381	1.191708803	5	13	1	1	1	2	3	1	1	9	9	NaN	1544193381	NaN	NaN
1544193382	1.191684008	5	14	1	1	1	2	4	1	1	9	9	NaN	1544193382	NaN	NaN
1544193383	1.191701889	5	15	1	1	1	2	5	1	1	9	9	NaN	1544193383	NaN	NaN
1544193384	1.191669941	5	16	1	1	1	2	6	1	1	9	9	NaN	1544193385	NaN	NaN
1544193386	1.191715002	5	17	1	1	1	2	7	1	1	9	9	NaN	1544193386	NaN	NaN
1544193387	1.19172287	5	18	1	1	1	2	8	2	2	9	9	NaN	1544193387	NaN	NaN
1544193388	1.208314896	5	19	1	1	1	2	9	2	2	9	9	NaN	1544193388	NaN	NaN
1544193389	1.208392859	5	20	1	1	1	2	10	2	1	9	9	NaN	1544193389	NaN	NaN
1544193390	1.21668601	5	21	1	1	1	2	11	1	1	9	9	NaN	1544193391	NaN	NaN
1544193392	1.200034142	5	22	1	1	1	2	12	1	2	9	9	NaN	1544193392	NaN	NaN
1544193393	1.200061083	5	23	1	1	1	2	13	2	2	9	9	NaN	1544193393	NaN	NaN
1544193394	1.508337975	5	24	1	1	1	2	14	1	2	9	9	NaN	1544193394	NaN	NaN
1544193396	1.233428955	5	25	1	1	1	2	15	1	2	9	9	NaN	1544193396	NaN	NaN
1544193397	1.191755056	5	26	1	1	1	2	16	1	1	9	9	NaN	1544193397	NaN	NaN
1544193398	1.191709995	5	27	1	1	1	2	17	1	2	9	9	NaN	1544193398	NaN	NaN
1544193399	1.191709995	5	28	1	1	1	2	18	2	2	9	9	NaN	1544193399	NaN	NaN
NaN	NaN	5	29	1	1	9	2	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544193402	1.191414118	5	30	1	1	9	3	1	3	3	9	9	NaN	NaN	NaN	NaN
1544193403	1.191539049	5	31	1	1	9	3	2	3	3	9	9	NaN	NaN	NaN	NaN
1544193404	1.191704035	5	32	1	1	9	3	3	3	3	9	9	NaN	NaN	NaN	NaN
1544193405	1.19174695	5	33	1	1	9	3	4	3	3	9	9	NaN	NaN	NaN	NaN
1544193406	1.191730976	5	34	1	1	9	3	5	3	3	9	9	NaN	NaN	NaN	NaN
1544193408	1.191862106	5	35	1	1	9	3	6	3	3	9	9	NaN	NaN	NaN	NaN
1544193409	1.191712141	5	36	1	1	9	3	7	3	3	9	9	NaN	NaN	NaN	NaN
1544193410	1.191861868	5	37	1	1	9	3	8	3	3	9	9	NaN	NaN	NaN	NaN
1544193411	1.191873789	5	38	1	1	9	3	9	3	3	9	9	NaN	NaN	NaN	NaN
NaN	NaN	5	39	1	1	9	3	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544193414	1.191704035	5	40	1	1	5	4	1	2	2	9	9	NaN	1544193414	NaN	NaN
1544193415	1.19195509	5	41	1	1	5	4	2	1	1	9	9	NaN	1544193415	NaN	NaN
1544193416	1.191704035	5	42	1	1	5	4	3	1	1	9	9	NaN	1544193417	NaN	NaN
1544193417	1.191694975	5	43	1	1	5	4	4	1	1	9	9	NaN	1544193418	NaN	NaN
1544193419	1.191765785	5	44	1	1	5	4	5	1	2	9	9	NaN	1544193419	NaN	NaN
1544193420	1.191764116	5	45	1	1	5	4	6	1	1	9	9	NaN	1544193420	NaN	NaN
1544193421	1.191738129	5	46	1	1	5	4	7	1	2	9	9	NaN	1544193421	NaN	NaN
1544193422	1.19175601	5	47	1	1	5	4	8	1	2	9	9	NaN	1544193423	NaN	NaN
1544193423	1.191724062	5	48	1	1	5	4	9	2	1	9	9	NaN	1544193424	NaN	NaN
1544193425	1.19170022	5	49	1	1	5	4	10	2	1	9	9	NaN	1544193425	NaN	NaN
1544193426	1.191770077	5	50	1	1	5	4	11	1	1	9	9	NaN	1544193426	NaN	NaN
1544193427	1.191715956	5	51	1	1	5	4	12	1	1	9	9	NaN	1544193427	NaN	NaN
1544193428	1.466763973	5	52	1	1	5	4	13	1	2	9	9	NaN	1544193429	NaN	NaN
1544193430	1.191781998	5	53	1	1	5	4	14	1	2	9	9	NaN	1544193430	NaN	NaN
1544193431	1.191720009	5	54	1	1	5	4	15	2	1	9	9	NaN	1544193431	NaN	NaN
1544193432	1.191720963	5	55	1	1	5	4	16	2	2	9	9	NaN	1544193432	NaN	NaN
