onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544726295	1.191354036	7	1	1	3	9	1	1	3	3	2	5	NaN	NaN	NaN	NaN
1544726296	1.191621065	7	2	1	3	9	1	2	3	3	2	5	NaN	NaN	NaN	NaN
1544726298	1.191740036	7	3	1	3	9	1	3	3	3	2	5	NaN	NaN	NaN	NaN
1544726299	1.191736937	7	4	1	3	9	1	4	3	3	2	5	NaN	NaN	NaN	NaN
1544726300	1.191914797	7	5	1	3	9	1	5	3	3	2	5	NaN	NaN	NaN	NaN
1544726301	1.191646099	7	6	1	3	9	1	6	3	3	2	5	NaN	NaN	NaN	NaN
1544726302	1.191797972	7	7	1	3	9	1	7	3	3	2	5	NaN	NaN	NaN	NaN
1544726304	1.191701174	7	8	1	3	9	1	8	3	3	2	5	NaN	NaN	NaN	NaN
1544726305	1.191751003	7	9	1	3	9	1	9	3	3	2	5	NaN	NaN	NaN	NaN
NaN	NaN	7	10	1	3	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726306	1.199048042	7	11	1	3	1	2	1	2	2	3	5	0	1544726306	0.4253840446	0.4253840446
1544726307	1.191709995	7	12	1	3	1	2	2	2	2	3	5	1	1544726308	0.5417521	0.5417521
1544726309	1.191766024	7	13	1	3	1	2	3	2	1	4	5	0	1544726309	0.5251479149	0.5251479149
1544726310	1.191736937	7	14	1	3	1	2	4	2	1	4	5	1	1544726310	0.6084620953	0.6084620953
1544726311	1.200032949	7	15	1	3	1	2	5	1	1	4	5	1	1544726311	0.6164698601	0.6164698601
1544726312	1.200055838	7	16	1	3	1	2	6	2	1	3	5	1	1544726312	0.5084989071	0.5084989071
1544726313	1.19174695	7	17	1	3	1	2	7	2	1	4	5	0	1544726314	0.5168120861	0.5168120861
1544726315	1.200037956	7	18	1	3	1	2	8	2	1	5	5	0	1544726315	0.5010929108	0.5010929108
1544726316	1.200069904	7	19	1	3	1	2	9	2	1	6	5	0	1544726316	0.5921120644	0.5921120644
1544726317	1.200045824	7	20	1	3	1	2	10	1	2	7	5	0	1544726317	0.5338549614	0.5338549614
1544726318	1.200050116	7	21	1	3	1	2	11	2	2	7	5	1	1544726318	0.6511778831	0.6511778831
1544726319	1.191605091	7	22	1	3	1	2	12	1	2	7	5	1	1544726320	0.5836160183	0.5836160183
1544726321	1.200058937	7	23	1	3	1	2	13	1	1	6	5	1	1544726321	0.6251318455	0.6251318455
1544726322	1.191816092	7	24	1	3	1	2	14	2	2	6	5	1	1544726322	0.6086719036	0.6086719036
1544726323	1.200043917	7	25	1	3	1	2	15	1	2	6	5	1	1544726323	0.5669028759	0.5669028759
1544726324	1.191745996	7	26	1	3	1	2	16	2	1	5	5	1	1544726325	0.500494957	0.500494957
1544726325	1.191754103	7	27	1	3	1	2	17	1	2	5	5	1	1544726326	0.4753320217	0.4753320217
1544726327	1.19172287	7	28	1	3	1	2	18	2	1	5	5	1	1544726327	0.6833949089	0.6833949089
NaN	NaN	7	29	1	3	9	2	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726329	1.191680193	7	30	1	3	9	3	1	3	3	5	5	NaN	NaN	NaN	NaN
1544726330	1.191468954	7	31	1	3	9	3	2	3	3	5	5	NaN	NaN	NaN	NaN
1544726331	1.191730022	7	32	1	3	9	3	3	3	3	5	5	NaN	NaN	NaN	NaN
1544726332	1.191730976	7	33	1	3	9	3	4	3	3	5	5	NaN	NaN	NaN	NaN
1544726334	1.191677809	7	34	1	3	9	3	5	3	3	5	5	NaN	NaN	NaN	NaN
1544726335	1.191776037	7	35	1	3	9	3	6	3	3	5	5	NaN	NaN	NaN	NaN
1544726336	1.191791058	7	36	1	3	9	3	7	3	3	5	5	NaN	NaN	NaN	NaN
1544726337	1.19162488	7	37	1	3	9	3	8	3	3	5	5	NaN	NaN	NaN	NaN
1544726338	1.191767931	7	38	1	3	9	3	9	3	3	5	5	NaN	NaN	NaN	NaN
NaN	NaN	7	39	1	3	9	3	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544726340	1.199574947	7	40	1	3	5	4	1	2	2	4	5	1	1544726340	0.617151022	0.617151022
1544726341	1.191792965	7	41	1	3	5	4	2	2	2	5	5	0	1544726341	0.5917990208	0.5917990208
1544726342	1.191715956	7	42	1	3	5	4	3	1	2	5	5	1	1544726342	0.5335249901	0.5335249901
1544726343	1.191728115	7	43	1	3	5	4	4	1	2	5	5	1	1544726344	0.5417010784	0.5417010784
1544726345	1.191657066	7	44	1	3	5	4	5	1	1	4	5	1	1544726345	0.5000600815	0.5000600815
1544726346	1.191718102	7	45	1	3	5	4	6	2	1	5	5	0	1544726346	0.5917451382	0.5917451382
1544726347	1.191714048	7	46	1	3	5	4	7	2	2	5	5	1	1544726347	0.6501669884	0.6501669884
1544726348	1.191625834	7	47	1	3	5	4	8	2	2	5	5	1	1544726348	0.691642046	0.691642046
1544726349	1.191718102	7	48	1	3	5	4	9	1	1	4	5	1	1544726350	0.6001150608	0.6001150608
