onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545312519	1.191388845	19	1	1	3	9	1	1	3	3	8	8	n/a	n/a	n/a
1545312520	1.191669941	19	2	1	3	9	1	2	3	3	8	8	n/a	n/a	n/a
1545312522	1.191756964	19	3	1	3	9	1	3	3	3	8	8	n/a	n/a	n/a
1545312523	1.191781044	19	4	1	3	9	1	4	3	3	8	8	n/a	n/a	n/a
1545312524	1.191681147	19	5	1	3	9	1	5	3	3	8	8	n/a	n/a	n/a
1545312525	1.191708088	19	6	1	3	9	1	6	3	3	8	8	n/a	n/a	n/a
1545312526	1.191831112	19	7	1	3	9	1	7	3	3	8	8	n/a	n/a	n/a
1545312528	1.19166708	19	8	1	3	9	1	8	3	3	8	8	n/a	n/a	n/a
1545312529	1.19175601	19	9	1	3	9	1	9	3	3	8	8	n/a	n/a	n/a
1545312530	1.191790104	19	10	1	3	9	1	10	3	3	8	8	n/a	n/a	n/a
1545312531	1.204540968	19	11	1	3	1	2	1	2	1	8	8	n/a	1545312532	n/a
1545312533	1.191748142	19	12	1	3	1	2	2	1	2	9	8	0	1545312533	0.5169761181
1545312534	1.200052977	19	13	1	3	1	2	3	1	2	9	8	0	1545312534	0.8835809231
1545312535	1.200069904	19	14	1	3	1	2	4	1	1	11	8	0	1545312535	0.7918159962
1545312536	1.191730976	19	15	1	3	1	2	5	1	1	12	8	0	1545312536	0.641201973
1545312537	1.200097084	19	16	1	3	1	2	6	2	2	12	8	1	1545312538	0.6760971546
1545312539	1.20002389	19	17	1	3	1	2	7	1	1	12	8	1	1545312539	0.6004779339
1545312540	1.191768169	19	18	1	3	1	2	8	1	1	11	8	1	1545312540	0.5836510658
1545312541	1.191757917	19	19	1	3	1	2	9	2	2	11	8	1	1545312541	0.6502821445
1545312542	1.191689968	19	20	1	3	1	2	10	1	1	11	8	1	1545312542	0.6587119102
1545312543	1.191788197	19	21	1	3	1	2	11	1	2	10	8	1	1545312544	0.6335821152
1545312545	1.191747189	19	22	1	3	1	2	12	2	2	10	8	1	1545312545	0.6168270111
1545312546	1.191719055	19	23	1	3	1	2	13	1	2	10	8	1	1545312546	0.6845350266
1545312547	1.191692114	19	24	1	3	1	2	14	2	2	9	8	1	1545312547	0.6085450649
1545312548	1.200050116	19	25	1	3	1	2	15	2	1	9	8	1	1545312548	0.5919938087
1545312549	1.191768169	19	26	1	3	1	2	16	1	2	9	8	1	1545312550	0.6255030632
1545312551	1.191769123	19	27	1	3	1	2	17	2	2	8	8	1	1545312551	0.6669681072
1545312552	1.191751957	19	28	1	3	1	2	18	2	2	8	8	1	1545312552	0.6751208305
1545312553	1.198666811	19	29	1	3	9	3	1	3	3	8	8	n/a	n/a	n/a
1545312554	1.191506147	19	30	1	3	9	3	2	3	3	8	8	n/a	n/a	n/a
1545312556	1.191739082	19	31	1	3	9	3	3	3	3	8	8	n/a	n/a	n/a
1545312557	1.191743851	19	32	1	3	9	3	4	3	3	8	8	n/a	n/a	n/a
1545312558	1.191764832	19	33	1	3	9	3	5	3	3	8	8	n/a	n/a	n/a
1545312559	1.191781998	19	34	1	3	9	3	6	3	3	8	8	n/a	n/a	n/a
1545312560	1.191807032	19	35	1	3	9	3	7	3	3	8	8	n/a	n/a	n/a
1545312562	1.191631079	19	36	1	3	9	3	8	3	3	8	8	n/a	n/a	n/a
1545312563	1.19173193	19	37	1	3	9	3	9	3	3	8	8	n/a	n/a	n/a
1545312564	1.191743135	19	38	1	3	9	3	10	3	3	8	8	n/a	n/a	n/a
1545312565	1.208260059	19	39	1	3	5	4	1	1	1	9	8	0	1545312566	0.5586078167
1545312566	1.200101852	19	40	1	3	5	4	2	2	1	9	8	1	1545312567	0.4083440304
1545312568	1.191773176	19	41	1	3	5	4	3	1	1	9	8	1	1545312568	0.7835271358
1545312569	1.191762924	19	42	1	3	5	4	4	1	2	10	8	0	1545312569	0.6169219017
1545312570	1.191761017	19	43	1	3	5	4	5	1	1	10	8	1	1545312570	0.7002170086
1545312571	1.191534996	19	44	1	3	5	4	6	1	2	10	8	1	1545312572	0.8751351833
1545312572	1.191678047	19	45	1	3	5	4	7	2	1	9	8	1	1545312573	0.6584870815
1545312574	1.191627026	19	46	1	3	5	4	8	1	2	9	8	1	1545312574	0.6668159962
1545312575	1.191797018	19	47	1	3	5	4	9	1	2	9	8	1	1545312575	0.7667880058
1545312576	1.191785812	19	48	1	3	5	4	10	2	2	8	8	1	1545312576	0.7084619999
1545312577	1.191812038	19	49	1	3	5	4	11	1	2	8	8	1	1545312578	0.8001360893
1545312578	1.191806078	19	50	1	3	5	4	12	1	2	8	8	1	1545312579	0.716755867
1545312580	1.200080872	19	51	1	3	5	4	13	1	2	7	8	1	1545312580	0.7417459488
1545312581	1.191743135	19	52	1	3	5	4	14	2	1	7	8	1	1545312581	0.7251620293
1545312582	1.191677809	19	53	1	3	5	4	15	1	2	7	8	0	1545312582	0.8834528923
1545312583	1.191897154	19	54	1	3	5	4	16	1	1	8	8	1	1545312584	0.7167341709
1545312584	1.191680908	19	55	1	3	5	4	17	1	1	8	8	1	1545312585	0.7250649929
1545312586	1.191735983	19	56	1	3	5	4	18	1	1	7	8	1	1545312586	0.7918021679
1545312587	1.199970007	19	57	1	3	9	5	1	3	3	7	8	n/a	n/a	n/a
1545312588	1.191735029	19	58	1	3	9	5	2	3	3	7	8	n/a	n/a	n/a
1545312589	1.191768885	19	59	1	3	9	5	3	3	3	7	8	n/a	n/a	n/a
1545312591	1.191810131	19	60	1	3	9	5	4	3	3	7	8	n/a	n/a	n/a
1545312592	1.191759109	19	61	1	3	9	5	5	3	3	7	8	n/a	n/a	n/a
1545312593	1.191719055	19	62	1	3	9	5	6	3	3	7	8	n/a	n/a	n/a
1545312594	1.191716194	19	63	1	3	9	5	7	3	3	7	8	n/a	n/a	n/a
1545312595	1.191756964	19	64	1	3	9	5	8	3	3	7	8	n/a	n/a	n/a
1545312597	1.191833973	19	65	1	3	9	5	9	3	3	7	8	n/a	n/a	n/a
1545312598	1.191807032	19	66	1	3	9	5	10	3	3	7	8	n/a	n/a	n/a
1545312599	1.199834108	19	67	1	3	1	6	1	2	1	7	8	1	1545312599	0.4504787922
1545312600	1.19175005	19	68	1	3	1	6	2	2	2	7	8	1	1545312601	0.8001739979
1545312602	1.200047016	19	69	1	3	1	6	3	1	1	8	8	0	1545312602	0.850178957
1545312603	1.19174695	19	70	1	3	1	6	4	2	1	8	8	1	1545312603	0.7667770386
1545312604	1.191751003	19	71	1	3	1	6	5	2	1	8	8	1	1545312604	0.6501557827
1545312605	1.19170785	19	72	1	3	1	6	6	1	2	7	8	1	1545312605	0.7418391705
1545312606	1.191694021	19	73	1	3	1	6	7	1	2	7	8	n/a	1545312607	n/a
1545312608	1.191776991	19	74	1	3	1	6	8	2	1	7	8	1	1545312608	0.7168090343
1545312609	1.191827059	19	75	1	3	1	6	9	2	1	7	8	1	1545312609	0.633368969
1545312610	1.191805124	19	76	1	3	1	6	10	2	2	6	8	1	1545312610	0.6583440304
1545312611	1.191812038	19	77	1	3	1	6	11	1	2	6	8	1	1545312611	0.6917519569
1545312612	1.200114965	19	78	1	3	1	6	12	2	1	6	8	1	1545312613	0.7168440819
1545312614	1.191720009	19	79	1	3	1	6	13	2	1	5	8	1	1545312614	0.7751150131
1545312615	1.191689014	19	80	1	3	1	6	14	1	1	5	8	n/a	1545312615	n/a
1545312616	1.191699982	19	81	1	3	1	6	15	2	2	5	8	n/a	1545312616	n/a
1545312617	1.191789865	19	82	1	3	1	6	16	1	2	5	8	n/a	1545312617	n/a
1545312618	1.191790819	19	83	1	3	1	6	17	1	2	5	8	n/a	1545312619	n/a
1545312620	1.191612005	19	84	1	3	1	6	18	1	1	5	8	1	1545312620	0.8834650517
1545312621	1.199710131	19	85	1	3	9	7	1	3	3	5	8	n/a	n/a	n/a
1545312622	1.191874027	19	86	1	3	9	7	2	3	3	5	8	n/a	n/a	n/a
1545312623	1.191757917	19	87	1	3	9	7	3	3	3	5	8	n/a	n/a	n/a
1545312625	1.191847086	19	88	1	3	9	7	4	3	3	5	8	n/a	n/a	n/a
1545312626	1.191715956	19	89	1	3	9	7	5	3	3	5	8	n/a	n/a	n/a
1545312627	1.191802025	19	90	1	3	9	7	6	3	3	5	8	n/a	n/a	n/a
1545312628	1.191730976	19	91	1	3	9	7	7	3	3	5	8	n/a	n/a	n/a
1545312629	1.191762209	19	92	1	3	9	7	8	3	3	5	8	n/a	n/a	n/a
1545312631	1.200098038	19	93	1	3	9	7	9	3	3	5	8	n/a	n/a	n/a
1545312632	1.191588879	19	94	1	3	9	7	10	3	3	5	8	n/a	n/a	n/a
1545312633	1.199703217	19	95	1	3	5	8	1	2	2	5	8	1	1545312633	0.4917709827
1545312634	1.191740036	19	96	1	3	5	8	2	2	1	4	8	1	1545312635	0.5001559258
1545312635	1.191684961	19	97	1	3	5	8	3	2	2	4	8	1	1545312636	0.8335111141
1545312637	1.191718102	19	98	1	3	5	8	4	2	1	4	8	1	1545312637	0.8085520267
1545312638	1.191725969	19	99	1	3	5	8	5	2	1	4	8	n/a	1545312638	n/a
1545312639	1.191696167	19	100	1	3	5	8	6	2	1	4	8	1	1545312639	0.8916530609
1545312640	1.19178009	19	101	1	3	5	8	7	1	2	3	8	n/a	1545312641	n/a
1545312641	1.191815853	19	102	1	3	5	8	8	2	2	3	8	n/a	1545312642	n/a
1545312643	1.191776991	19	103	1	3	5	8	9	1	2	3	8	n/a	1545312643	n/a
1545312644	1.191674948	19	104	1	3	5	8	10	1	2	3	8	n/a	1545312644	n/a
1545312645	1.199942827	19	105	1	3	5	8	11	2	2	3	8	n/a	1545312645	n/a
1545312646	1.191668034	19	106	1	3	5	8	12	1	2	3	8	1	1545312647	0.783509016
