onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544518815	1.391470909	2	1	2	4	9	1	1	3	3	14	9	NaN	NaN	NaN	NaN
1544518816	1.391790867	2	2	2	4	9	1	2	3	3	14	9	NaN	NaN	NaN	NaN
1544518817	1.391845942	2	3	2	4	9	1	3	3	3	14	9	NaN	NaN	NaN	NaN
1544518819	1.39176178	2	4	2	4	9	1	4	3	3	14	9	NaN	NaN	NaN	NaN
1544518820	1.391720057	2	5	2	4	9	1	5	3	3	14	9	NaN	NaN	NaN	NaN
1544518822	1.391753912	2	6	2	4	9	1	6	3	3	14	9	NaN	NaN	NaN	NaN
1544518823	1.391633987	2	7	2	4	9	1	7	3	3	14	9	NaN	NaN	NaN	NaN
1544518824	1.39171505	2	8	2	4	9	1	8	3	3	14	9	NaN	NaN	NaN	NaN
1544518826	1.391738892	2	9	2	4	9	1	9	3	3	14	9	NaN	NaN	NaN	NaN
NaN	NaN	2	10	2	4	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518829	1.399322987	2	11	2	4	1	2	1	2	2	14	9	NaN	1544518829	NaN	NaN
1544518830	1.40001297	2	12	2	4	1	2	2	1	1	14	9	NaN	1544518830	NaN	NaN
1544518831	1.399966955	2	13	2	4	1	2	3	2	1	14	9	NaN	1544518832	NaN	NaN
1544518833	1.399964094	2	14	2	4	1	2	4	2	1	14	9	NaN	1544518833	NaN	NaN
1544518834	1.40003705	2	15	2	4	1	2	5	2	1	14	9	NaN	1544518835	NaN	NaN
1544518836	1.400012016	2	16	2	4	1	2	6	2	2	14	9	NaN	1544518836	NaN	NaN
1544518837	1.391707897	2	17	2	4	1	2	7	2	2	14	9	1	1544518837	0.1170210838	0.1170210838
1544518838	1.400023937	2	18	2	4	1	2	8	1	1	14	9	NaN	1544518839	NaN	NaN
1544518840	1.400001049	2	19	2	4	1	2	9	1	2	14	9	NaN	1544518840	NaN	NaN
1544518841	1.400057077	2	20	2	4	1	2	10	1	2	14	9	1	1544518842	1.008632898	1.008632898
1544518843	1.400118113	2	21	2	4	1	2	11	1	2	14	9	NaN	1544518843	NaN	NaN
1544518844	1.400075197	2	22	2	4	1	2	12	1	1	14	9	NaN	1544518845	NaN	NaN
1544518846	1.400111198	2	23	2	4	1	2	13	1	1	14	9	NaN	1544518846	NaN	NaN
1544518847	1.400080919	2	24	2	4	1	2	14	2	2	14	10	0	1544518847	0.3419919014	0.3419919014
1544518848	1.400058985	2	25	2	4	1	2	15	1	2	14	11	0	1544518849	0.7336690426	0.7336690426
1544518850	1.400029182	2	26	2	4	1	2	16	2	1	14	11	1	1544518850	0.8502719402	0.8502719402
1544518851	1.400047064	2	27	2	4	1	2	17	1	2	14	11	1	1544518852	0.8921380043	0.8921380043
1544518853	1.391741991	2	28	2	4	1	2	18	1	1	14	10	1	1544518853	0.8671939373	0.8671939373
1544518854	1.399974108	2	29	2	4	1	2	19	1	2	14	10	NaN	1544518854	NaN	NaN
1544518855	1.400024891	2	30	2	4	1	2	20	2	1	14	10	NaN	1544518856	NaN	NaN
1544518857	1.391803026	2	31	2	4	1	2	21	1	1	14	10	NaN	1544518857	NaN	NaN
1544518858	1.391722918	2	32	2	4	1	2	22	1	1	14	10	NaN	1544518859	NaN	NaN
1544518860	1.40000701	2	33	2	4	1	2	23	2	1	14	10	NaN	1544518860	NaN	NaN
1544518861	1.400019884	2	34	2	4	1	2	24	2	1	14	10	NaN	1544518861	NaN	NaN
1544518862	1.391805172	2	35	2	4	1	2	25	2	1	14	10	NaN	1544518863	NaN	NaN
1544518864	1.399900913	2	36	2	4	1	2	26	1	1	14	10	NaN	1544518864	NaN	NaN
1544518865	1.400048971	2	37	2	4	1	2	27	2	1	14	11	0	1544518866	0.2585802078	0.2585802078
1544518867	1.400021076	2	38	2	4	1	2	28	1	1	14	12	0	1544518867	0.3761928082	0.3761928082
1544518868	1.400011063	2	39	2	4	1	2	29	1	1	14	12	NaN	1544518868	NaN	NaN
1544518869	1.400024176	2	40	2	4	1	2	30	1	2	14	12	NaN	1544518870	NaN	NaN
1544518871	1.400028944	2	41	2	4	1	2	31	1	2	14	12	NaN	1544518871	NaN	NaN
1544518872	1.40013814	2	42	2	4	1	2	32	1	1	14	12	NaN	1544518873	NaN	NaN
NaN	NaN	2	43	2	4	9	2	33	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518875	1.391366005	2	44	2	4	9	3	1	3	3	14	12	NaN	NaN	NaN	NaN
1544518876	1.391556978	2	45	2	4	9	3	2	3	3	14	12	NaN	NaN	NaN	NaN
1544518878	1.391725063	2	46	2	4	9	3	3	3	3	14	12	NaN	NaN	NaN	NaN
1544518879	1.391721964	2	47	2	4	9	3	4	3	3	14	12	NaN	NaN	NaN	NaN
1544518880	1.391775846	2	48	2	4	9	3	5	3	3	14	12	NaN	NaN	NaN	NaN
1544518882	1.391853094	2	49	2	4	9	3	6	3	3	14	12	NaN	NaN	NaN	NaN
1544518883	1.391610861	2	50	2	4	9	3	7	3	3	14	12	NaN	NaN	NaN	NaN
1544518885	1.391716003	2	51	2	4	9	3	8	3	3	14	12	NaN	NaN	NaN	NaN
1544518886	1.391775846	2	52	2	4	9	3	9	3	3	14	12	NaN	NaN	NaN	NaN
NaN	NaN	2	53	2	4	9	3	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518889	1.391526937	2	54	2	4	3	4	1	2	2	14	12	NaN	1544518889	NaN	NaN
1544518890	1.40003705	2	55	2	4	3	4	2	2	2	14	12	0	1544518891	0.9928958416	0.9928958416
1544518892	1.40001297	2	56	2	4	3	4	3	2	1	14	13	NaN	1544518892	NaN	NaN
1544518893	1.400033951	2	57	2	4	3	4	4	2	2	14	13	NaN	1544518893	NaN	NaN
1544518894	1.40003705	2	58	2	4	3	4	5	2	2	14	13	1	1544518895	0.275290966	0.275290966
1544518896	1.40001297	2	59	2	4	3	4	6	1	1	14	13	1	1544518896	0.9920511246	0.9920511246
1544518897	1.400056124	2	60	2	4	3	4	7	1	2	14	12	1	1544518898	0.8504099846	0.8504099846
1544518899	1.400027037	2	61	2	4	3	4	8	2	1	14	12	NaN	1544518899	NaN	NaN
1544518900	1.40001297	2	62	2	4	3	4	9	1	1	14	12	NaN	1544518900	NaN	NaN
1544518902	1.400053024	2	63	2	4	3	4	10	2	2	14	12	NaN	1544518902	NaN	NaN
1544518903	1.400002956	2	64	2	4	3	4	11	2	1	14	12	NaN	1544518903	NaN	NaN
1544518904	1.400062084	2	65	2	4	3	4	12	1	1	14	12	NaN	1544518905	NaN	NaN
1544518906	1.400063992	2	66	2	4	3	4	13	2	2	14	12	NaN	1544518906	NaN	NaN
1544518907	1.400024891	2	67	2	4	3	4	14	2	2	14	12	1	1544518908	0.8839120865	0.8839120865
1544518909	1.408385992	2	68	2	4	3	4	15	2	2	14	12	1	1544518909	0.8168401718	0.8168401718
1544518910	1.400103092	2	69	2	4	3	4	16	2	2	14	11	1	1544518910	0.8751599789	0.8751599789
1544518911	1.400051117	2	70	2	4	3	4	17	1	1	14	11	NaN	1544518912	NaN	NaN
1544518913	1.399944067	2	71	2	4	3	4	18	2	1	14	11	NaN	1544518913	NaN	NaN
NaN	NaN	2	72	2	4	9	4	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518915	1.39173913	2	73	2	4	9	5	1	3	3	14	11	NaN	NaN	NaN	NaN
1544518917	1.391577005	2	74	2	4	9	5	2	3	3	14	11	NaN	NaN	NaN	NaN
1544518918	1.391755104	2	75	2	4	9	5	3	3	3	14	11	NaN	NaN	NaN	NaN
1544518920	1.391736984	2	76	2	4	9	5	4	3	3	14	11	NaN	NaN	NaN	NaN
1544518921	1.391800165	2	77	2	4	9	5	5	3	3	14	11	NaN	NaN	NaN	NaN
1544518922	1.39173913	2	78	2	4	9	5	6	3	3	14	11	NaN	NaN	NaN	NaN
1544518924	1.391665936	2	79	2	4	9	5	7	3	3	14	11	NaN	NaN	NaN	NaN
1544518925	1.39170289	2	80	2	4	9	5	8	3	3	14	11	NaN	NaN	NaN	NaN
1544518927	1.391766787	2	81	2	4	9	5	9	3	3	14	11	NaN	NaN	NaN	NaN
NaN	NaN	2	82	2	4	9	5	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518929	1.400207996	2	83	2	4	5	6	1	2	2	14	11	NaN	1544518930	NaN	NaN
1544518931	1.399703026	2	84	2	4	5	6	2	1	2	14	11	NaN	1544518931	NaN	NaN
1544518932	1.400007963	2	85	2	4	5	6	3	1	2	14	11	0	1544518933	1.000124931	1.000124931
1544518934	1.399965048	2	86	2	4	5	6	4	2	1	14	12	1	1544518934	0.9251770973	0.9251770973
1544518935	1.391654968	2	87	2	4	5	6	5	1	1	14	12	NaN	1544518935	NaN	NaN
1544518936	1.399986029	2	88	2	4	5	6	6	2	1	14	12	NaN	1544518937	NaN	NaN
1544518938	1.40012002	2	89	2	4	5	6	7	2	1	14	12	1	1544518938	0.03363108635	0.03363108635
1544518939	1.39994812	2	90	2	4	5	6	8	2	1	14	12	NaN	1544518940	NaN	NaN
1544518941	1.400044918	2	91	2	4	5	6	9	2	1	14	11	1	1544518941	0.7336699963	0.7336699963
1544518942	1.391686916	2	92	2	4	5	6	10	2	1	14	11	1	1544518943	0.741756916	0.741756916
1544518944	1.400099039	2	93	2	4	5	6	11	1	2	14	11	1	1544518944	0.7500770092	0.7500770092
1544518945	1.400027037	2	94	2	4	5	6	12	2	1	14	11	0	1544518945	0.9834089279	0.9834089279
1544518946	1.400038004	2	95	2	4	5	6	13	1	1	14	12	1	1544518947	0.9917750359	0.9917750359
1544518948	1.3918221	2	96	2	4	5	6	14	1	2	14	12	1	1544518948	0.9501907825	0.9501907825
1544518949	1.400052071	2	97	2	4	5	6	15	2	1	14	11	1	1544518950	0.8417160511	0.8417160511
1544518951	1.391726017	2	98	2	4	5	6	16	1	2	14	11	1	1544518951	0.8918149471	0.8918149471
1544518952	1.399979115	2	99	2	4	5	6	17	2	2	14	11	1	1544518952	0.9835000038	0.9835000038
1544518953	1.399971962	2	100	2	4	5	6	18	1	2	14	11	NaN	1544518954	NaN	NaN
1544518955	1.39998889	2	101	2	4	5	6	19	1	2	14	11	NaN	1544518955	NaN	NaN
1544518956	1.400057077	2	102	2	4	5	6	20	1	2	14	11	NaN	1544518957	NaN	NaN
1544518958	1.400063038	2	103	2	4	5	6	21	1	1	14	10	1	1544518958	0.158425808	0.158425808
1544518959	1.400128126	2	104	2	4	5	6	22	1	1	14	11	0	1544518959	0.2667961121	0.2667961121
1544518960	1.400045156	2	105	2	4	5	6	23	1	1	14	11	NaN	1544518961	NaN	NaN
1544518962	1.400122881	2	106	2	4	5	6	24	1	1	14	11	NaN	1544518962	NaN	NaN
1544518963	1.400038004	2	107	2	4	5	6	25	1	1	14	11	NaN	1544518964	NaN	NaN
1544518965	1.400044918	2	108	2	4	5	6	26	1	2	14	11	NaN	1544518965	NaN	NaN
1544518966	1.400105	2	109	2	4	5	6	27	2	1	14	11	NaN	1544518966	NaN	NaN
1544518967	1.399965048	2	110	2	4	5	6	28	2	1	14	11	NaN	1544518968	NaN	NaN
1544518969	1.400052071	2	111	2	4	5	6	29	2	2	14	11	NaN	1544518969	NaN	NaN
1544518970	1.400058031	2	112	2	4	5	6	30	2	2	14	12	0	1544518971	0.6254580021	0.6254580021
1544518972	1.391716957	2	113	2	4	5	6	31	2	1	14	12	1	1544518972	0.8669469357	0.8669469357
1544518973	1.39171505	2	114	2	4	5	6	32	1	1	14	12	1	1544518973	0.9167129993	0.9167129993
NaN	NaN	2	115	2	4	9	6	33	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518976	1.391501904	2	116	2	4	9	7	1	3	3	14	12	NaN	NaN	NaN	NaN
1544518977	1.391674042	2	117	2	4	9	7	2	3	3	14	12	NaN	NaN	NaN	NaN
1544518978	1.391862154	2	118	2	4	9	7	3	3	3	14	12	NaN	NaN	NaN	NaN
1544518980	1.391736984	2	119	2	4	9	7	4	3	3	14	12	NaN	NaN	NaN	NaN
1544518981	1.391824007	2	120	2	4	9	7	5	3	3	14	12	NaN	NaN	NaN	NaN
1544518983	1.391684055	2	121	2	4	9	7	6	3	3	14	12	NaN	NaN	NaN	NaN
1544518984	1.391722918	2	122	2	4	9	7	7	3	3	14	12	NaN	NaN	NaN	NaN
1544518985	1.391736984	2	123	2	4	9	7	8	3	3	14	12	NaN	NaN	NaN	NaN
1544518987	1.391714096	2	124	2	4	9	7	9	3	3	14	12	NaN	NaN	NaN	NaN
NaN	NaN	2	125	2	4	9	7	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544518988	1.408294916	2	126	2	4	7	8	1	2	2	14	12	NaN	1544518989	NaN	NaN
1544518990	1.400081158	2	127	2	4	7	8	2	1	1	14	12	NaN	1544518990	NaN	NaN
1544518991	1.391614199	2	128	2	4	7	8	3	2	2	14	12	NaN	1544518992	NaN	NaN
1544518993	1.391618013	2	129	2	4	7	8	4	2	2	14	11	1	1544518993	0.7593560219	0.7593560219
1544518994	1.400016069	2	130	2	4	7	8	5	2	2	14	11	1	1544518994	0.7752289772	0.7752289772
1544518995	1.400091171	2	131	2	4	7	8	6	2	1	14	11	1	1544518996	0.9584009647	0.9584009647
1544518997	1.400067091	2	132	2	4	7	8	7	2	1	14	10	1	1544518997	0.8750348091	0.8750348091
1544518998	1.400074959	2	133	2	4	7	8	8	2	2	14	10	1	1544518999	0.8667359352	0.8667359352
1544519000	1.399929047	2	134	2	4	7	8	9	2	1	14	10	1	1544519000	0.8250730038	0.8250730038
