onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
1544727086	1.191468954	10	1	2	2	9	1	1	3	3	5	6	NaN	NaN	NaN	NaN
1544727087	1.191614151	10	2	2	2	9	1	2	3	3	5	6	NaN	NaN	NaN	NaN
1544727088	1.191674232	10	3	2	2	9	1	3	3	3	5	6	NaN	NaN	NaN	NaN
1544727089	1.191792011	10	4	2	2	9	1	4	3	3	5	6	NaN	NaN	NaN	NaN
1544727091	1.191797972	10	5	2	2	9	1	5	3	3	5	6	NaN	NaN	NaN	NaN
1544727092	1.191705942	10	6	2	2	9	1	6	3	3	5	6	NaN	NaN	NaN	NaN
1544727093	1.191843033	10	7	2	2	9	1	7	3	3	5	6	NaN	NaN	NaN	NaN
1544727094	1.191661119	10	8	2	2	9	1	8	3	3	5	6	NaN	NaN	NaN	NaN
1544727095	1.191703081	10	9	2	2	9	1	9	3	3	5	6	NaN	NaN	NaN	NaN
NaN	NaN	10	10	2	2	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544727098	1.19097209	10	11	2	2	1	2	1	1	2	5	6	1	1544727098	0.625262022	0.625262022
1544727099	1.191725969	10	12	2	2	1	2	2	2	1	5	6	1	1544727099	0.6585030556	0.6585030556
1544727100	1.191739082	10	13	2	2	1	2	3	1	2	5	5	1	1544727101	0.6334650517	0.6334650517
1544727101	1.191730976	10	14	2	2	1	2	4	1	2	5	5	1	1544727102	0.6253678799	0.6253678799
1544727103	1.20003581	10	15	2	2	1	2	5	2	1	5	6	0	1544727103	0.6996538639	0.6996538639
1544727104	1.200035095	10	16	2	2	1	2	6	1	2	5	6	1	1544727104	0.7426161766	0.7426161766
1544727105	1.191760063	10	17	2	2	1	2	7	2	1	5	7	0	1544727105	0.6754109859	0.6754109859
1544727106	1.200020075	10	18	2	2	1	2	8	1	2	5	7	1	1544727107	0.6336150169	0.6336150169
1544727107	1.200061083	10	19	2	2	1	2	9	2	2	5	7	1	1544727108	0.5421907902	0.5421907902
1544727109	1.191700935	10	20	2	2	1	2	10	2	2	5	8	0	1544727109	0.6336650848	0.6336650848
1544727110	1.191720009	10	21	2	2	1	2	11	2	1	5	8	1	1544727110	0.5836799145	0.5836799145
1544727111	1.200040102	10	22	2	2	1	2	12	2	2	5	8	1	1544727111	0.5418519974	0.5418519974
1544727112	1.200063944	10	23	2	2	1	2	13	2	1	5	7	1	1544727113	0.6336560249	0.6336560249
1544727114	1.200063944	10	24	2	2	1	2	14	2	2	5	7	1	1544727114	0.6917250156	0.6917250156
1544727115	1.200045109	10	25	2	2	1	2	15	1	1	5	7	1	1544727115	0.6178150177	0.6178150177
1544727116	1.200059891	10	26	2	2	1	2	16	2	2	5	6	1	1544727116	0.6001338959	0.6001338959
1544727117	1.200037003	10	27	2	2	1	2	17	1	1	5	7	0	1544727117	0.6418271065	0.6418271065
1544727118	1.191678047	10	28	2	2	1	2	18	1	2	5	7	1	1544727119	0.5917918682	0.5917918682
NaN	NaN	10	29	2	2	9	2	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544727121	1.191174984	10	30	2	2	9	3	1	3	3	5	7	NaN	NaN	NaN	NaN
1544727122	1.191416979	10	31	2	2	9	3	2	3	3	5	7	NaN	NaN	NaN	NaN
1544727123	1.191680908	10	32	2	2	9	3	3	3	3	5	7	NaN	NaN	NaN	NaN
1544727124	1.191709042	10	33	2	2	9	3	4	3	3	5	7	NaN	NaN	NaN	NaN
1544727125	1.191805124	10	34	2	2	9	3	5	3	3	5	7	NaN	NaN	NaN	NaN
1544727127	1.191720963	10	35	2	2	9	3	6	3	3	5	7	NaN	NaN	NaN	NaN
1544727128	1.191836119	10	36	2	2	9	3	7	3	3	5	7	NaN	NaN	NaN	NaN
1544727129	1.191580057	10	37	2	2	9	3	8	3	3	5	7	NaN	NaN	NaN	NaN
1544727130	1.191723108	10	38	2	2	9	3	9	3	3	5	7	NaN	NaN	NaN	NaN
NaN	NaN	10	39	2	2	9	3	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544727133	1.191663027	10	40	2	2	5	4	1	2	2	5	7	1	1544727133	0.6255440712	0.6255440712
1544727134	1.191735983	10	41	2	2	5	4	2	2	2	5	6	1	1544727134	0.6001551151	0.6001551151
1544727135	1.191830873	10	42	2	2	5	4	3	2	1	5	6	1	1544727135	0.6670091152	0.6670091152
1544727136	1.191689968	10	43	2	2	5	4	4	2	1	5	6	1	1544727137	0.7835590839	0.7835590839
1544727137	1.1916852	10	44	2	2	5	4	5	1	2	5	5	1	1544727138	0.7000558376	0.7000558376
1544727139	1.199985027	10	45	2	2	5	4	6	2	2	5	5	1	1544727139	0.6918261051	0.6918261051
1544727140	1.199995995	10	46	2	2	5	4	7	2	1	5	5	1	1544727140	0.7668430805	0.7668430805
1544727141	1.200085878	10	47	2	2	5	4	8	1	1	5	4	1	1544727141	0.658449173	0.658449173
1544727142	1.200015068	10	48	2	2	5	4	9	1	1	5	4	1	1544727143	0.7334117889	0.7334117889
1544727143	1.191727877	10	49	2	2	5	4	10	2	1	5	4	1	1544727144	0.6668841839	0.6668841839
1544727145	1.191684008	10	50	2	2	5	4	11	1	2	5	5	0	1544727145	0.7837109566	0.7837109566
1544727146	1.191694975	10	51	2	2	5	4	12	2	1	5	6	0	1544727146	0.6501669884	0.6501669884
1544727147	1.191634178	10	52	2	2	5	4	13	2	1	5	6	1	1544727147	0.6752281189	0.6752281189
1544727148	1.191693068	10	53	2	2	5	4	14	1	2	5	6	1	1544727149	0.7000491619	0.7000491619
1544727149	1.191684008	10	54	2	2	5	4	15	1	1	5	5	1	1544727150	0.6917128563	0.6917128563
1544727151	1.191701174	10	55	2	2	5	4	16	1	2	5	5	1	1544727151	0.6501350403	0.6501350403
1544727152	1.191729069	10	56	2	2	5	4	17	1	1	5	5	1	1544727152	0.8333990574	0.8333990574
1544727153	1.19165802	10	57	2	2	5	4	18	2	2	5	6	0	1544727153	0.7585520744	0.7585520744
NaN	NaN	10	58	2	2	9	4	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544727155	1.191783905	10	59	2	2	9	5	1	3	3	5	6	NaN	NaN	NaN	NaN
1544727157	1.191773176	10	60	2	2	9	5	2	3	3	5	6	NaN	NaN	NaN	NaN
1544727158	1.191796064	10	61	2	2	9	5	3	3	3	5	6	NaN	NaN	NaN	NaN
1544727159	1.191797018	10	62	2	2	9	5	4	3	3	5	6	NaN	NaN	NaN	NaN
1544727160	1.191735029	10	63	2	2	9	5	5	3	3	5	6	NaN	NaN	NaN	NaN
1544727161	1.191761971	10	64	2	2	9	5	6	3	3	5	6	NaN	NaN	NaN	NaN
1544727163	1.191720009	10	65	2	2	9	5	7	3	3	5	6	NaN	NaN	NaN	NaN
1544727164	1.191715956	10	66	2	2	9	5	8	3	3	5	6	NaN	NaN	NaN	NaN
1544727165	1.191721916	10	67	2	2	9	5	9	3	3	5	6	NaN	NaN	NaN	NaN
NaN	NaN	10	68	2	2	9	5	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
1544727167	1.191751957	10	69	2	2	1	6	1	2	1	5	6	1	1544727168	0.7172520161	0.7172520161
1544727169	1.19165206	10	70	2	2	1	6	2	1	2	5	6	1	1544727169	0.6083738804	0.6083738804
1544727170	1.200088978	10	71	2	2	1	6	3	1	1	5	5	1	1544727170	0.6168370247	0.6168370247
