onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545309920	1.191458941	10	1	2	3	9	1	1	3	3	6	4	n/a	n/a	n/a
1545309921	1.191617012	10	2	2	3	9	1	2	3	3	6	4	n/a	n/a	n/a
1545309923	1.191860914	10	3	2	3	9	1	3	3	3	6	4	n/a	n/a	n/a
1545309924	1.191721916	10	4	2	3	9	1	4	3	3	6	4	n/a	n/a	n/a
1545309925	1.191705942	10	5	2	3	9	1	5	3	3	6	4	n/a	n/a	n/a
1545309926	1.191695929	10	6	2	3	9	1	6	3	3	6	4	n/a	n/a	n/a
1545309927	1.191817045	10	7	2	3	9	1	7	3	3	6	4	n/a	n/a	n/a
1545309929	1.191672087	10	8	2	3	9	1	8	3	3	6	4	n/a	n/a	n/a
1545309930	1.191786051	10	9	2	3	9	1	9	3	3	6	4	n/a	n/a	n/a
1545309931	1.191767931	10	10	2	3	9	1	10	3	3	6	4	n/a	n/a	n/a
1545309932	1.204488993	10	11	2	3	1	2	1	2	1	6	4	n/a	1545309933	n/a
1545309934	1.200099945	10	12	2	3	1	2	2	2	1	6	4	1	1545309934	0.05866503716
1545309935	1.200026035	10	13	2	3	1	2	3	2	1	6	3	1	1545309935	0.8586351871
1545309936	1.208393097	10	14	2	3	1	2	4	1	2	6	3	0	1545309936	0.9169840813
1545309937	1.191740036	10	15	2	3	1	2	5	2	2	6	5	0	1545309938	0.6247961521
1545309938	1.191721201	10	16	2	3	1	2	6	2	2	6	5	1	1545309939	0.5752489567
1545309940	1.191729069	10	17	2	3	1	2	7	1	1	6	5	1	1545309940	0.73458004
1545309941	1.191710949	10	18	2	3	1	2	8	1	2	6	4	1	1545309941	0.8169639111
1545309942	1.191682816	10	19	2	3	1	2	9	1	2	6	4	1	1545309942	0.7585959435
1545309943	1.191666842	10	20	2	3	1	2	10	2	1	6	5	0	1545309944	0.8253850937
1545309944	1.199884892	10	21	2	3	1	2	11	1	1	6	5	n/a	1545309945	n/a
1545309946	1.191698074	10	22	2	3	1	2	12	2	1	6	6	0	1545309946	0.8262579441
