onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545307560	1.191411972	3	1	1	4	9	1	1	3	3	4	6	n/a	n/a	n/a
1545307562	1.191677809	3	2	1	4	9	1	2	3	3	4	6	n/a	n/a	n/a
1545307563	1.19175601	3	3	1	4	9	1	3	3	3	4	6	n/a	n/a	n/a
1545307564	1.191723108	3	4	1	4	9	1	4	3	3	4	6	n/a	n/a	n/a
1545307565	1.191725016	3	5	1	4	9	1	5	3	3	4	6	n/a	n/a	n/a
1545307566	1.191678047	3	6	1	4	9	1	6	3	3	4	6	n/a	n/a	n/a
1545307568	1.191794157	3	7	1	4	9	1	7	3	3	4	6	n/a	n/a	n/a
1545307569	1.191625834	3	8	1	4	9	1	8	3	3	4	6	n/a	n/a	n/a
1545307570	1.191741943	3	9	1	4	9	1	9	3	3	4	6	n/a	n/a	n/a
1545307571	1.191735983	3	10	1	4	9	1	10	3	3	4	6	n/a	n/a	n/a
1545307573	1.213322878	3	11	1	4	1	2	1	1	2	4	6	n/a	1545307573	n/a
1545307574	1.200091124	3	12	1	4	1	2	2	2	1	5	6	0	1545307574	0.6753909588
1545307575	1.200052023	3	13	1	4	1	2	3	2	2	5	6	1	1545307575	0.6752331257
1545307576	1.200063944	3	14	1	4	1	2	4	2	2	6	6	0	1545307577	0.6252160072
1545307577	1.200026989	3	15	1	4	1	2	5	1	2	6	6	1	1545307578	0.7163109779
1545307579	1.200026989	3	16	1	4	1	2	6	2	2	6	6	1	1545307579	0.7586321831
1545307580	1.199961901	3	17	1	4	1	2	7	1	1	5	6	1	1545307580	0.6503648758
1545307581	1.200031042	3	18	1	4	1	2	8	2	1	5	6	1	1545307581	0.6335818768
1545307582	1.191709042	3	19	1	4	1	2	9	2	1	5	6	1	1545307583	0.6252260208
1545307584	1.200073957	3	20	1	4	1	2	10	1	2	4	6	1	1545307584	0.6928639412
1545307585	1.200028896	3	21	1	4	1	2	11	2	1	4	6	1	1545307585	0.8428461552
1545307586	1.200078964	3	22	1	4	1	2	12	1	2	4	6	1	1545307586	0.6252000332
1545307587	1.200059175	3	23	1	4	1	2	13	2	2	3	6	1	1545307587	0.6838030815
1545307588	1.200026989	3	24	1	4	1	2	14	2	1	4	6	0	1545307589	0.6920681
1545307590	1.200009823	3	25	1	4	1	2	15	2	1	4	6	1	1545307590	0.7251479626
1545307591	1.200070143	3	26	1	4	1	2	16	2	2	4	6	1	1545307591	0.7833731174
1545307592	1.200011969	3	27	1	4	1	2	17	1	1	4	6	1	1545307592	0.8920769691
1545307593	1.200001001	3	28	1	4	1	2	18	1	1	4	6	0	1545307593	0.7836670876
1545307594	1.191653013	3	29	1	4	1	2	19	2	1	4	6	1	1545307595	0.8751580715
1545307596	1.200067997	3	30	1	4	1	2	20	1	2	4	6	1	1545307596	0.8586301804
1545307597	1.191681862	3	31	1	4	1	2	21	2	1	3	6	1	1545307597	0.7917699814
