onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545312031	1.191456079	17	1	1	2	9	1	1	3	3	5	8	n/a	n/a	n/a
1545312032	1.191659927	17	2	1	2	9	1	2	3	3	5	8	n/a	n/a	n/a
1545312033	1.191717863	17	3	1	2	9	1	3	3	3	5	8	n/a	n/a	n/a
1545312035	1.191890955	17	4	1	2	9	1	4	3	3	5	8	n/a	n/a	n/a
1545312036	1.191701889	17	5	1	2	9	1	5	3	3	5	8	n/a	n/a	n/a
1545312037	1.191810846	17	6	1	2	9	1	6	3	3	5	8	n/a	n/a	n/a
1545312038	1.191919088	17	7	1	2	9	1	7	3	3	5	8	n/a	n/a	n/a
1545312039	1.191725016	17	8	1	2	9	1	8	3	3	5	8	n/a	n/a	n/a
1545312041	1.191776037	17	9	1	2	9	1	9	3	3	5	8	n/a	n/a	n/a
1545312042	1.191781998	17	10	1	2	9	1	10	3	3	5	8	n/a	n/a	n/a
1545312043	1.196663857	17	11	1	2	1	2	1	1	2	5	8	n/a	1545312043	n/a
1545312044	1.191781044	17	12	1	2	1	2	2	2	1	4	8	1	1545312045	0.6169991493
1545312046	1.191727161	17	13	1	2	1	2	3	1	1	4	8	1	1545312046	0.7085030079
1545312047	1.191753149	17	14	1	2	1	2	4	2	2	4	8	1	1545312047	0.6918311119
1545312048	1.19178319	17	15	1	2	1	2	5	2	2	3	8	1	1545312048	0.7329950333
1545312049	1.191847086	17	16	1	2	1	2	6	1	1	3	8	1	1545312049	0.6753590107
1545312050	1.200131893	17	17	1	2	1	2	7	1	2	3	8	1	1545312051	0.775357008
1545312052	1.200114012	17	18	1	2	1	2	8	2	1	2	8	1	1545312052	0.7919309139
1545312053	1.200099945	17	19	1	2	1	2	9	2	2	2	8	1	1545312053	0.7595598698
1545312054	1.191732883	17	20	1	2	1	2	10	1	2	2	8	1	1545312054	0.8835840225
1545312055	1.19175601	17	21	1	2	1	2	11	1	1	2	8	1	1545312055	0.7179989815
1545312056	1.200101137	17	22	1	2	1	2	12	2	1	2	8	1	1545312057	0.7923059464
1545312058	1.200119019	17	23	1	2	1	2	13	2	1	2	8	1	1545312058	0.650108099
1545312059	1.20012188	17	24	1	2	1	2	14	2	1	2	8	1	1545312059	0.6751260757
1545312060	1.191793203	17	25	1	2	1	2	15	1	1	3	8	0	1545312060	0.7503409386
1545312061	1.191722155	17	26	1	2	1	2	16	1	1	4	8	0	1545312061	0.6668851376
1545312062	1.191699982	17	27	1	2	1	2	17	2	2	4	8	1	1545312063	0.6501150131
1545312064	1.191900015	17	28	1	2	1	2	18	1	1	4	8	1	1545312064	0.7669200897
1545312065	1.207086086	17	29	1	2	9	3	1	3	3	4	8	n/a	n/a	n/a
1545312066	1.191591024	17	30	1	2	9	3	2	3	3	4	8	n/a	n/a	n/a
1545312067	1.191812038	17	31	1	2	9	3	3	3	3	4	8	n/a	n/a	n/a
1545312069	1.191810131	17	32	1	2	9	3	4	3	3	4	8	n/a	n/a	n/a
1545312070	1.191776037	17	33	1	2	9	3	5	3	3	4	8	n/a	n/a	n/a
1545312071	1.191843987	17	34	1	2	9	3	6	3	3	4	8	n/a	n/a	n/a
1545312072	1.191823959	17	35	1	2	9	3	7	3	3	4	8	n/a	n/a	n/a
1545312073	1.191694975	17	36	1	2	9	3	8	3	3	4	8	n/a	n/a	n/a
1545312075	1.19172883	17	37	1	2	9	3	9	3	3	4	8	n/a	n/a	n/a
1545312076	1.191736937	17	38	1	2	9	3	10	3	3	4	8	n/a	n/a	n/a
1545312077	1.208086014	17	39	1	2	5	4	1	1	2	5	8	0	1545312077	0.5752079487
1545312078	1.191725969	17	40	1	2	5	4	2	1	2	5	8	n/a	1545312079	n/a
1545312079	1.191757917	17	41	1	2	5	4	3	2	2	5	8	1	1545312080	0.7252299786
1545312081	1.191837072	17	42	1	2	5	4	4	2	2	5	8	1	1545312081	0.7001898289
1545312082	1.19184804	17	43	1	2	5	4	5	1	2	6	8	0	1545312082	0.7002189159
1545312083	1.191833019	17	44	1	2	5	4	6	2	1	6	8	1	1545312083	0.6584789753
1545312084	1.200104952	17	45	1	2	5	4	7	2	2	6	8	1	1545312085	0.5834619999
1545312085	1.191745043	17	46	1	2	5	4	8	2	2	7	8	0	1545312086	0.8170518875
1545312087	1.20005393	17	47	1	2	5	4	9	2	1	7	8	1	1545312087	0.8418109417
1545312088	1.200104952	17	48	1	2	5	4	10	2	1	7	8	1	1545312088	0.8667860031
1545312089	1.191782951	17	49	1	2	5	4	11	1	2	6	8	1	1545312089	0.6918039322
1545312090	1.200103998	17	50	1	2	5	4	12	1	1	6	8	1	1545312091	0.7168459892
1545312092	1.191788912	17	51	1	2	5	4	13	2	1	7	8	0	1545312092	0.7750718594
1545312093	1.191787004	17	52	1	2	5	4	14	1	1	7	8	1	1545312093	0.7001440525
1545312094	1.200083017	17	53	1	2	5	4	15	2	2	7	8	1	1545312094	0.6250779629
1545312095	1.191778183	17	54	1	2	5	4	16	2	1	8	8	0	1545312095	0.6835980415
1545312096	1.191776037	17	55	1	2	5	4	17	1	1	8	8	1	1545312097	0.7002139091
1545312098	1.191796064	17	56	1	2	5	4	18	2	2	8	8	1	1545312098	0.6834409237
1545312099	1.199900866	17	57	1	2	9	5	1	3	3	8	8	n/a	n/a	n/a
1545312100	1.191793203	17	58	1	2	9	5	2	3	3	8	8	n/a	n/a	n/a
1545312101	1.191774845	17	59	1	2	9	5	3	3	3	8	8	n/a	n/a	n/a
1545312102	1.19177103	17	60	1	2	9	5	4	3	3	8	8	n/a	n/a	n/a
1545312104	1.191759825	17	61	1	2	9	5	5	3	3	8	8	n/a	n/a	n/a
1545312105	1.191864967	17	62	1	2	9	5	6	3	3	8	8	n/a	n/a	n/a
1545312106	1.191736221	17	63	1	2	9	5	7	3	3	8	8	n/a	n/a	n/a
1545312107	1.191741228	17	64	1	2	9	5	8	3	3	8	8	n/a	n/a	n/a
1545312108	1.191787958	17	65	1	2	9	5	9	3	3	8	8	n/a	n/a	n/a
1545312110	1.191825151	17	66	1	2	9	5	10	3	3	8	8	n/a	n/a	n/a
1545312111	1.199898005	17	67	1	2	1	6	1	2	2	7	8	1	1545312111	0.4421482086
1545312112	1.191790104	17	68	1	2	1	6	2	1	2	7	8	1	1545312113	0.3917667866
1545312113	1.191843033	17	69	1	2	1	6	3	1	2	7	8	1	1545312114	0.3667211533
1545312115	1.191827059	17	70	1	2	1	6	4	2	1	8	8	0	1545312115	0.1668689251
1545312116	1.191629171	17	71	1	2	1	6	5	2	2	8	8	1	1545312116	0.6251349449
1545312117	1.200167894	17	72	1	2	1	6	6	1	2	8	8	1	1545312117	0.7418911457
1545312118	1.200093031	17	73	1	2	1	6	7	2	2	7	8	1	1545312119	0.7501158714
1545312119	1.200109959	17	74	1	2	1	6	8	1	2	7	8	1	1545312120	0.7168121338
1545312121	1.19178915	17	75	1	2	1	6	9	1	2	7	8	1	1545312121	0.6751558781
1545312122	1.200160027	17	76	1	2	1	6	10	1	2	8	8	0	1545312122	0.6753189564
1545312123	1.200120926	17	77	1	2	1	6	11	2	2	8	8	1	1545312123	0.6751599312
1545312124	1.191777945	17	78	1	2	1	6	12	2	2	8	8	1	1545312125	0.5668489933
1545312125	1.199990988	17	79	1	2	1	6	13	1	2	7	8	1	1545312126	0.6168370247
1545312127	1.19172883	17	80	1	2	1	6	14	2	2	7	8	1	1545312127	0.6668539047
1545312128	1.191791058	17	81	1	2	1	6	15	1	2	7	8	1	1545312128	0.7251389027
1545312129	1.191837072	17	82	1	2	1	6	16	1	2	6	8	1	1545312129	0.7501828671
1545312130	1.191812038	17	83	1	2	1	6	17	1	2	6	8	1	1545312131	0.6752159595
1545312131	1.191780806	17	84	1	2	1	6	18	1	2	6	8	1	1545312132	0.7334220409
1545312133	1.199805975	17	85	1	2	9	7	1	3	3	6	8	n/a	n/a	n/a
1545312134	1.191812992	17	86	1	2	9	7	2	3	3	6	8	n/a	n/a	n/a
1545312135	1.191798925	17	87	1	2	9	7	3	3	3	6	8	n/a	n/a	n/a
1545312136	1.19175005	17	88	1	2	9	7	4	3	3	6	8	n/a	n/a	n/a
1545312138	1.191771984	17	89	1	2	9	7	5	3	3	6	8	n/a	n/a	n/a
1545312139	1.191761971	17	90	1	2	9	7	6	3	3	6	8	n/a	n/a	n/a
1545312140	1.191778898	17	91	1	2	9	7	7	3	3	6	8	n/a	n/a	n/a
1545312141	1.191745043	17	92	1	2	9	7	8	3	3	6	8	n/a	n/a	n/a
1545312142	1.191740036	17	93	1	2	9	7	9	3	3	6	8	n/a	n/a	n/a
1545312144	1.191736937	17	94	1	2	9	7	10	3	3	6	8	n/a	n/a	n/a
1545312145	1.199753046	17	95	1	2	5	8	1	2	2	5	8	1	1545312145	0.2750980854
1545312146	1.191772938	17	96	1	2	5	8	2	1	1	6	8	0	1545312146	0.4251351357
1545312147	1.200073957	17	97	1	2	5	8	3	1	1	7	8	0	1545312148	0.6668388844
