onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545307848	1.191439152	4	1	2	4	9	1	1	3	3	9	6	n/a	n/a	n/a
1545307849	1.191590071	4	2	2	4	9	1	2	3	3	9	6	n/a	n/a	n/a
1545307851	1.191775799	4	3	2	4	9	1	3	3	3	9	6	n/a	n/a	n/a
1545307852	1.191729069	4	4	2	4	9	1	4	3	3	9	6	n/a	n/a	n/a
1545307853	1.191761017	4	5	2	4	9	1	5	3	3	9	6	n/a	n/a	n/a
1545307854	1.191745043	4	6	2	4	9	1	6	3	3	9	6	n/a	n/a	n/a
1545307855	1.1918571	4	7	2	4	9	1	7	3	3	9	6	n/a	n/a	n/a
1545307857	1.191590786	4	8	2	4	9	1	8	3	3	9	6	n/a	n/a	n/a
1545307858	1.191726923	4	9	2	4	9	1	9	3	3	9	6	n/a	n/a	n/a
1545307859	1.191769123	4	10	2	4	9	1	10	3	3	9	6	n/a	n/a	n/a
1545307860	1.204838991	4	11	2	4	1	2	1	1	2	9	6	n/a	1545307861	n/a
1545307861	1.200056076	4	12	2	4	1	2	2	1	2	9	6	n/a	1545307862	n/a
1545307863	1.200083017	4	13	2	4	1	2	3	2	1	9	6	n/a	1545307863	n/a
1545307864	1.200025082	4	14	2	4	1	2	4	1	2	9	6	n/a	1545307864	n/a
1545307865	1.191701174	4	15	2	4	1	2	5	2	2	9	6	n/a	1545307865	n/a
1545307866	1.200054169	4	16	2	4	1	2	6	2	2	9	6	1	1545307867	0.7836799622
1545307868	1.199997187	4	17	2	4	1	2	7	2	2	9	6	1	1545307868	0.9003269672
1545307869	1.200062037	4	18	2	4	1	2	8	1	2	9	6	n/a	1545307869	n/a
1545307870	1.191730022	4	19	2	4	1	2	9	2	2	9	6	n/a	1545307870	n/a
1545307871	1.200011015	4	20	2	4	1	2	10	2	2	9	5	1	1545307871	0.7837488651
1545307872	1.20004797	4	21	2	4	1	2	11	1	1	9	5	n/a	1545307873	n/a
1545307874	1.20012188	4	22	2	4	1	2	12	1	2	9	5	n/a	1545307874	n/a
1545307875	1.200029135	4	23	2	4	1	2	13	1	1	9	5	n/a	1545307875	n/a
1545307876	1.200129986	4	24	2	4	1	2	14	1	2	9	5	n/a	1545307876	n/a
1545307877	1.200026035	4	25	2	4	1	2	15	2	1	9	5	n/a	1545307877	n/a
1545307878	1.200123072	4	26	2	4	1	2	16	2	2	9	5	1	1545307879	0.8502469063
1545307880	1.200153112	4	27	2	4	1	2	17	2	1	9	5	n/a	1545307880	n/a
1545307881	1.20004797	4	28	2	4	1	2	18	1	1	9	5	n/a	1545307881	n/a
1545307882	1.200061083	4	29	2	4	1	2	19	1	1	9	5	n/a	1545307882	n/a
1545307883	1.20837903	4	30	2	4	1	2	20	1	2	9	5	1	1545307884	0.2179608345
1545307884	1.191665173	4	31	2	4	1	2	21	1	1	9	6	0	1545307885	0.4003591537
1545307886	1.19173789	4	32	2	4	1	2	22	1	1	9	6	n/a	1545307886	n/a
1545307887	1.200018883	4	33	2	4	1	2	23	2	1	9	6	n/a	1545307887	n/a
1545307888	1.200045109	4	34	2	4	1	2	24	1	2	9	6	1	1545307888	0.8423378468
1545307889	1.20002389	4	35	2	4	1	2	25	2	2	9	6	1	1545307890	0.9000689983
1545307890	1.20008707	4	36	2	4	1	2	26	2	2	9	6	n/a	1545307891	n/a
1545307892	1.200047016	4	37	2	4	1	2	27	1	2	9	6	n/a	1545307892	n/a
1545307893	1.200049162	4	38	2	4	1	2	28	1	2	9	6	n/a	1545307893	n/a
1545307894	1.191709042	4	39	2	4	1	2	29	1	1	9	6	n/a	1545307894	n/a
1545307895	1.200043917	4	40	2	4	1	2	30	2	2	9	6	n/a	1545307896	n/a
1545307896	1.191719055	4	41	2	4	1	2	31	2	1	9	6	n/a	1545307897	n/a
1545307898	1.191684961	4	42	2	4	1	2	32	2	2	9	6	n/a	1545307898	n/a
1545307899	1.198662043	4	43	2	4	9	3	1	3	3	9	6	n/a	n/a	n/a
1545307900	1.191469908	4	44	2	4	9	3	2	3	3	9	6	n/a	n/a	n/a
1545307901	1.191558123	4	45	2	4	9	3	3	3	3	9	6	n/a	n/a	n/a
1545307903	1.191656113	4	46	2	4	9	3	4	3	3	9	6	n/a	n/a	n/a
1545307904	1.191720963	4	47	2	4	9	3	5	3	3	9	6	n/a	n/a	n/a
1545307905	1.19165206	4	48	2	4	9	3	6	3	3	9	6	n/a	n/a	n/a
1545307906	1.191843987	4	49	2	4	9	3	7	3	3	9	6	n/a	n/a	n/a
1545307907	1.191702843	4	50	2	4	9	3	8	3	3	9	6	n/a	n/a	n/a
1545307909	1.191735983	4	51	2	4	9	3	9	3	3	9	6	n/a	n/a	n/a
1545307910	1.191735029	4	52	2	4	9	3	10	3	3	9	6	n/a	n/a	n/a
1545307911	1.199316025	4	53	2	4	3	4	1	1	2	9	6	n/a	1545307911	n/a
1545307912	1.199820995	4	54	2	4	3	4	2	2	2	9	6	n/a	1545307913	n/a
1545307914	1.191666126	4	55	2	4	3	4	3	2	1	9	6	n/a	1545307914	n/a
1545307915	1.20006299	4	56	2	4	3	4	4	1	1	9	5	1	1545307915	0.7087459564
1545307916	1.208478928	4	57	2	4	3	4	5	2	1	9	5	n/a	1545307916	n/a
1545307917	1.200011015	4	58	2	4	3	4	6	1	2	9	5	n/a	1545307918	n/a
1545307918	1.200107098	4	59	2	4	3	4	7	1	1	9	5	1	1545307919	0.8336398602
1545307920	1.200037003	4	60	2	4	3	4	8	2	1	9	5	n/a	1545307920	n/a
1545307921	1.200073004	4	61	2	4	3	4	9	1	2	9	6	0	1545307921	0.8336269855
1545307922	1.20002985	4	62	2	4	3	4	10	2	1	9	6	1	1545307922	0.8837308884
1545307923	1.208411932	4	63	2	4	3	4	11	2	2	9	6	1	1545307924	0.7584328651
1545307924	1.200011969	4	64	2	4	3	4	12	1	1	9	6	n/a	1545307925	n/a
1545307926	1.200049162	4	65	2	4	3	4	13	2	2	9	5	1	1545307926	0.7250740528
1545307927	1.200186968	4	66	2	4	3	4	14	2	1	9	5	n/a	1545307927	n/a
1545307928	1.200027943	4	67	2	4	3	4	15	1	1	9	5	n/a	1545307928	n/a
1545307929	1.191716194	4	68	2	4	3	4	16	1	1	9	5	n/a	1545307930	n/a
1545307931	1.200043917	4	69	2	4	3	4	17	1	2	9	5	n/a	1545307931	n/a
1545307932	1.200016975	4	70	2	4	3	4	18	1	2	9	5	0	1545307932	0.9096989632
1545307933	1.199898958	4	71	2	4	9	5	1	3	3	9	6	n/a	n/a	n/a
1545307934	1.19174099	4	72	2	4	9	5	2	3	3	9	6	n/a	n/a	n/a
1545307935	1.191673994	4	73	2	4	9	5	3	3	3	9	6	n/a	n/a	n/a
1545307937	1.191728115	4	74	2	4	9	5	4	3	3	9	6	n/a	n/a	n/a
1545307938	1.191840887	4	75	2	4	9	5	5	3	3	9	6	n/a	n/a	n/a
1545307939	1.191751003	4	76	2	4	9	5	6	3	3	9	6	n/a	n/a	n/a
1545307940	1.19174099	4	77	2	4	9	5	7	3	3	9	6	n/a	n/a	n/a
1545307941	1.191721916	4	78	2	4	9	5	8	3	3	9	6	n/a	n/a	n/a
1545307943	1.191795826	4	79	2	4	9	5	9	3	3	9	6	n/a	n/a	n/a
1545307944	1.191709995	4	80	2	4	9	5	10	3	3	9	6	n/a	n/a	n/a
1545307945	1.199584961	4	81	2	4	5	6	1	1	1	9	6	1	1545307946	0.9003019333
1545307946	1.191766024	4	82	2	4	5	6	2	2	1	9	7	0	1545307947	0.7167458534
1545307948	1.200055122	4	83	2	4	5	6	3	1	2	9	8	0	1545307948	0.8086180687
1545307949	1.199990034	4	84	2	4	5	6	4	1	2	9	8	1	1545307949	0.8751020432
1545307950	1.191684008	4	85	2	4	5	6	5	2	1	9	8	1	1545307950	0.8670208454
1545307951	1.200061798	4	86	2	4	5	6	6	2	2	9	8	n/a	1545307952	n/a
1545307952	1.200052977	4	87	2	4	5	6	7	1	1	9	7	1	1545307953	0.7835221291
1545307954	1.200047016	4	88	2	4	5	6	8	1	1	9	7	n/a	1545307954	n/a
1545307955	1.200050116	4	89	2	4	5	6	9	2	1	9	7	n/a	1545307955	n/a
1545307956	1.191757917	4	90	2	4	5	6	10	2	1	9	7	n/a	1545307956	n/a
1545307957	1.191710949	4	91	2	4	5	6	11	2	1	9	7	n/a	1545307958	n/a
1545307958	1.200055838	4	92	2	4	5	6	12	2	1	9	7	n/a	1545307959	n/a
1545307960	1.200102091	4	93	2	4	5	6	13	1	1	9	7	n/a	1545307960	n/a
