onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545312269	1.191492081	18	1	2	2	9	1	1	3	3	8	8	n/a	n/a	n/a
1545312271	1.19167614	18	2	2	2	9	1	2	3	3	8	8	n/a	n/a	n/a
1545312272	1.191853046	18	3	2	2	9	1	3	3	3	8	8	n/a	n/a	n/a
1545312273	1.191868067	18	4	2	2	9	1	4	3	3	8	8	n/a	n/a	n/a
1545312274	1.191861868	18	5	2	2	9	1	5	3	3	8	8	n/a	n/a	n/a
1545312275	1.191776991	18	6	2	2	9	1	6	3	3	8	8	n/a	n/a	n/a
1545312277	1.191859961	18	7	2	2	9	1	7	3	3	8	8	n/a	n/a	n/a
1545312278	1.191685915	18	8	2	2	9	1	8	3	3	8	8	n/a	n/a	n/a
1545312279	1.191715002	18	9	2	2	9	1	9	3	3	8	8	n/a	n/a	n/a
1545312280	1.191770077	18	10	2	2	9	1	10	3	3	8	8	n/a	n/a	n/a
1545312282	1.196636915	18	11	2	2	1	2	1	2	1	8	8	n/a	1545312282	n/a
1545312283	1.191709042	18	12	2	2	1	2	2	1	1	8	8	n/a	1545312283	n/a
1545312284	1.191723108	18	13	2	2	1	2	3	1	2	8	8	1	1545312284	0.5919060707
1545312285	1.191686869	18	14	2	2	1	2	4	1	2	8	7	1	1545312285	0.5251719952
1545312286	1.19179821	18	15	2	2	1	2	5	1	1	8	7	1	1545312287	0.7411670685
1545312288	1.191775084	18	16	2	2	1	2	6	1	1	8	7	1	1545312288	0.8668210506
1545312289	1.200098991	18	17	2	2	1	2	7	2	2	8	6	1	1545312289	0.7337172031
1545312290	1.200119019	18	18	2	2	1	2	8	1	1	8	7	0	1545312290	0.8002529144
1545312291	1.200069904	18	19	2	2	1	2	9	2	2	8	7	1	1545312292	0.8013689518
1545312292	1.191706181	18	20	2	2	1	2	10	1	1	8	7	1	1545312293	0.858618021
1545312294	1.191747904	18	21	2	2	1	2	11	2	1	8	7	n/a	1545312294	n/a
1545312295	1.191756964	18	22	2	2	1	2	12	2	2	8	6	1	1545312295	0.7503190041
1545312296	1.200129986	18	23	2	2	1	2	13	1	1	8	7	0	1545312296	0.8169839382
1545312297	1.191755056	18	24	2	2	1	2	14	2	1	8	8	0	1545312298	0.8336541653
1545312298	1.191727877	18	25	2	2	1	2	15	2	2	8	8	1	1545312299	0.7004430294
1545312300	1.191762924	18	26	2	2	1	2	16	1	2	8	8	1	1545312300	0.5585150719
1545312301	1.200095892	18	27	2	2	1	2	17	2	1	8	9	0	1545312301	0.7334680557
1545312302	1.191748142	18	28	2	2	1	2	18	1	1	8	10	0	1545312302	0.5837180614
1545312303	1.198720932	18	29	2	2	9	3	1	3	3	8	10	n/a	n/a	n/a
1545312305	1.191483021	18	30	2	2	9	3	2	3	3	8	10	n/a	n/a	n/a
1545312306	1.191758871	18	31	2	2	9	3	3	3	3	8	10	n/a	n/a	n/a
1545312307	1.191756964	18	32	2	2	9	3	4	3	3	8	10	n/a	n/a	n/a
1545312308	1.191735983	18	33	2	2	9	3	5	3	3	8	10	n/a	n/a	n/a
1545312309	1.191709995	18	34	2	2	9	3	6	3	3	8	10	n/a	n/a	n/a
1545312311	1.19166708	18	35	2	2	9	3	7	3	3	8	10	n/a	n/a	n/a
1545312312	1.191680908	18	36	2	2	9	3	8	3	3	8	10	n/a	n/a	n/a
1545312313	1.19184494	18	37	2	2	9	3	9	3	3	8	10	n/a	n/a	n/a
1545312314	1.191817045	18	38	2	2	9	3	10	3	3	8	10	n/a	n/a	n/a
1545312316	1.208091974	18	39	2	2	5	4	1	2	2	8	10	1	1545312316	0.6170241833
1545312317	1.19176507	18	40	2	2	5	4	2	2	2	8	10	1	1545312317	0.5334470272
1545312318	1.20009017	18	41	2	2	5	4	3	2	1	8	11	0	1545312318	0.4751720428
1545312319	1.191759109	18	42	2	2	5	4	4	1	1	8	11	1	1545312319	0.7338590622
1545312320	1.199939966	18	43	2	2	5	4	5	2	2	8	11	1	1545312321	0.7585699558
1545312322	1.191782951	18	44	2	2	5	4	6	1	2	8	10	1	1545312322	0.7169129848
1545312323	1.191651106	18	45	2	2	5	4	7	1	2	8	10	1	1545312323	0.6418600082
1545312324	1.200114012	18	46	2	2	5	4	8	2	1	8	10	1	1545312324	0.6680009365
1545312325	1.191679001	18	47	2	2	5	4	9	1	2	8	9	1	1545312325	0.6335170269
1545312326	1.191704035	18	48	2	2	5	4	10	2	2	8	9	1	1545312327	0.8667910099
1545312328	1.200063944	18	49	2	2	5	4	11	1	2	8	9	1	1545312328	0.8167779446
