onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545308454	1.191513062	6	1	2	1	9	1	1	3	3	5	5	n/a	n/a	n/a
1545308456	1.191627979	6	2	2	1	9	1	2	3	3	5	5	n/a	n/a	n/a
1545308457	1.191754818	6	3	2	1	9	1	3	3	3	5	5	n/a	n/a	n/a
1545308458	1.191751003	6	4	2	1	9	1	4	3	3	5	5	n/a	n/a	n/a
1545308459	1.191581011	6	5	2	1	9	1	5	3	3	5	5	n/a	n/a	n/a
1545308460	1.191634893	6	6	2	1	9	1	6	3	3	5	5	n/a	n/a	n/a
1545308462	1.200148106	6	7	2	1	9	1	7	3	3	5	5	n/a	n/a	n/a
1545308463	1.191570044	6	8	2	1	9	1	8	3	3	5	5	n/a	n/a	n/a
1545308464	1.191709042	6	9	2	1	9	1	9	3	3	5	5	n/a	n/a	n/a
1545308465	1.191671133	6	10	2	1	9	1	10	3	3	5	5	n/a	n/a	n/a
1545308467	1.196653128	6	11	2	1	1	2	1	2	2	5	5	n/a	1545308467	n/a
1545308468	1.191689014	6	12	2	1	1	2	2	2	2	5	6	0	1545308468	0.8503251076
1545308469	1.191674948	6	13	2	1	1	2	3	2	1	5	6	1	1545308469	0.9002959728
1545308470	1.191704035	6	14	2	1	1	2	4	1	1	5	6	n/a	1545308470	n/a
1545308471	1.191685915	6	15	2	1	1	2	5	1	1	5	6	n/a	1545308472	n/a
1545308473	1.200007915	6	16	2	1	1	2	6	2	1	5	6	n/a	1545308473	n/a
1545308474	1.191718102	6	17	2	1	1	2	7	2	2	5	7	0	1545308474	0.05034899712
1545308475	1.191720963	6	18	2	1	1	2	8	2	1	5	7	n/a	1545308475	n/a
1545308476	1.191703796	6	19	2	1	1	2	9	2	1	5	7	1	1545308476	0.7839281559
1545308477	1.191660166	6	20	2	1	1	2	10	1	1	5	7	1	1545308478	0.7511999607
1545308479	1.191666842	6	21	2	1	1	2	11	1	1	5	6	1	1545308479	0.8168101311
1545308480	1.191689014	6	22	2	1	1	2	12	2	1	5	6	1	1545308480	0.7919938564
1545308481	1.199914932	6	23	2	1	1	2	13	2	1	5	6	n/a	1545308481	n/a
1545308482	1.191671133	6	24	2	1	1	2	14	2	2	5	6	1	1545308483	0.875483036
1545308483	1.191689014	6	25	2	1	1	2	15	1	2	5	5	1	1545308484	0.7502291203
1545308485	1.191707134	6	26	2	1	1	2	16	1	2	5	6	0	1545308485	0.7836370468
1545308486	1.191714048	6	27	2	1	1	2	17	2	2	5	6	1	1545308486	0.650192976
1545308487	1.191705942	6	28	2	1	1	2	18	2	2	5	6	n/a	1545308487	n/a
1545308488	1.198634148	6	29	2	1	9	3	1	3	3	5	6	n/a	n/a	n/a
1545308490	1.191460133	6	30	2	1	9	3	2	3	3	5	6	n/a	n/a	n/a
1545308491	1.191737175	6	31	2	1	9	3	3	3	3	5	6	n/a	n/a	n/a
1545308492	1.191706896	6	32	2	1	9	3	4	3	3	5	6	n/a	n/a	n/a
1545308493	1.191798925	6	33	2	1	9	3	5	3	3	5	6	n/a	n/a	n/a
1545308494	1.19173789	6	34	2	1	9	3	6	3	3	5	6	n/a	n/a	n/a
1545308496	1.191732883	6	35	2	1	9	3	7	3	3	5	6	n/a	n/a	n/a
1545308497	1.191604853	6	36	2	1	9	3	8	3	3	5	6	n/a	n/a	n/a
1545308498	1.191700935	6	37	2	1	9	3	9	3	3	5	6	n/a	n/a	n/a
1545308499	1.191791058	6	38	2	1	9	3	10	3	3	5	6	n/a	n/a	n/a
1545308500	1.199717999	6	39	2	1	5	4	1	2	2	5	6	n/a	1545308501	n/a
1545308502	1.191986084	6	40	2	1	5	4	2	2	1	5	6	1	1545308502	0.6173551083
1545308503	1.199815989	6	41	2	1	5	4	3	2	2	5	5	1	1545308503	0.7835838795
1545308504	1.191714048	6	42	2	1	5	4	4	2	1	5	5	n/a	1545308504	n/a
1545308505	1.191741943	6	43	2	1	5	4	5	2	1	5	5	n/a	1545308506	n/a
1545308507	1.191628933	6	44	2	1	5	4	6	1	2	5	5	n/a	1545308507	n/a
1545308508	1.200068951	6	45	2	1	5	4	7	1	2	5	5	1	1545308508	0.8928267956
1545308509	1.200045109	6	46	2	1	5	4	8	1	1	5	5	n/a	1545308509	n/a
1545308510	1.191711903	6	47	2	1	5	4	9	2	2	5	5	1	1545308510	0.8086130619
1545308511	1.200068951	6	48	2	1	5	4	10	1	1	5	6	0	1545308512	0.7753310204
1545308513	1.199975014	6	49	2	1	5	4	11	1	1	5	6	1	1545308513	0.7171099186
1545308514	1.200016975	6	50	2	1	5	4	12	2	1	5	7	0	1545308514	0.8585398197
1545308515	1.191680908	6	51	2	1	5	4	13	1	1	5	7	1	1545308515	0.7667770386
1545308516	1.191669941	6	52	2	1	5	4	14	2	2	5	7	n/a	1545308516	n/a
1545308517	1.191651821	6	53	2	1	5	4	15	1	2	5	7	1	1545308518	0.8584039211
1545308519	1.200037003	6	54	2	1	5	4	16	2	1	5	7	n/a	1545308519	n/a
1545308520	1.191762924	6	55	2	1	5	4	17	1	2	5	7	n/a	1545308520	n/a
1545308521	1.191720009	6	56	2	1	5	4	18	1	2	5	7	n/a	1545308521	n/a
1545308522	1.199862957	6	57	2	1	9	5	1	3	3	5	7	n/a	n/a	n/a
