onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545047594	1.191417933	2	1	2	4	9	1	1	3	3	4	9	n/a	n/a	n/a
1545047595	1.191705227	2	2	2	4	9	1	2	3	3	4	9	n/a	n/a	n/a
1545047596	1.191781998	2	3	2	4	9	1	3	3	3	4	9	n/a	n/a	n/a
1545047597	1.191508055	2	4	2	4	9	1	4	3	3	4	9	n/a	n/a	n/a
1545047598	1.19148016	2	5	2	4	9	1	5	3	3	4	9	n/a	n/a	n/a
1545047600	1.191721916	2	6	2	4	9	1	6	3	3	4	9	n/a	n/a	n/a
1545047601	1.1916821	2	7	2	4	9	1	7	3	3	4	9	n/a	n/a	n/a
1545047602	1.19170785	2	8	2	4	9	1	8	3	3	4	9	n/a	n/a	n/a
1545047603	1.191673994	2	9	2	4	9	1	9	3	3	4	9	n/a	n/a	n/a
1545047604	1.19164896	2	10	2	4	9	1	10	3	3	4	9	n/a	n/a	n/a
1545047606	1.198920012	2	11	2	4	1	2	1	1	2	4	8	1	1545047606	0.7251498699
1545047607	1.191640854	2	12	2	4	1	2	2	1	2	4	8	n/a	1545047607	n/a
1545047608	1.199969053	2	13	2	4	1	2	3	2	1	4	8	1	1545047608	0.5753629208
1545047609	1.199962139	2	14	2	4	1	2	4	1	1	4	8	n/a	1545047610	n/a
1545047611	1.191823959	2	15	2	4	1	2	5	1	1	4	8	n/a	1545047611	n/a
1545047612	1.200016975	2	16	2	4	1	2	6	2	2	4	8	n/a	1545047612	n/a
1545047613	1.200219154	2	17	2	4	1	2	7	1	2	4	8	1	1545047613	0.7919268608
1545047614	1.200088024	2	18	2	4	1	2	8	2	1	4	7	1	1545047614	0.8085517883
1545047615	1.199993134	2	19	2	4	1	2	9	2	2	4	7	1	1545047616	0.7004699707
1545047617	1.199986219	2	20	2	4	1	2	10	1	2	4	7	1	1545047617	0.600538969
1545047618	1.199924946	2	21	2	4	1	2	11	1	2	4	6	1	1545047618	0.6343209743
1545047619	1.199964046	2	22	2	4	1	2	12	2	1	4	7	0	1545047619	0.7834320068
1545047620	1.20015502	2	23	2	4	1	2	13	1	2	4	7	1	1545047620	0.7670259476
1545047621	1.200103998	2	24	2	4	1	2	14	1	2	4	7	1	1545047622	0.7170000076
1545047623	1.191572189	2	25	2	4	1	2	15	1	2	4	7	0	1545047623	0.9007298946
1545047624	1.191713095	2	26	2	4	1	2	16	2	2	4	8	n/a	1545047624	n/a
1545047625	1.200052023	2	27	2	4	1	2	17	2	1	4	8	n/a	1545047625	n/a
1545047626	1.191626787	2	28	2	4	1	2	18	1	1	4	9	0	1545047626	0.09184598923
1545047627	1.191664934	2	29	2	4	1	2	19	1	1	4	9	1	1545047628	0.6752359867
1545047629	1.191704035	2	30	2	4	1	2	20	2	2	4	9	1	1545047629	0.7670030594
1545047630	1.200035095	2	31	2	4	1	2	21	1	1	4	9	1	1545047630	0.876324892
1545047631	1.200004101	2	32	2	4	1	2	22	2	1	4	8	1	1545047631	0.741984129
1545047632	1.200100899	2	33	2	4	1	2	23	1	1	4	8	1	1545047633	0.6502370834
1545047633	1.191665173	2	34	2	4	1	2	24	1	2	4	7	1	1545047634	0.5585072041
1545047635	1.200196028	2	35	2	4	1	2	25	1	2	4	7	1	1545047635	0.6666891575
1545047636	1.200042009	2	36	2	4	1	2	26	1	2	4	7	n/a	1545047636	n/a
1545047637	1.200000048	2	37	2	4	1	2	27	2	2	4	7	1	1545047637	0.8000969887
1545047638	1.200005054	2	38	2	4	1	2	28	2	2	4	7	1	1545047639	0.8666059971
1545047639	1.199964046	2	39	2	4	1	2	29	1	2	4	6	n/a	1545047640	n/a
1545047641	1.200067997	2	40	2	4	1	2	30	2	2	4	6	n/a	1545047641	n/a
1545047642	1.199947119	2	41	2	4	1	2	31	1	2	4	6	n/a	1545047642	n/a
