onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545049206	1.198760033	8	1	2	2	9	1	1	3	3	4	7	n/a	n/a	n/a
1545049207	1.191666842	8	2	2	2	9	1	2	3	3	4	7	n/a	n/a	n/a
1545049208	1.191775084	8	3	2	2	9	1	3	3	3	4	7	n/a	n/a	n/a
1545049210	1.191687107	8	4	2	2	9	1	4	3	3	4	7	n/a	n/a	n/a
1545049211	1.191673994	8	5	2	2	9	1	5	3	3	4	7	n/a	n/a	n/a
1545049212	1.191735983	8	6	2	2	9	1	6	3	3	4	7	n/a	n/a	n/a
1545049213	1.191710949	8	7	2	2	9	1	7	3	3	4	7	n/a	n/a	n/a
1545049214	1.191653967	8	8	2	2	9	1	8	3	3	4	7	n/a	n/a	n/a
1545049216	1.191680908	8	9	2	2	9	1	9	3	3	4	7	n/a	n/a	n/a
1545049217	1.191689968	8	10	2	2	9	1	10	3	3	4	7	n/a	n/a	n/a
1545049218	1.199015141	8	11	2	2	1	2	1	1	1	4	7	n/a	1545049218	n/a
1545049219	1.191547155	8	12	2	2	1	2	2	1	1	4	7	n/a	1545049219	n/a
1545049220	1.191724062	8	13	2	2	1	2	3	2	1	4	7	n/a	1545049221	n/a
1545049222	1.19174099	8	14	2	2	1	2	4	1	1	4	7	n/a	1545049222	n/a
1545049223	1.200060844	8	15	2	2	1	2	5	1	1	4	7	n/a	1545049223	n/a
1545049224	1.191683054	8	16	2	2	1	2	6	1	1	4	7	n/a	1545049224	n/a
1545049225	1.191614866	8	17	2	2	1	2	7	2	2	4	7	n/a	1545049225	n/a
1545049226	1.191787004	8	18	2	2	1	2	8	1	1	4	7	n/a	1545049227	n/a
1545049228	1.191711903	8	19	2	2	1	2	9	1	2	4	7	n/a	1545049228	n/a
1545049229	1.191694021	8	20	2	2	1	2	10	2	1	4	7	n/a	1545049229	n/a
1545049230	1.200009108	8	21	2	2	1	2	11	2	1	4	7	n/a	1545049230	n/a
1545049231	1.191534042	8	22	2	2	1	2	12	1	2	4	7	n/a	1545049231	n/a
1545049232	1.191751003	8	23	2	2	1	2	13	2	1	4	7	n/a	1545049233	n/a
1545049234	1.191689014	8	24	2	2	1	2	14	1	2	4	7	n/a	1545049234	n/a
1545049235	1.191690922	8	25	2	2	1	2	15	1	1	4	7	n/a	1545049235	n/a
1545049236	1.191673994	8	26	2	2	1	2	16	2	2	4	7	n/a	1545049236	n/a
1545049237	1.191650867	8	27	2	2	1	2	17	1	2	4	7	n/a	1545049237	n/a
1545049238	1.191740036	8	28	2	2	1	2	18	2	1	4	7	n/a	1545049239	n/a
1545049240	1.191679001	8	29	2	2	9	3	1	3	3	4	7	n/a	n/a	n/a
1545049241	1.191582918	8	30	2	2	9	3	2	3	3	4	7	n/a	n/a	n/a
1545049242	1.191650867	8	31	2	2	9	3	3	3	3	4	7	n/a	n/a	n/a
1545049243	1.191626072	8	32	2	2	9	3	4	3	3	4	7	n/a	n/a	n/a
1545049244	1.19177413	8	33	2	2	9	3	5	3	3	4	7	n/a	n/a	n/a
1545049246	1.191636086	8	34	2	2	9	3	6	3	3	4	7	n/a	n/a	n/a
1545049247	1.191818953	8	35	2	2	9	3	7	3	3	4	7	n/a	n/a	n/a
