onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545048737	1.191403866	6	1	2	1	9	1	1	3	3	4	7	n/a	n/a	n/a
1545048739	1.191683054	6	2	2	1	9	1	2	3	3	4	7	n/a	n/a	n/a
1545048740	1.191760063	6	3	2	1	9	1	3	3	3	4	7	n/a	n/a	n/a
1545048741	1.191820145	6	4	2	1	9	1	4	3	3	4	7	n/a	n/a	n/a
1545048742	1.191638947	6	5	2	1	9	1	5	3	3	4	7	n/a	n/a	n/a
1545048743	1.191738129	6	6	2	1	9	1	6	3	3	4	7	n/a	n/a	n/a
1545048745	1.191902161	6	7	2	1	9	1	7	3	3	4	7	n/a	n/a	n/a
1545048746	1.191804171	6	8	2	1	9	1	8	3	3	4	7	n/a	n/a	n/a
1545048747	1.191936016	6	9	2	1	9	1	9	3	3	4	7	n/a	n/a	n/a
1545048748	1.191735983	6	10	2	1	9	1	10	3	3	4	7	n/a	n/a	n/a
1545048749	1.199116945	6	11	2	1	1	2	1	1	1	4	7	n/a	1545048750	n/a
1545048751	1.191526175	6	12	2	1	1	2	2	1	2	4	7	n/a	1545048751	n/a
1545048752	1.199845076	6	13	2	1	1	2	3	1	1	4	7	n/a	1545048752	n/a
1545048753	1.191080093	6	14	2	1	1	2	4	1	1	4	7	n/a	1545048753	n/a
1545048754	1.191689014	6	15	2	1	1	2	5	1	2	4	7	n/a	1545048755	n/a
1545048755	1.191707134	6	16	2	1	1	2	6	1	2	4	7	n/a	1545048756	n/a
1545048757	1.191759109	6	17	2	1	1	2	7	2	2	4	7	n/a	1545048757	n/a
1545048758	1.191622019	6	18	2	1	1	2	8	2	2	4	7	n/a	1545048758	n/a
1545048759	1.191612005	6	19	2	1	1	2	9	2	2	4	7	n/a	1545048759	n/a
1545048760	1.191877127	6	20	2	1	1	2	10	2	2	4	7	n/a	1545048761	n/a
1545048761	1.191871881	6	21	2	1	1	2	11	1	1	4	7	n/a	1545048762	n/a
1545048763	1.200113058	6	22	2	1	1	2	12	2	1	4	7	n/a	1545048763	n/a
1545048764	1.191468	6	23	2	1	1	2	13	2	1	4	7	n/a	1545048764	n/a
1545048765	1.190778017	6	24	2	1	1	2	14	1	1	4	7	n/a	1545048765	n/a
1545048766	1.191712856	6	25	2	1	1	2	15	1	1	4	7	n/a	1545048767	n/a
1545048767	1.191704035	6	26	2	1	1	2	16	1	1	4	7	n/a	1545048768	n/a
1545048769	1.191703081	6	27	2	1	1	2	17	1	2	4	7	n/a	1545048769	n/a
1545048770	1.191659927	6	28	2	1	1	2	18	1	2	4	7	n/a	1545048770	n/a
1545048771	1.191695929	6	29	2	1	9	3	1	3	3	4	7	n/a	n/a	n/a
1545048772	1.191542864	6	30	2	1	9	3	2	3	3	4	7	n/a	n/a	n/a
1545048773	1.191709995	6	31	2	1	9	3	3	3	3	4	7	n/a	n/a	n/a
1545048775	1.191712141	6	32	2	1	9	3	4	3	3	4	7	n/a	n/a	n/a
1545048776	1.191730976	6	33	2	1	9	3	5	3	3	4	7	n/a	n/a	n/a
1545048777	1.191628933	6	34	2	1	9	3	6	3	3	4	7	n/a	n/a	n/a
1545048778	1.191734076	6	35	2	1	9	3	7	3	3	4	7	n/a	n/a	n/a
1545048779	1.191668987	6	36	2	1	9	3	8	3	3	4	7	n/a	n/a	n/a
1545048781	1.191709042	6	37	2	1	9	3	9	3	3	4	7	n/a	n/a	n/a
1545048782	1.191843987	6	38	2	1	9	3	10	3	3	4	7	n/a	n/a	n/a
1545048783	1.191524029	6	39	2	1	5	4	1	1	2	4	7	n/a	1545048783	n/a
1545048784	1.191675186	6	40	2	1	5	4	2	1	1	4	7	n/a	1545048785	n/a
1545048785	1.191681147	6	41	2	1	5	4	3	1	1	4	7	n/a	1545048786	n/a
1545048787	1.19167304	6	42	2	1	5	4	4	1	1	4	7	n/a	1545048787	n/a
1545048788	1.191948891	6	43	2	1	5	4	5	1	2	4	7	n/a	1545048788	n/a
1545048789	1.200108051	6	44	2	1	5	4	6	2	2	4	7	n/a	1545048789	n/a
1545048790	1.1916821	6	45	2	1	5	4	7	2	2	4	7	n/a	1545048791	n/a
1545048791	1.191715956	6	46	2	1	5	4	8	1	1	4	7	n/a	1545048792	n/a
1545048793	1.191678047	6	47	2	1	5	4	9	2	1	4	7	n/a	1545048793	n/a
1545048794	1.191884041	6	48	2	1	5	4	10	1	1	4	7	n/a	1545048794	n/a
1545048795	1.191678047	6	49	2	1	5	4	11	2	2	4	7	n/a	1545048795	n/a
1545048796	1.191674948	6	50	2	1	5	4	12	2	1	4	7	n/a	1545048797	n/a
1545048797	1.191700935	6	51	2	1	5	4	13	1	2	4	7	n/a	1545048798	n/a
1545048799	1.19166398	6	52	2	1	5	4	14	1	2	4	7	n/a	1545048799	n/a
1545048800	1.191715956	6	53	2	1	5	4	15	2	2	4	7	n/a	1545048800	n/a
1545048801	1.191540003	6	54	2	1	5	4	16	1	1	4	7	n/a	1545048801	n/a
1545048802	1.191738844	6	55	2	1	5	4	17	1	1	4	7	n/a	1545048803	n/a
1545048803	1.191671848	6	56	2	1	5	4	18	2	1	4	7	n/a	1545048804	n/a
