onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
28546.73386	1.181798231	2	1	2	4	9	1	1	3	3	3	9	n/a	n/a	n/a
28547.93233	1.183058577	2	2	2	4	9	1	2	3	3	3	9	n/a	n/a	n/a
28549.13155	1.183032233	2	3	2	4	9	1	3	3	3	3	9	n/a	n/a	n/a
28550.3311	1.183858016	2	4	2	4	9	1	4	3	3	3	9	n/a	n/a	n/a
28551.53131	1.183105075	2	5	2	4	9	1	5	3	3	3	9	n/a	n/a	n/a
28552.73134	1.183957924	2	6	2	4	9	1	6	3	3	3	9	n/a	n/a	n/a
28553.93162	1.183413441	2	7	2	4	9	1	7	3	3	3	9	n/a	n/a	n/a
28555.13136	1.183121503	2	8	2	4	9	1	8	3	3	3	9	n/a	n/a	n/a
28556.33214	1.216768701	2	9	2	4	9	1	9	3	3	3	9	n/a	n/a	n/a
28557.56508	1.183421484	2	10	2	4	9	1	10	3	3	3	9	n/a	n/a	n/a
28558.85019	1.214714895	2	11	2	4	1	2	1	2	2	3	9	n/a	28559.15003	n/a
28560.0821	1.249582408	2	12	2	4	1	2	2	2	2	3	9	1	28560.38224	0.918052876
28561.34881	1.266430849	2	13	2	4	1	2	3	2	1	3	8	1	28561.68928	0.795659417
28562.63241	1.216800553	2	14	2	4	1	2	4	1	2	3	8	1	28562.91519	0.751434593
28563.86555	1.20003223	2	15	2	4	1	2	5	2	1	3	8	1	28564.14883	0.634365377
28565.08185	1.216842085	2	16	2	4	1	2	6	2	1	3	7	1	28565.38209	0.683572722
28566.31608	1.249492516	2	17	2	4	1	2	7	1	2	3	7	1	28566.63267	0.733134082
28567.58228	1.233410629	2	18	2	4	1	2	8	2	2	3	7	1	28567.88201	0.733567488
28568.83243	1.216382064	2	19	2	4	1	2	9	1	2	3	7	n/a	28569.11626	n/a
28570.06605	1.216574909	2	20	2	4	1	2	10	2	1	3	6	1	28570.3822	0.70061618
28571.29957	1.200205769	2	21	2	4	1	2	11	1	2	3	6	1	28571.58252	0.716844018
28572.51572	1.199829013	2	22	2	4	1	2	12	2	1	3	6	1	28572.79957	0.666649277
28573.73296	1.233403299	2	23	2	4	1	2	13	2	1	3	5	1	28574.04949	0.850026105
28574.983	1.250483686	2	24	2	4	1	2	14	1	1	3	5	n/a	28575.28228	n/a
28576.24965	1.216917082	2	25	2	4	1	2	15	1	2	3	5	1	28576.56675	0.699923048
28577.4828	1.217390061	2	26	2	4	1	2	16	1	2	3	5	1	28577.78253	0.884748992
28578.716	1.201141663	2	27	2	4	1	2	17	1	2	3	5	0	28578.9999	0.900178755
28579.93325	1.199762001	2	28	2	4	1	2	18	1	1	3	6	1	28580.21629	0.833901868
28581.14937	1.250855445	2	29	2	4	1	2	19	1	2	3	6	1	28581.45033	0.732813316
28582.41622	1.216969967	2	30	2	4	1	2	20	2	1	3	5	1	28582.71682	0.749850628
28583.65039	1.199960844	2	31	2	4	1	2	21	2	1	3	5	n/a	28583.94969	n/a
28584.86707	1.24933228	2	32	2	4	1	2	22	1	2	3	5	1	28585.20063	0.782907086
28586.13346	1.217164803	2	33	2	4	1	2	23	2	2	3	5	1	28586.45	0.85093943
28587.36659	1.219210217	2	34	2	4	1	2	24	1	2	3	5	n/a	28587.65022	n/a
28588.59981	1.183698341	2	35	2	4	1	2	25	1	2	3	4	1	28588.88409	0.617030614
28589.80033	1.233946956	2	36	2	4	1	2	26	2	1	3	4	n/a	28590.10058	n/a
28591.0503	1.267630199	2	37	2	4	1	2	27	1	1	3	4	1	28591.34986	0.800661722
28592.33408	1.267095435	2	38	2	4	1	2	28	1	2	3	4	1	28592.65042	0.900712378
28593.6176	1.266162607	2	39	2	4	1	2	29	2	1	3	4	n/a	28593.93377	n/a
28594.90093	1.249796699	2	40	2	4	1	2	30	2	2	3	4	n/a	28595.20078	n/a
28596.16825	1.216243812	2	41	2	4	1	2	31	2	1	3	4	n/a	28596.46754	n/a
28597.40164	1.249468123	2	42	2	4	1	2	32	1	1	3	5	0	28597.71789	0.050556629
28598.68572	1.182681405	2	43	2	4	9	3	1	3	3	3	5	n/a	n/a	n/a
28599.88464	1.183522659	2	44	2	4	9	3	2	3	3	3	5	n/a	n/a	n/a
28601.08465	1.183855016	2	45	2	4	9	3	3	3	3	3	5	n/a	n/a	n/a
28602.28494	1.182711045	2	46	2	4	9	3	4	3	3	3	5	n/a	n/a	n/a
28603.48457	1.183099517	2	47	2	4	9	3	5	3	3	3	5	n/a	n/a	n/a
28604.68469	1.183325849	2	48	2	4	9	3	6	3	3	3	5	n/a	n/a	n/a
28605.88516	1.184954109	2	49	2	4	9	3	7	3	3	3	5	n/a	n/a	n/a
28607.08499	1.183176791	2	50	2	4	9	3	8	3	3	3	5	n/a	n/a	n/a
28608.28487	1.183549183	2	51	2	4	9	3	9	3	3	3	5	n/a	n/a	n/a
28609.48529	1.183658977	2	52	2	4	9	3	10	3	3	3	5	n/a	n/a	n/a
28610.71994	1.282561402	2	53	2	4	3	4	1	1	2	3	6	0	28611.03563	0.467175208
28612.0187	1.316750802	2	54	2	4	3	4	2	1	2	3	7	0	28612.33512	0.833856672
28613.35258	1.316648439	2	55	2	4	3	4	3	2	2	3	7	n/a	28613.66866	n/a
28614.68547	1.316650122	2	56	2	4	3	4	4	1	2	3	7	1	28615.00226	0.933609785
28616.0188	1.300693215	2	57	2	4	3	4	5	1	2	3	7	1	28616.33565	0.784069017
28617.33599	1.315980124	2	58	2	4	3	4	6	1	1	3	6	1	28617.65214	0.700432966
28618.66898	1.316802523	2	59	2	4	3	4	7	2	2	3	6	1	28619.00245	0.683587446
28620.0028	1.316740983	2	60	2	4	3	4	8	1	1	3	6	1	28620.31868	0.56750119
28621.33709	1.332546139	2	61	2	4	3	4	9	2	2	3	5	1	28621.67043	0.815628638
28622.68646	1.366631143	2	62	2	4	3	4	10	2	1	3	5	1	28623.01963	0.666978026
28624.0689	1.31791195	2	63	2	4	3	4	11	1	1	3	5	1	28624.40302	0.699518136
28625.40352	1.316725815	2	64	2	4	3	4	12	2	2	3	4	1	28625.73654	0.850476048
28626.73661	1.316194298	2	65	2	4	3	4	13	1	2	3	5	0	28627.0534	0.850139356
28628.07014	1.333054318	2	66	2	4	3	4	14	2	1	3	5	1	28628.40267	0.933710436
28629.42004	1.299558528	2	67	2	4	3	4	15	1	1	3	5	1	28629.75291	0.817510008
28630.73643	1.350024747	2	68	2	4	3	4	16	1	2	3	6	0	28631.07017	0.868602793
28632.10412	1.332685432	2	69	2	4	3	4	17	2	2	3	6	1	28632.4371	0.749577644
28633.45339	1.283881302	2	70	2	4	3	4	18	1	1	3	6	1	28633.77007	0.716762139
28634.77045	1.18270422	2	71	2	4	9	5	1	3	3	3	6	n/a	n/a	n/a
28635.96996	1.184292022	2	72	2	4	9	5	2	3	3	3	6	n/a	n/a	n/a
28637.17036	1.18369526	2	73	2	4	9	5	3	3	3	3	6	n/a	n/a	n/a
28638.37003	1.1839242	2	74	2	4	9	5	4	3	3	3	6	n/a	n/a	n/a
28639.57113	1.182421525	2	75	2	4	9	5	5	3	3	3	6	n/a	n/a	n/a
28640.77077	1.184207492	2	76	2	4	9	5	6	3	3	3	6	n/a	n/a	n/a
28641.97114	1.183261299	2	77	2	4	9	5	7	3	3	3	6	n/a	n/a	n/a
28643.17037	1.183875028	2	78	2	4	9	5	8	3	3	3	6	n/a	n/a	n/a
28644.37111	1.182606489	2	79	2	4	9	5	9	3	3	3	6	n/a	n/a	n/a
28645.5709	1.185631089	2	80	2	4	9	5	10	3	3	3	6	n/a	n/a	n/a
28646.78793	1.233535893	2	81	2	4	5	6	1	2	1	3	5	1	28647.08849	0.833685779
28648.03788	1.18364934	2	82	2	4	5	6	2	1	2	3	5	1	28648.32162	0.816011925
28649.23901	1.325192684	2	83	2	4	5	6	3	2	2	3	5	0	28649.53805	1.189329645
28651.3213	1.350297614	2	84	2	4	5	6	4	2	2	3	6	n/a	28651.7336	n/a
28652.68856	1.216790632	2	85	2	4	5	6	5	2	2	3	6	1	28652.98802	0.684145725
28653.92297	1.648558633	2	86	2	4	5	6	6	1	2	3	6	1	28654.22142	1.155737579
28655.58822	1.234505173	2	87	2	4	5	6	7	1	1	3	5	1	28655.88869	0.599992448
28656.83833	1.184240794	2	88	2	4	5	6	8	1	2	3	5	n/a	28657.12177	n/a
28658.03893	1.299184919	2	89	2	4	5	6	9	2	1	3	5	1	28658.35601	0.76592201
28659.35534	1.232965461	2	90	2	4	5	6	10	1	2	3	5	n/a	28659.65606	n/a
28660.60578	1.21633314	2	91	2	4	5	6	11	2	1	3	5	n/a	28660.88864	n/a
28661.83925	1.200050261	2	92	2	4	5	6	12	1	1	3	5	1	28662.1218	0.900926163
28663.05589	1.233083218	2	93	2	4	5	6	13	1	1	3	5	n/a	28663.35522	n/a
28664.30592	1.200152235	2	94	2	4	5	6	14	1	2	3	4	1	28664.58847	0.85068413
28665.52248	1.19944214	2	95	2	4	5	6	15	2	1	3	4	1	28665.82263	0.800435396
28666.73888	1.534211802	2	96	2	4	5	6	16	2	2	3	4	n/a	28667.34841	n/a
28668.28983	1.24922127	2	97	2	4	5	6	17	2	1	3	4	1	28668.58997	0.633391495
28669.55609	1.18311168	2	98	2	4	5	6	18	2	1	3	4	n/a	28669.83959	n/a
28670.75628	1.216056042	2	99	2	4	5	6	19	2	2	3	4	n/a	28671.03907	n/a
28671.98978	1.183448505	2	100	2	4	5	6	20	2	2	3	4	n/a	28672.27273	n/a
28673.1901	1.183155286	2	101	2	4	5	6	21	2	1	3	5	0	28673.47346	0.015904402
28674.38911	1.200778249	2	102	2	4	5	6	22	2	2	3	5	1	28674.67342	0.86691761
28675.60627	1.200377896	2	103	2	4	5	6	23	2	2	3	5	1	28675.9065	0.833738711
28676.82297	1.201790576	2	104	2	4	5	6	24	2	2	3	5	n/a	28677.12292	n/a
28678.04094	1.216544222	2	105	2	4	5	6	25	2	2	3	5	n/a	28678.34028	n/a
28679.27347	1.216935488	2	106	2	4	5	6	26	1	1	3	5	n/a	28679.5571	n/a
28680.50722	1.216469959	2	107	2	4	5	6	27	2	2	3	6	0	28680.80697	0.149765631
28681.73981	1.200452582	2	108	2	4	5	6	28	1	1	3	6	n/a	28682.02356	n/a
28682.95662	1.23355561	2	109	2	4	5	6	29	1	1	3	6	1	28683.25758	0.0002116769974
28684.20728	1.233339103	2	110	2	4	5	6	30	1	1	3	6	n/a	28684.52356	n/a
28685.45758	1.232696778	2	111	2	4	5	6	31	1	1	3	6	n/a	28685.77356	n/a
28686.70723	1.216275509	2	112	2	4	5	6	32	1	2	3	7	0	28687.00723	0.116719038
28687.94097	1.18336982	2	113	2	4	9	7	1	3	3	3	7	n/a	n/a	n/a
28689.1404	1.183270268	2	114	2	4	9	7	2	3	3	3	7	n/a	n/a	n/a
28690.34075	1.18354661	2	115	2	4	9	7	3	3	3	3	7	n/a	n/a	n/a
28691.54063	1.184075718	2	116	2	4	9	7	4	3	3	3	7	n/a	n/a	n/a
28692.7405	1.184375415	2	117	2	4	9	7	5	3	3	3	7	n/a	n/a	n/a
28693.94051	1.183509956	2	118	2	4	9	7	6	3	3	3	7	n/a	n/a	n/a
28695.14109	1.183477501	2	119	2	4	9	7	7	3	3	3	7	n/a	n/a	n/a
28696.34169	1.183396119	2	120	2	4	9	7	8	3	3	3	7	n/a	n/a	n/a
28697.54166	1.18320146	2	121	2	4	9	7	9	3	3	3	7	n/a	n/a	n/a
28698.74156	1.182742028	2	122	2	4	9	7	10	3	3	3	7	n/a	n/a	n/a
28699.95803	1.250538875	2	123	2	4	7	8	1	1	1	3	7	1	28700.24108	0.550580572
28701.22515	1.283267453	2	124	2	4	7	8	2	2	1	3	7	1	28701.50827	0.717167643
28702.5252	1.266295393	2	125	2	4	7	8	3	1	2	3	6	1	28702.80831	0.766910309
28703.80832	1.300603268	2	126	2	4	7	8	4	1	1	3	6	1	28704.12465	0.700474755
28705.1249	1.250635574	2	127	2	4	7	8	5	2	1	3	6	1	28705.40845	0.700253772
28706.39192	1.267338864	2	128	2	4	7	8	6	2	2	3	5	1	28706.69153	0.834348713
28707.67561	1.266926133	2	129	2	4	7	8	7	2	1	3	5	1	28707.9587	0.650564552
28708.95906	1.266811776	2	130	2	4	7	8	8	2	2	3	5	1	28709.25888	0.766734058
28710.24216	1.334140855	2	131	2	4	7	8	9	2	1	3	4	1	28710.57561	0.683128922
28711.59277	1.349391666	2	132	2	4	7	8	10	2	2	3	4	1	28711.92529	0.750111899
28712.95914	1.299918547	2	133	2	4	7	8	11	1	1	3	4	1	28713.2763	0.883346724
28714.27605	1.33291246	2	134	2	4	7	8	12	1	1	3	3	1	28714.60946	0.850339465
28715.62563	1.317292653	2	135	2	4	7	8	13	2	2	3	4	0	28715.95945	0.900201426
28716.95888	1.350081254	2	136	2	4	7	8	14	1	1	3	4	n/a	28717.29282	n/a
28718.32612	1.29956698	2	137	2	4	7	8	15	1	2	3	4	1	28718.65969	0.016166539
28719.64877	1.344210128	2	138	2	4	7	8	16	1	2	3	4	0	28719.9762	1.016965987
28721.00938	1.333518168	2	139	2	4	7	8	17	2	2	3	5	n/a	28721.34363	n/a
28722.35948	1.300035669	2	140	2	4	7	8	18	1	2	3	5	n/a	28722.6764	n/a
28723.67624	1.183895001	2	141	2	4	9	9	1	3	3	3	5	n/a	n/a	n/a
28724.87602	1.184355389	2	142	2	4	9	9	2	3	3	3	5	n/a	n/a	n/a
28726.07681	1.182726285	2	143	2	4	9	9	3	3	3	3	5	n/a	n/a	n/a
28727.27666	1.182935949	2	144	2	4	9	9	4	3	3	3	5	n/a	n/a	n/a
28728.47666	1.183699191	2	145	2	4	9	9	5	3	3	3	5	n/a	n/a	n/a
28729.67635	1.183705046	2	146	2	4	9	9	6	3	3	3	5	n/a	n/a	n/a
28730.8772	1.182941649	2	147	2	4	9	9	7	3	3	3	5	n/a	n/a	n/a
28732.07718	1.183448666	2	148	2	4	9	9	8	3	3	3	5	n/a	n/a	n/a
28733.27656	1.184126831	2	149	2	4	9	9	9	3	3	3	5	n/a	n/a	n/a
28734.47682	1.183418182	2	150	2	4	9	9	10	3	3	3	5	n/a	n/a	n/a
