onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
24169.46027	1.215680824	3	1	1	4	9	1	1	3	3	3	4	n/a	n/a	n/a
24170.69252	1.216710678	3	2	1	4	9	1	2	3	3	3	4	n/a	n/a	n/a
24171.92599	1.199947243	3	3	1	4	9	1	3	3	3	3	4	n/a	n/a	n/a
24173.1427	1.20008874	3	4	1	4	9	1	4	3	3	3	4	n/a	n/a	n/a
24174.36114	1.199619174	3	5	1	4	9	1	5	3	3	3	4	n/a	n/a	n/a
24175.57632	1.183161878	3	6	1	4	9	1	6	3	3	3	4	n/a	n/a	n/a
24176.77613	1.183485916	3	7	1	4	9	1	7	3	3	3	4	n/a	n/a	n/a
24177.97624	1.18332738	3	8	1	4	9	1	8	3	3	3	4	n/a	n/a	n/a
24179.17635	1.183056972	3	9	1	4	9	1	9	3	3	3	4	n/a	n/a	n/a
24180.37626	1.183454662	3	10	1	4	9	1	10	3	3	3	4	n/a	n/a	n/a
24181.6439	1.299245957	3	11	1	4	1	2	1	1	1	3	4	n/a	24181.95192	n/a
24182.9599	1.349898134	3	12	1	4	1	2	2	2	2	2	4	1	24183.29338	0.749629888
24184.32658	1.366765907	3	13	1	4	1	2	3	1	2	3	4	0	24184.66013	0.766194602
24185.7102	1.348967479	3	14	1	4	1	2	4	1	2	3	4	1	24186.04354	0.682960123
24187.07607	1.350778936	3	15	1	4	1	2	5	2	1	3	4	1	24187.41211	0.748509874
24188.44358	1.366751185	3	16	1	4	1	2	6	1	2	2	4	1	24188.77731	0.66692831
24189.82666	1.367002005	3	17	1	4	1	2	7	2	1	3	4	0	24190.16015	0.666346958
24191.21044	1.366463175	3	18	1	4	1	2	8	1	1	3	4	1	24191.54374	0.650592088
24192.59382	1.366728508	3	19	1	4	1	2	9	2	1	3	4	1	24192.92717	0.599699192
24193.97713	1.383667395	3	20	1	4	1	2	10	2	1	4	4	0	24194.31061	0.685283676
24195.3775	1.383505732	3	21	1	4	1	2	11	2	2	5	4	0	24195.71092	0.799810303
24196.77745	1.383533904	3	22	1	4	1	2	12	1	2	5	4	1	24197.1108	0.699840827
24198.17772	1.366569613	3	23	1	4	1	2	13	2	1	5	4	1	24198.51104	0.636184615
24199.56106	1.333306746	3	24	1	4	1	2	14	1	2	4	4	1	24199.8943	0.617124703
24200.91027	1.400882298	3	25	1	4	1	2	15	2	2	4	4	1	24201.24432	0.600140349
24202.32796	1.383290297	3	26	1	4	1	2	16	1	2	5	4	0	24202.66114	0.700146279
24203.72795	1.366782009	3	27	1	4	1	2	17	2	1	6	4	0	24204.06126	0.883175967
24205.11154	1.366697453	3	28	1	4	1	2	18	1	2	7	4	0	24205.44467	0.90002255
24206.49468	1.383531525	3	29	1	4	1	2	19	2	2	8	4	0	24206.82825	0.832501075
24207.8949	1.383371464	3	30	1	4	1	2	20	1	2	8	4	1	24208.22824	0.900789508
24209.29471	1.300467899	3	31	1	4	1	2	21	2	1	8	4	1	24209.62824	0.767086178
24210.6113	1.384121828	3	32	1	4	1	2	22	2	2	7	4	1	24210.94493	0.848573931
24212.0122	1.366407968	3	33	1	4	1	2	23	2	2	7	4	1	24212.34527	0.765842176
24213.39548	1.382893101	3	34	1	4	1	2	24	2	2	7	4	1	24213.72862	0.81638549
24214.79535	1.383522878	3	35	1	4	1	2	25	1	2	6	4	1	24215.1288	0.700109304
24216.19569	1.383212549	3	36	1	4	1	2	26	1	2	6	4	1	24216.52899	0.666436195
24217.59567	1.383327043	3	37	1	4	1	2	27	2	1	6	4	1	24217.92893	0.682246345
24218.99574	1.366411249	3	38	1	4	1	2	28	2	1	5	4	1	24219.32909	0.666734897
24220.37914	1.366704708	3	39	1	4	1	2	29	2	1	5	4	1	24220.71243	0.683725701
24221.76248	1.366906943	3	40	1	4	1	2	30	2	1	5	4	1	24222.09622	0.699553058
24223.14616	1.383182669	3	41	1	4	1	2	31	1	1	4	4	1	24223.47931	0.666444863
24224.54618	1.366566103	3	42	1	4	1	2	32	1	1	4	4	1	24224.87889	0.749914266
24225.9476	1.215816572	3	43	1	4	9	3	1	3	3	4	4	n/a	n/a	n/a
24227.18029	1.216023233	3	44	1	4	9	3	2	3	3	4	4	n/a	n/a	n/a
24228.41312	1.199281368	3	45	1	4	9	3	3	3	3	4	4	n/a	n/a	n/a
24229.62981	1.183325446	3	46	1	4	9	3	4	3	3	4	4	n/a	n/a	n/a
24230.8299	1.199970622	3	47	1	4	9	3	5	3	3	4	4	n/a	n/a	n/a
24232.04695	1.182977866	3	48	1	4	9	3	6	3	3	4	4	n/a	n/a	n/a
24233.24708	1.182907497	3	49	1	4	9	3	7	3	3	4	4	n/a	n/a	n/a
24234.44672	1.183376781	3	50	1	4	9	3	8	3	3	4	4	n/a	n/a	n/a
24235.64684	1.183388405	3	51	1	4	9	3	9	3	3	4	4	n/a	n/a	n/a
24236.84702	1.183252401	3	52	1	4	9	3	10	3	3	4	4	n/a	n/a	n/a
24238.06284	1.367546393	3	53	1	4	3	4	1	1	1	4	4	1	24238.38087	0.683900905
24239.4472	1.38326411	3	54	1	4	3	4	2	2	2	3	4	1	24239.78049	0.666871644
24240.84714	1.382349435	3	55	1	4	3	4	3	1	1	3	4	1	24241.18052	0.8226754
24242.24725	1.38332239	3	56	1	4	3	4	4	2	2	3	4	1	24242.58062	0.899883062
24243.647	1.400517732	3	57	1	4	3	4	5	2	2	2	4	1	24243.99753	0.799119248
24245.06418	1.366671282	3	58	1	4	3	4	6	1	1	2	4	1	24245.39746	0.80011081
24246.44721	1.367048312	3	59	1	4	3	4	7	1	1	2	4	1	24246.78087	0.900075904
24247.83111	1.416590626	3	60	1	4	3	4	8	2	1	2	4	1	24248.18095	0.916619504
24249.26444	1.366762479	3	61	1	4	3	4	9	1	2	2	4	1	24249.59782	0.833139831
24250.64737	1.417222039	3	62	1	4	3	4	10	1	1	3	4	0	24251.01451	0.899691971
24252.0814	1.383263951	3	63	1	4	3	4	11	1	1	3	4	1	24252.41481	0.76719876
24253.48146	1.416670712	3	64	1	4	3	4	12	1	1	3	4	1	24253.83135	0.799454622
24254.91494	1.366584344	3	65	1	4	3	4	13	2	1	2	4	1	24255.24812	0.699412623
24256.29815	1.366820784	3	66	1	4	3	4	14	2	2	2	4	1	24256.63155	0.766458192
24257.68166	1.382052421	3	67	1	4	3	4	15	1	2	2	4	1	24258.01478	0.816531869
