onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
25173.97963	1.215248974	5	1	1	1	9	1	1	3	3	4	8	n/a	n/a	n/a
25175.21174	1.200381578	5	2	1	1	9	1	2	3	3	4	8	n/a	n/a	n/a
25176.42853	1.1827476	5	3	1	1	9	1	3	3	3	4	8	n/a	n/a	n/a
25177.62813	1.183351801	5	4	1	1	9	1	4	3	3	4	8	n/a	n/a	n/a
25178.82845	1.183486659	5	5	1	1	9	1	5	3	3	4	8	n/a	n/a	n/a
25180.02837	1.183111406	5	6	1	1	9	1	6	3	3	4	8	n/a	n/a	n/a
25181.22805	1.183537683	5	7	1	1	9	1	7	3	3	4	8	n/a	n/a	n/a
25182.42795	1.184330046	5	8	1	1	9	1	8	3	3	4	8	n/a	n/a	n/a
25183.62915	1.198998734	5	9	1	1	9	1	9	3	3	4	8	n/a	n/a	n/a
25184.8452	1.183206961	5	10	1	1	9	1	10	3	3	4	8	n/a	n/a	n/a
25186.09859	1.297340146	5	11	1	1	1	2	1	1	2	4	8	n/a	25186.41117	n/a
25187.41251	1.316697928	5	12	1	1	1	2	2	2	2	4	8	1	25187.7452	0.650961355
25188.74601	1.332657068	5	13	1	1	1	2	3	1	2	4	8	1	25189.07955	0.715953822
25190.0962	1.315277183	5	14	1	1	1	2	4	1	1	3	8	1	25190.41291	0.783382525
25191.42837	1.367804703	5	15	1	1	1	2	5	2	2	3	8	1	25191.7481	0.764694591
25192.81287	1.350032879	5	16	1	1	1	2	6	2	2	3	8	1	25193.14605	0.766805224
25194.17946	1.348999493	5	17	1	1	1	2	7	2	2	4	8	0	25194.51306	0.849130251
25195.54584	1.367580726	5	18	1	1	1	2	8	1	2	4	8	1	25195.87971	0.733408019
25196.92887	1.301242878	5	19	1	1	1	2	9	1	2	4	8	1	25197.26287	0.669917172
25198.24598	1.33264539	5	20	1	1	1	2	10	1	1	5	8	0	25198.57887	0.617210638
25199.59589	1.299842726	5	21	1	1	1	2	11	1	2	5	8	1	25199.91246	0.650217125
25200.91299	1.300311193	5	22	1	1	1	2	12	2	2	5	8	1	25201.22985	0.655554573
25202.23007	1.349762294	5	23	1	1	1	2	13	2	1	4	8	1	25202.56349	0.732780657
25203.59641	1.349803312	5	24	1	1	1	2	14	1	2	4	8	1	25203.93023	0.751554303
25204.96296	1.334122568	5	25	1	1	1	2	15	2	2	4	8	1	25205.29668	0.500115628
25206.31325	1.300693437	5	26	1	1	1	2	16	2	1	5	8	0	25206.64617	0.66697183
25207.62957	1.284334951	5	27	1	1	1	2	17	1	1	5	8	1	25207.93015	0.916858206
25208.92949	1.233544093	5	28	1	1	1	2	18	1	1	5	8	1	25209.21385	0.949392996
25210.18029	1.184268566	5	29	1	1	9	3	1	3	3	5	8	n/a	n/a	n/a
25211.3806	1.200255173	5	30	1	1	9	3	2	3	3	5	8	n/a	n/a	n/a
25212.59719	1.182978973	5	31	1	1	9	3	3	3	3	5	8	n/a	n/a	n/a
25213.79688	1.184259942	5	32	1	1	9	3	4	3	3	5	8	n/a	n/a	n/a
25214.99748	1.182958305	5	33	1	1	9	3	5	3	3	5	8	n/a	n/a	n/a
25216.19657	1.18445413	5	34	1	1	9	3	6	3	3	5	8	n/a	n/a	n/a
25217.39709	1.184415114	5	35	1	1	9	3	7	3	3	5	8	n/a	n/a	n/a
25218.5979	1.200255262	5	36	1	1	9	3	8	3	3	5	8	n/a	n/a	n/a
25219.8142	1.183849152	5	37	1	1	9	3	9	3	3	5	8	n/a	n/a	n/a
25221.01478	1.183462672	5	38	1	1	9	3	10	3	3	5	8	n/a	n/a	n/a
25222.23195	1.199768676	5	39	1	1	5	4	1	1	1	4	8	1	25222.51536	0.666721262
25223.44855	1.26650186	5	40	1	1	5	4	2	1	2	4	8	1	25223.76515	0.916113746
25224.7321	1.299298999	5	41	1	1	5	4	3	2	2	4	8	1	25225.04827	0.733368133
25226.04843	1.299753681	5	42	1	1	5	4	4	2	1	3	8	1	25226.34847	0.916786145
25227.3654	1.350108658	5	43	1	1	5	4	5	2	1	3	8	1	25227.6983	0.85045911
25228.73087	1.334528055	5	44	1	1	5	4	6	1	2	3	8	1	25229.04866	0.850190762
25230.08178	1.367066978	5	45	1	1	5	4	7	2	2	3	8	n/a	25230.39872	n/a
25231.46558	1.382276687	5	46	1	1	5	4	8	2	2	2	8	1	25231.79864	0.766454209
25232.86538	1.350308015	5	47	1	1	5	4	9	1	1	2	8	1	25233.16567	0.632781138
25234.23195	1.350634355	5	48	1	1	5	4	10	1	2	2	8	1	25234.54904	0.716465364
25235.5994	1.349498621	5	49	1	1	5	4	11	2	1	2	8	1	25235.91583	0.683063093
25236.96592	1.349861107	5	50	1	1	5	4	12	2	1	2	8	1	25237.29938	0.71632788
25238.3327	1.36672571	5	51	1	1	5	4	13	1	2	2	8	1	25238.66528	0.766547612
25239.71625	1.366311819	5	52	1	1	5	4	14	1	2	2	8	1	25240.04944	0.799011639
25241.09949	1.366768267	5	53	1	1	5	4	15	1	1	2	8	1	25241.41605	0.766563038
25242.48285	1.283654043	5	54	1	1	5	4	16	1	2	2	8	1	25242.76625	0.882859426
25243.78306	1.366590728	5	55	1	1	5	4	17	2	1	2	8	1	25244.11638	1.033549072
25245.16662	1.283218976	5	56	1	1	5	4	18	2	1	2	8	1	25245.48254	0.9159209
25246.4825	1.200523859	5	57	1	1	9	5	1	3	3	2	8	n/a	n/a	n/a
25247.69996	1.183618334	5	58	1	1	9	5	2	3	3	2	8	n/a	n/a	n/a
25248.90013	1.183379078	5	59	1	1	9	5	3	3	3	2	8	n/a	n/a	n/a
