onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
388.4593234	1.232927892	7	1	1	3	9	1	1	3	3	2	6	n/a	n/a	n/a
389.7093153	1.200128705	7	2	1	3	9	1	2	3	3	2	6	n/a	n/a	n/a
390.9259635	1.196657638	7	3	1	3	9	1	3	3	3	2	6	n/a	n/a	n/a
392.141647	1.184452005	7	4	1	3	9	1	4	3	3	2	6	n/a	n/a	n/a
393.3441564	1.199960431	7	5	1	3	9	1	5	3	3	2	6	n/a	n/a	n/a
394.5598492	1.182775254	7	6	1	3	9	1	6	3	3	2	6	n/a	n/a	n/a
395.7595161	1.183213979	7	7	1	3	9	1	7	3	3	2	6	n/a	n/a	n/a
396.9595486	1.183389548	7	8	1	3	9	1	8	3	3	2	6	n/a	n/a	n/a
398.1595285	1.183204014	7	9	1	3	9	1	9	3	3	2	6	n/a	n/a	n/a
399.3602777	1.199452885	7	10	1	3	9	1	10	3	3	2	6	n/a	n/a	n/a
400.6133926	1.296499905	7	11	1	3	1	2	1	2	2	2	6	1	400.9100759	0.93293265
401.9265319	1.282981616	7	12	1	3	1	2	2	2	1	2	6	1	402.2103262	0.683042877
403.2263656	1.28370644	7	13	1	3	1	2	3	1	1	2	6	1	403.5102066	0.615674817
404.5261975	1.283014785	7	14	1	3	1	2	4	1	1	3	6	0	404.8102307	0.43371933
405.8253378	1.284747645	7	15	1	3	1	2	5	1	2	4	6	0	406.1117713	0.332969614
407.1272161	1.333180229	7	16	1	3	1	2	6	2	1	4	6	1	407.4606411	0.418587024
408.4772414	1.332128014	7	17	1	3	1	2	7	1	1	5	6	0	408.7772533	0.549272554
409.826696	1.216863723	7	18	1	3	1	2	8	1	1	5	6	1	410.1094091	0.634178464
411.0599135	1.333948368	7	19	1	3	1	2	9	2	2	6	6	0	411.3433221	0.767847915
412.4106549	1.350135173	7	20	1	3	1	2	10	1	2	6	6	1	412.7439903	0.683828192
413.7775794	1.29986819	7	21	1	3	1	2	11	1	2	6	6	1	414.0935982	0.617813818
415.0938919	1.350235463	7	22	1	3	1	2	12	1	1	5	6	1	415.4108288	0.684252902
416.4608723	1.382991824	7	23	1	3	1	2	13	1	1	5	6	1	416.7768965	0.785662182
417.860986	1.333370245	7	24	1	3	1	2	14	2	2	5	6	1	418.1611374	0.649974497
419.211059	1.332979419	7	25	1	3	1	2	15	2	2	4	6	1	419.5275639	0.700515611
420.5613476	1.306390345	7	26	1	3	1	2	16	1	1	4	6	1	420.8611396	0.683052635
421.8779774	1.316863394	7	27	1	3	1	2	17	2	1	4	6	1	422.1612938	0.683503827
423.2115616	1.25001579	7	28	1	3	1	2	18	1	1	3	6	1	423.4949444	0.782594524
424.495175	1.183455763	7	29	1	3	9	3	1	3	3	3	6	n/a	n/a	n/a
425.6952139	1.199625172	7	30	1	3	9	3	2	3	3	3	6	n/a	n/a	n/a
426.9116153	1.183187442	7	31	1	3	9	3	3	3	3	3	6	n/a	n/a	n/a
428.1117114	1.227640786	7	32	1	3	9	3	4	3	3	3	6	n/a	n/a	n/a
429.361416	1.183795205	7	33	1	3	9	3	5	3	3	3	6	n/a	n/a	n/a
430.5618759	1.183423334	7	34	1	3	9	3	6	3	3	3	6	n/a	n/a	n/a
431.7619746	1.183423504	7	35	1	3	9	3	7	3	3	3	6	n/a	n/a	n/a
432.9620651	1.200175199	7	36	1	3	9	3	8	3	3	3	6	n/a	n/a	n/a
434.1788164	1.183366744	7	37	1	3	9	3	9	3	3	3	6	n/a	n/a	n/a
435.3789043	1.183338376	7	38	1	3	9	3	10	3	3	3	6	n/a	n/a	n/a
436.5960916	1.300098494	7	39	1	3	5	4	1	2	1	3	6	n/a	436.9128738	n/a
437.9129457	1.299495765	7	40	1	3	5	4	2	2	1	4	6	0	438.2290787	0.283874242
439.2291244	1.366809976	7	41	1	3	5	4	3	2	1	4	6	1	439.5624735	0.900096107
440.6126928	1.349995122	7	42	1	3	5	4	4	1	1	4	6	1	440.9293476	0.616368211
441.9793502	1.383420351	7	43	1	3	5	4	5	2	1	3	6	1	442.3127153	0.600178372
443.379483	1.383368214	7	44	1	3	5	4	6	2	2	3	6	1	443.7128642	0.549294156
444.779397	1.349881136	7	45	1	3	5	4	7	2	2	3	6	1	445.1128965	0.716954476
446.1463282	1.31673142	7	46	1	3	5	4	8	1	1	2	6	1	446.4463404	0.649442274
447.479019	1.350764629	7	47	1	3	5	4	9	2	1	2	6	1	447.7962802	0.633575815
448.8464509	1.366693738	7	48	1	3	5	4	10	1	2	2	6	1	449.1798427	0.69905476
450.2299692	1.36626734	7	49	1	3	5	4	11	1	1	2	6	1	450.5632243	0.699235178
451.6255729	1.353579097	7	50	1	3	5	4	12	2	1	2	6	1	451.9466746	0.716822126
452.9966266	1.350247632	7	51	1	3	5	4	13	2	2	2	6	1	453.3134314	0.665886863
454.3635285	1.366795247	7	52	1	3	5	4	14	2	1	2	6	1	454.6969019	0.799257788
455.7461856	1.351323479	7	53	1	3	5	4	15	2	2	2	6	1	456.0636362	0.716275943
457.1137797	1.382690444	7	54	1	3	5	4	16	2	1	2	6	1	457.4471023	0.782753954
458.5127276	1.267872427	7	55	1	3	5	4	17	2	1	2	6	1	458.8138172	0.66612461
459.7972617	1.200035026	7	56	1	3	5	4	18	2	2	2	6	1	460.0806747	0.916823997
461.0305534	1.183541168	7	57	1	3	9	5	1	3	3	2	6	n/a	n/a	n/a
462.2307012	1.183430647	7	58	1	3	9	5	2	3	3	2	6	n/a	n/a	n/a
463.4308925	1.183385266	7	59	1	3	9	5	3	3	3	2	6	n/a	n/a	n/a
464.6310459	1.182225107	7	60	1	3	9	5	4	3	3	2	6	n/a	n/a	n/a
465.8299079	1.184596751	7	61	1	3	9	5	5	3	3	2	6	n/a	n/a	n/a
467.03118	1.183398007	7	62	1	3	9	5	6	3	3	2	6	n/a	n/a	n/a
468.2312547	1.183445396	7	63	1	3	9	5	7	3	3	2	6	n/a	n/a	n/a
469.431258	1.183356774	7	64	1	3	9	5	8	3	3	2	6	n/a	n/a	n/a
470.6313944	1.200208279	7	65	1	3	9	5	9	3	3	2	6	n/a	n/a	n/a
471.848344	1.183232515	7	66	1	3	9	5	10	3	3	2	6	n/a	n/a	n/a
473.0645365	1.217327457	7	67	1	3	1	6	1	2	2	2	6	n/a	473.3482302	n/a
474.2986588	1.199670017	7	68	1	3	1	6	2	2	1	2	6	n/a	474.5983574	n/a
475.5145079	1.333915856	7	69	1	3	1	6	3	2	2	2	6	1	475.814484	0.917591991
476.8645167	1.233975738	7	70	1	3	1	6	4	1	1	2	6	1	477.1484812	0.733089795
478.1144771	1.350779038	7	71	1	3	1	6	5	1	1	2	6	1	478.4319307	0.666750934
479.4819725	1.36672065	7	72	1	3	1	6	6	2	1	2	6	1	479.8152975	0.56635679
480.8654332	1.383350731	7	73	1	3	1	6	7	1	1	2	6	1	481.1986523	0.670414402
482.2655293	1.366695474	7	74	1	3	1	6	8	1	1	3	6	0	482.5993864	0.516314344
483.6488419	1.333437405	7	75	1	3	1	6	9	2	2	3	6	1	483.9655869	0.666573836
484.9986175	1.400492931	7	76	1	3	1	6	10	1	2	3	6	1	485.3157024	0.683224583
486.4157773	1.366893051	7	77	1	3	1	6	11	2	1	4	6	0	486.7490591	0.733086708
487.7993283	1.366610547	7	78	1	3	1	6	12	2	1	4	6	1	488.1324895	0.616200728
489.1826705	1.366099135	7	79	1	3	1	6	13	2	2	5	6	0	489.5159832	0.616890872
490.5661096	1.383325396	7	80	1	3	1	6	14	1	1	5	6	1	490.8993695	0.515472281
491.9662009	1.350008809	7	81	1	3	1	6	15	1	2	5	6	1	492.2828256	0.666396152
493.3328976	1.366107711	7	82	1	3	1	6	16	2	2	4	6	1	493.666268	0.666336842
494.7166144	1.283226124	7	83	1	3	1	6	17	2	1	4	6	1	495.0164493	0.649819526
496.0156999	1.201050983	7	84	1	3	1	6	18	1	1	4	6	1	496.2998443	0.683458787
497.2493895	1.183860253	7	85	1	3	9	7	1	3	3	4	6	n/a	n/a	n/a
498.4499047	1.183516904	7	86	1	3	9	7	2	3	3	4	6	n/a	n/a	n/a
499.6502461	1.231898435	7	87	1	3	9	7	3	3	3	4	6	n/a	n/a	n/a
500.8992818	1.184178421	7	88	1	3	9	7	4	3	3	4	6	n/a	n/a	n/a
502.1000396	1.183542454	7	89	1	3	9	7	5	3	3	4	6	n/a	n/a	n/a
503.3002317	1.183420223	7	90	1	3	9	7	6	3	3	4	6	n/a	n/a	n/a
504.5003976	1.183299599	7	91	1	3	9	7	7	3	3	4	6	n/a	n/a	n/a
505.7004745	1.183458508	7	92	1	3	9	7	8	3	3	4	6	n/a	n/a	n/a
506.8999965	1.183875852	7	93	1	3	9	7	9	3	3	4	6	n/a	n/a	n/a
508.1005474	1.183406399	7	94	1	3	9	7	10	3	3	4	6	n/a	n/a	n/a
509.3177308	1.265657184	7	95	1	3	5	8	1	1	2	3	6	1	509.6173229	0.866623141
510.6006451	1.283517696	7	96	1	3	5	8	2	1	2	3	6	1	510.8840639	0.856024393
511.9001782	1.334212802	7	97	1	3	5	8	3	1	2	3	6	1	512.2008177	0.86628111
513.2510558	1.366511239	7	98	1	3	5	8	4	2	1	3	6	1	513.5675906	1.050249313
514.6343975	1.350022686	7	99	1	3	5	8	5	1	2	2	6	1	514.9512266	0.966070038
516.0011292	1.383425482	7	100	1	3	5	8	6	1	2	2	6	n/a	516.3344767	n/a
517.4011879	1.382927324	7	101	1	3	5	8	7	2	1	2	6	1	517.7346115	0.78320421
518.8003244	1.31768665	7	102	1	3	5	8	8	1	1	2	6	n/a	519.1013769	n/a
520.1347292	1.366756613	7	103	1	3	5	8	9	1	2	2	6	1	520.4680986	0.966153846
521.518152	1.36673614	7	104	1	3	5	8	10	1	1	3	6	0	521.8510769	0.833156029
522.9015803	1.350173577	7	105	1	3	5	8	11	1	1	3	6	1	523.2184801	0.749267297
524.2676331	1.35078469	7	106	1	3	5	8	12	2	1	3	6	1	524.5683094	0.816337958
525.6355365	1.36597316	7	107	1	3	5	8	13	2	1	2	6	1	525.935169	0.766348588
527.0185474	1.350137523	7	108	1	3	5	8	14	1	1	2	6	1	527.3518982	0.682254922
528.3853358	1.34999068	7	109	1	3	5	8	15	2	1	2	6	1	528.7020201	0.799905783
529.7521104	1.383383934	7	110	1	3	5	8	16	2	2	2	6	1	530.0854176	0.632360557
531.1523257	1.283212947	7	111	1	3	5	8	17	1	1	2	6	1	531.4519226	0.699978736
532.4521126	1.200335188	7	112	1	3	5	8	18	1	1	2	6	n/a	532.7356593	n/a
533.685486	1.183566815	7	113	1	3	9	9	1	3	3	2	6	n/a	n/a	n/a
534.8857506	1.183446459	7	114	1	3	9	9	2	3	3	2	6	n/a	n/a	n/a
536.085814	1.183462205	7	115	1	3	9	9	3	3	3	2	6	n/a	n/a	n/a
537.2853509	1.183943977	7	116	1	3	9	9	4	3	3	2	6	n/a	n/a	n/a
538.4860207	1.183303069	7	117	1	3	9	9	5	3	3	2	6	n/a	n/a	n/a
539.686183	1.183327849	7	118	1	3	9	9	6	3	3	2	6	n/a	n/a	n/a
540.8862657	1.20603305	7	119	1	3	9	9	7	3	3	2	6	n/a	n/a	n/a
542.102814	1.18300738	7	120	1	3	9	9	8	3	3	2	6	n/a	n/a	n/a
543.3030621	1.18336307	7	121	1	3	9	9	9	3	3	2	6	n/a	n/a	n/a
544.5032105	1.183290918	7	122	1	3	9	9	10	3	3	2	6	n/a	n/a	n/a
