onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
23850.28679	1.250417952	2	1	2	4	9	1	1	3	3	3	9	n/a	n/a	n/a
23851.55378	1.206705567	2	2	2	4	9	1	2	3	3	3	9	n/a	n/a	n/a
23852.77054	1.200199999	2	3	2	4	9	1	3	3	3	3	9	n/a	n/a	n/a
23853.98719	1.20022283	2	4	2	4	9	1	4	3	3	3	9	n/a	n/a	n/a
23855.20486	1.184189176	2	5	2	4	9	1	5	3	3	3	9	n/a	n/a	n/a
23856.40422	1.183227739	2	6	2	4	9	1	6	3	3	3	9	n/a	n/a	n/a
23857.60403	1.183429024	2	7	2	4	9	1	7	3	3	3	9	n/a	n/a	n/a
23858.8042	1.18341145	2	8	2	4	9	1	8	3	3	3	9	n/a	n/a	n/a
23860.00431	1.18342434	2	9	2	4	9	1	9	3	3	3	9	n/a	n/a	n/a
23861.20389	1.183909667	2	10	2	4	9	1	10	3	3	3	9	n/a	n/a	n/a
23862.44092	1.346801211	2	11	2	4	1	2	1	1	2	3	9	n/a	23862.75459	n/a
23863.80445	1.283403772	2	12	2	4	1	2	2	1	2	3	8	1	23864.13842	0.782463885
23865.10443	1.366882992	2	13	2	4	1	2	3	1	2	3	8	1	23865.42169	1.015376151
23866.48806	1.382185471	2	14	2	4	1	2	4	2	2	3	8	1	23866.82155	0.983299446
23867.88691	1.367909435	2	15	2	4	1	2	5	1	1	3	7	1	23868.20645	0.864821619
23869.27155	1.383397727	2	16	2	4	1	2	6	1	2	3	8	0	23869.60518	0.91706801
23870.67085	1.367555348	2	17	2	4	1	2	7	2	2	3	8	1	23870.98828	0.86695591
23872.0551	1.316617333	2	18	2	4	1	2	8	1	2	3	8	1	23872.37183	0.934953173
23873.38857	1.333285703	2	19	2	4	1	2	9	1	1	3	7	1	23873.72183	0.933313519
23874.73856	1.350060688	2	20	2	4	1	2	10	1	1	3	7	1	23875.05526	1.000191175
23876.10529	1.366800593	2	21	2	4	1	2	11	1	2	3	7	1	23876.43799	0.833723145
23877.48856	1.333575655	2	22	2	4	1	2	12	2	2	3	6	1	23877.82144	0.866592826
23878.83889	1.383362985	2	23	2	4	1	2	13	1	1	3	6	1	23879.17207	0.869485786
23880.23902	1.371024225	2	24	2	4	1	2	14	1	1	3	6	1	23880.5556	0.800264786
23881.62228	1.366827749	2	25	2	4	1	2	15	1	1	3	5	1	23881.9434	0.929367249
23883.00529	1.350279478	2	26	2	4	1	2	16	2	1	3	5	0	23883.3058	1.050139943
23884.3721	1.3505196	2	27	2	4	1	2	17	2	2	3	6	1	23884.70554	0.966865072
23885.73904	1.283696816	2	28	2	4	1	2	18	2	2	3	6	n/a	23886.02273	n/a
23887.0395	1.383239492	2	29	2	4	1	2	19	1	2	3	6	n/a	23887.37274	n/a
23888.4395	1.333437599	2	30	2	4	1	2	20	2	1	3	7	0	23888.75611	0.083743512
23889.78973	1.333282263	2	31	2	4	1	2	21	2	2	3	8	0	23890.08968	0.116701297
23891.13967	1.383449946	2	32	2	4	1	2	22	1	2	3	8	1	23891.47264	0.866750003
23892.53988	1.383413856	2	33	2	4	1	2	23	2	1	3	8	1	23892.87313	1.015575749
23893.94018	1.333084993	2	34	2	4	1	2	24	1	1	3	8	n/a	23894.25661	n/a
23895.28996	1.350051718	2	35	2	4	1	2	25	2	1	3	8	n/a	23895.58998	n/a
23896.65683	1.349992588	2	36	2	4	1	2	26	2	2	3	9	0	23896.99007	0.065646289
23898.02361	1.333701287	2	37	2	4	1	2	27	1	1	3	10	0	23898.35683	0.615483639
23899.37358	1.350111658	2	38	2	4	1	2	28	1	1	3	10	1	23899.69026	0.699203571
23900.74038	1.366708835	2	39	2	4	1	2	29	1	2	3	10	1	23901.05706	0.682515893
23902.12366	1.366749472	2	40	2	4	1	2	30	1	1	3	9	1	23902.42377	0.616997795
23903.50716	1.36574535	2	41	2	4	1	2	31	2	1	3	9	1	23903.84057	0.749837265
23904.89076	1.383290942	2	42	2	4	1	2	32	1	2	3	9	n/a	23905.22399	n/a
