onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
185.8952229	1.183184058	6	1	2	1	9	1	1	3	3	2	8	n/a	n/a	n/a
187.0947955	1.184074268	6	2	2	1	9	1	2	3	3	2	8	n/a	n/a	n/a
188.2951863	1.183811322	6	3	2	1	9	1	3	3	3	2	8	n/a	n/a	n/a
189.4944872	1.184145135	6	4	2	1	9	1	4	3	3	2	8	n/a	n/a	n/a
190.696198	1.184399392	6	5	2	1	9	1	5	3	3	2	8	n/a	n/a	n/a
191.8944502	1.183847023	6	6	2	1	9	1	6	3	3	2	8	n/a	n/a	n/a
193.0952417	1.183907883	6	7	2	1	9	1	7	3	3	2	8	n/a	n/a	n/a
194.2952413	1.184104268	6	8	2	1	9	1	8	3	3	2	8	n/a	n/a	n/a
195.4953453	1.183930056	6	9	2	1	9	1	9	3	3	2	8	n/a	n/a	n/a
196.6953272	1.184140693	6	10	2	1	9	1	10	3	3	2	8	n/a	n/a	n/a
197.9472631	1.282289587	6	11	2	1	1	2	1	2	2	2	8	n/a	198.246012	n/a
199.2457554	1.316877844	6	12	2	1	1	2	2	1	2	2	8	1	199.5802879	0.815431662
200.5798617	1.29984842	6	13	2	1	1	2	3	2	2	2	7	1	200.8791735	0.800524447
201.8961647	1.332736538	6	14	2	1	1	2	4	1	2	2	7	1	202.2300306	0.749862293
203.2452649	1.317701723	6	15	2	1	1	2	5	1	2	2	7	1	203.5648209	0.831428153
204.5804606	1.33240162	6	16	2	1	1	2	6	1	2	2	6	1	204.9136165	0.753581234
205.9302941	1.338562154	6	17	2	1	1	2	7	2	1	2	6	1	206.2630438	0.683470246
207.279912	1.350578582	6	18	2	1	1	2	8	1	1	2	6	1	207.6299819	0.666545598
208.6463295	1.334275662	6	19	2	1	1	2	9	1	2	2	5	1	208.9801413	0.833874571
209.9957777	1.334621198	6	20	2	1	1	2	10	2	2	2	5	1	210.3301449	0.799401988
211.3465613	1.299407613	6	21	2	1	1	2	11	1	1	2	5	1	211.6463718	0.783202939
212.6632274	1.34898193	6	22	2	1	1	2	12	1	2	2	4	1	212.9969589	0.732444622
214.0300894	1.333308139	6	23	2	1	1	2	13	2	1	2	5	0	214.3470074	0.800208165
215.3806242	1.36622538	6	24	2	1	1	2	14	1	2	2	5	1	215.7137413	0.899426999
216.7637648	1.383284312	6	25	2	1	1	2	15	2	2	2	5	1	217.0806404	0.832146163
218.1630764	1.367525696	6	26	2	1	1	2	16	2	1	2	6	0	218.4805233	0.899605224
219.5472958	1.383616612	6	27	2	1	1	2	17	1	1	2	6	1	219.8807382	0.983235026
220.9476093	1.266548567	6	28	2	1	1	2	18	2	2	2	6	1	221.2642304	0.782797853
222.2485179	1.198874894	6	29	2	1	9	3	1	3	3	2	6	n/a	n/a	n/a
223.4641254	1.183758099	6	30	2	1	9	3	2	3	3	2	6	n/a	n/a	n/a
224.6639652	1.184231776	6	31	2	1	9	3	3	3	3	2	6	n/a	n/a	n/a
225.8644176	1.183435264	6	32	2	1	9	3	4	3	3	2	6	n/a	n/a	n/a
227.0645267	1.183387252	6	33	2	1	9	3	5	3	3	2	6	n/a	n/a	n/a
228.2645679	1.183526419	6	34	2	1	9	3	6	3	3	2	6	n/a	n/a	n/a
229.4646882	1.200258849	6	35	2	1	9	3	7	3	3	2	6	n/a	n/a	n/a
230.6814718	1.183266112	6	36	2	1	9	3	8	3	3	2	6	n/a	n/a	n/a
231.8816088	1.183718909	6	37	2	1	9	3	9	3	3	2	6	n/a	n/a	n/a
233.0817243	1.183254384	6	38	2	1	9	3	10	3	3	2	6	n/a	n/a	n/a
234.298709	1.283633903	6	39	2	1	5	4	1	2	1	2	6	n/a	234.5987354	n/a
235.5991355	1.282894083	6	40	2	1	5	4	2	2	1	2	7	0	235.8987148	0.799391262
236.8983206	1.300288411	6	41	2	1	5	4	3	1	2	2	7	n/a	237.2150005	n/a
238.2155667	1.299867809	6	42	2	1	5	4	4	1	1	2	7	1	238.515648	0.401405339
239.5325286	1.316241303	6	43	2	1	5	4	5	2	1	2	7	1	239.8319862	0.982831824
240.8654721	1.300052931	6	44	2	1	5	4	6	2	1	2	7	0	241.1654403	0.966957344
242.1825235	1.349769375	6	45	2	1	5	4	7	1	2	2	9	0	242.498987	0.884015541
243.5489691	1.350053648	6	46	2	1	5	4	8	1	2	2	10	0	243.8823209	0.933328718
244.9156412	1.350177699	6	47	2	1	5	4	9	2	2	2	10	n/a	245.2491113	n/a
246.2827407	1.33317738	6	48	2	1	5	4	10	1	1	2	10	1	246.6158487	0.933009717
247.6326861	1.333485867	6	49	2	1	5	4	11	1	1	2	10	1	247.9492468	0.798739893
248.9825176	1.382280425	6	50	2	1	5	4	12	2	2	2	9	1	249.3159979	0.765674484
250.3825802	1.383631816	6	51	2	1	5	4	13	1	1	2	9	1	250.7161244	0.666420471
251.7830484	1.333238406	6	52	2	1	5	4	14	2	1	2	10	0	252.1163843	0.600195846
253.1331942	1.349752	6	53	2	1	5	4	15	2	2	2	10	1	253.4496595	0.750450094
254.4994193	1.350473068	6	54	2	1	5	4	16	1	1	2	10	1	254.8164582	0.782240812
255.8661658	1.300576602	6	55	2	1	5	4	17	2	2	2	9	1	256.1665874	0.932110068
257.1828404	1.23389561	6	56	2	1	5	4	18	1	1	2	9	1	257.4668086	0.648496382
258.4498423	1.183299393	6	57	2	1	9	5	1	3	3	2	9	n/a	n/a	n/a
259.6501314	1.183321899	6	58	2	1	9	5	2	3	3	2	9	n/a	n/a	n/a
260.8501417	1.183720393	6	59	2	1	9	5	3	3	3	2	9	n/a	n/a	n/a
262.0502184	1.182242739	6	60	2	1	9	5	4	3	3	2	9	n/a	n/a	n/a
263.2493035	1.184684015	6	61	2	1	9	5	5	3	3	2	9	n/a	n/a	n/a
264.4504247	1.183016908	6	62	2	1	9	5	6	3	3	2	9	n/a	n/a	n/a
265.6504697	1.182958196	6	63	2	1	9	5	7	3	3	2	9	n/a	n/a	n/a
266.8508569	1.183054931	6	64	2	1	9	5	8	3	3	2	9	n/a	n/a	n/a
268.0506359	1.182446825	6	65	2	1	9	5	9	3	3	2	9	n/a	n/a	n/a
269.2498169	1.183230488	6	66	2	1	9	5	10	3	3	2	9	n/a	n/a	n/a
270.4659086	1.246132111	6	67	2	1	1	6	1	1	2	2	9	1	270.7505794	0.567390498
271.7345231	1.299512233	6	68	2	1	1	6	2	2	2	2	8	1	272.0344526	0.883160029
273.0511878	1.349877763	6	69	2	1	1	6	3	2	1	2	8	1	273.3677994	0.665717899
274.4177841	1.333425767	6	70	2	1	1	6	4	2	2	2	8	1	274.7178127	0.665898515
275.7679292	1.333324011	6	71	2	1	1	6	5	1	1	2	7	1	276.0678996	0.665892156
277.1179267	1.248868496	6	72	2	1	1	6	6	1	2	2	7	1	277.4179489	0.683478744
278.3836568	1.267914059	6	73	2	1	1	6	7	1	1	2	7	1	278.6678795	0.633468132
279.6683855	1.299847623	6	74	2	1	1	6	8	2	2	2	6	1	279.966445	0.651115627
280.9841726	1.334117602	6	75	2	1	1	6	9	2	2	2	6	1	281.3182167	0.815799283
282.334742	1.366331228	6	76	2	1	1	6	10	1	2	2	6	1	282.6684351	0.749818693
283.7172002	1.334648082	6	77	2	1	1	6	11	1	1	2	5	1	284.0184532	0.715397559
285.0685152	1.350061702	6	78	2	1	1	6	12	2	1	2	5	1	285.3685699	0.748969205
286.4347677	1.317221163	6	79	2	1	1	6	13	2	2	2	6	0	286.7179075	0.750799812
287.7686866	1.366780286	6	80	2	1	1	6	14	1	2	2	6	1	288.0853909	0.599818137
289.1522358	1.333341612	6	81	2	1	1	6	15	2	1	2	7	0	289.4690874	0.683314125
290.5022767	1.31693577	6	82	2	1	1	6	16	1	2	2	7	1	290.8189248	0.683659888
291.8360767	1.266293809	6	83	2	1	1	6	17	2	1	2	7	1	292.1193265	0.649268279
293.1191083	1.266707051	6	84	2	1	1	6	18	2	1	2	8	0	293.4023444	0.533574636
294.4187893	1.200461946	6	85	2	1	9	7	1	3	3	2	8	n/a	n/a	n/a
295.6354807	1.183852276	6	86	2	1	9	7	2	3	3	2	8	n/a	n/a	n/a
296.8360803	1.183360321	6	87	2	1	9	7	3	3	3	2	8	n/a	n/a	n/a
298.0365072	1.267856584	6	88	2	1	9	7	4	3	3	2	8	n/a	n/a	n/a
299.3198369	1.183095509	6	89	2	1	9	7	5	3	3	2	8	n/a	n/a	n/a
300.5196733	1.183339986	6	90	2	1	9	7	6	3	3	2	8	n/a	n/a	n/a
301.7197377	1.182520146	6	91	2	1	9	7	7	3	3	2	8	n/a	n/a	n/a
302.9188184	1.207322672	6	92	2	1	9	7	8	3	3	2	8	n/a	n/a	n/a
304.1482376	1.188766735	6	93	2	1	9	7	9	3	3	2	8	n/a	n/a	n/a
305.3532196	1.18286766	6	94	2	1	9	7	10	3	3	2	8	n/a	n/a	n/a
306.570319	1.266391133	6	95	2	1	5	8	1	1	1	2	8	1	306.8700674	0.849925043
307.8532267	1.300255132	6	96	2	1	5	8	2	2	1	2	9	0	308.1534136	0.816754764
309.1701906	1.365906718	6	97	2	1	5	8	3	2	2	2	9	1	309.4868104	0.749679957
310.5524613	1.299596843	6	98	2	1	5	8	4	2	2	2	9	1	310.8358447	0.751267439
311.8695929	1.334459823	6	99	2	1	5	8	5	2	2	2	8	1	312.1703857	0.715641746
313.2208279	1.348512858	6	100	2	1	5	8	6	2	2	2	8	1	313.5537838	0.732601937
314.5874302	1.232548243	6	101	2	1	5	8	7	1	2	2	9	0	314.9205483	0.799315335
315.837042	1.282557994	6	102	2	1	5	8	8	2	2	2	9	1	316.1206201	0.716486084
317.1361379	1.31788311	6	103	2	1	5	8	9	2	1	2	9	1	317.4207247	0.633184298
318.4708711	1.366611511	6	104	2	1	5	8	10	1	1	2	8	1	318.8044715	0.566363166
319.8539169	1.367037532	6	105	2	1	5	8	11	1	1	2	8	1	320.1710895	0.56582956
321.2375339	1.366948366	6	106	2	1	5	8	12	1	2	2	8	1	321.5709679	0.616869994
322.6211949	1.333474051	6	107	2	1	5	8	13	1	1	2	7	1	322.9211288	0.683585584
323.9714467	1.249907415	6	108	2	1	5	8	14	1	2	2	7	1	324.3045673	0.732815788
