onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545318415	1.191498995	5	1	1	1	9	1	1	3	3	5	9	n/a	n/a	n/a
1545318417	1.191739082	5	2	1	1	9	1	2	3	3	5	9	n/a	n/a	n/a
1545318418	1.191859961	5	3	1	1	9	1	3	3	3	5	9	n/a	n/a	n/a
1545318419	1.191822052	5	4	1	1	9	1	4	3	3	5	9	n/a	n/a	n/a
1545318420	1.191867113	5	5	1	1	9	1	5	3	3	5	9	n/a	n/a	n/a
1545318421	1.191807985	5	6	1	1	9	1	6	3	3	5	9	n/a	n/a	n/a
1545318423	1.191839933	5	7	1	1	9	1	7	3	3	5	9	n/a	n/a	n/a
1545318424	1.191664934	5	8	1	1	9	1	8	3	3	5	9	n/a	n/a	n/a
1545318425	1.191699028	5	9	1	1	9	1	9	3	3	5	9	n/a	n/a	n/a
1545318426	1.191772938	5	10	1	1	9	1	10	3	3	5	9	n/a	n/a	n/a
1545318428	1.205043077	5	11	1	1	1	2	1	1	1	5	9	n/a	1545318428	n/a
1545318429	1.191729069	5	12	1	1	1	2	2	2	1	4	9	1	1545318429	0.3003249168
1545318430	1.191795826	5	13	1	1	1	2	3	2	2	5	9	0	1545318430	0.458450079
1545318431	1.191777945	5	14	1	1	1	2	4	2	2	6	9	0	1545318431	0.5669858456
1545318432	1.191776037	5	15	1	1	1	2	5	1	1	6	9	1	1545318433	0.5996158123
1545318434	1.200042009	5	16	1	1	1	2	6	2	2	6	9	1	1545318434	0.6918509007
1545318435	1.191650867	5	17	1	1	1	2	7	2	2	5	9	1	1545318435	0.6752188206
1545318436	1.20006299	5	18	1	1	1	2	8	1	1	5	9	1	1545318436	0.7585129738
1545318437	1.191747904	5	19	1	1	1	2	9	2	2	5	9	1	1545318437	0.8669531345
1545318438	1.191586971	5	20	1	1	1	2	10	1	2	4	9	1	1545318439	0.8428399563
1545318440	1.191699982	5	21	1	1	1	2	11	1	2	4	9	n/a	1545318440	n/a
1545318441	1.200052977	5	22	1	1	1	2	12	1	1	4	9	n/a	1545318441	n/a
1545318442	1.191740036	5	23	1	1	1	2	13	2	2	5	9	0	1545318442	0.1087520123
1545318443	1.191751003	5	24	1	1	1	2	14	1	2	5	9	n/a	1545318443	n/a
1545318444	1.191730022	5	25	1	1	1	2	15	2	2	5	9	1	1545318445	0.5763010979
1545318446	1.191787958	5	26	1	1	1	2	16	2	2	5	9	1	1545318446	0.6755409241
1545318447	1.191687822	5	27	1	1	1	2	17	2	1	4	9	1	1545318447	0.6334278584
1545318448	1.200051069	5	28	1	1	1	2	18	1	2	5	9	0	1545318448	0.6170461178
1545318449	1.19865799	5	29	1	1	9	3	1	3	3	5	9	n/a	n/a	n/a
1545318451	1.191410065	5	30	1	1	9	3	2	3	3	5	9	n/a	n/a	n/a
1545318452	1.191694975	5	31	1	1	9	3	3	3	3	5	9	n/a	n/a	n/a
1545318453	1.19165802	5	32	1	1	9	3	4	3	3	5	9	n/a	n/a	n/a
1545318454	1.191751957	5	33	1	1	9	3	5	3	3	5	9	n/a	n/a	n/a
1545318455	1.191725016	5	34	1	1	9	3	6	3	3	5	9	n/a	n/a	n/a
1545318457	1.191817045	5	35	1	1	9	3	7	3	3	5	9	n/a	n/a	n/a
1545318458	1.191662073	5	36	1	1	9	3	8	3	3	5	9	n/a	n/a	n/a
1545318459	1.191726923	5	37	1	1	9	3	9	3	3	5	9	n/a	n/a	n/a
1545318460	1.199961185	5	38	1	1	9	3	10	3	3	5	9	n/a	n/a	n/a
1545318461	1.199743986	5	39	1	1	5	4	1	2	1	5	9	1	1545318462	0.3254799843
1545318463	1.191736937	5	40	1	1	5	4	2	1	1	6	9	0	1545318463	0.6668078899
1545318464	1.20005703	5	41	1	1	5	4	3	1	2	6	9	1	1545318464	0.6751351357
1545318465	1.191702127	5	42	1	1	5	4	4	2	2	6	9	1	1545318465	0.7002329826
1545318466	1.191719055	5	43	1	1	5	4	5	1	2	5	9	1	1545318467	0.6252610683
1545318468	1.191733837	5	44	1	1	5	4	6	2	1	5	9	1	1545318468	0.7084269524
1545318469	1.191691875	5	45	1	1	5	4	7	1	1	5	9	1	1545318469	0.6336948872
1545318470	1.191704035	5	46	1	1	5	4	8	1	1	4	9	1	1545318470	0.7251150608
1545318471	1.200048923	5	47	1	1	5	4	9	2	1	4	9	1	1545318471	0.6750741005
1545318472	1.191684961	5	48	1	1	5	4	10	1	1	4	9	n/a	1545318473	n/a
1545318474	1.191688061	5	49	1	1	5	4	11	1	2	4	9	1	1545318474	0.8167889118
1545318475	1.19173193	5	50	1	1	5	4	12	2	1	3	9	1	1545318475	0.6335248947
1545318476	1.200005054	5	51	1	1	5	4	13	2	2	3	9	1	1545318476	0.5334410667
1545318477	1.191735983	5	52	1	1	5	4	14	2	1	3	9	1	1545318477	0.5500369072
1545318478	1.191708088	5	53	1	1	5	4	15	2	1	2	9	1	1545318479	0.5168230534
1545318480	1.200090885	5	54	1	1	5	4	16	1	1	2	9	1	1545318480	0.591780901
1545318481	1.191588879	5	55	1	1	5	4	17	1	1	3	9	0	1545318481	0.6753959656
1545318482	1.191761017	5	56	1	1	5	4	18	2	2	4	9	0	1545318482	0.6252009869
1545318483	1.191644192	5	57	1	1	9	5	1	3	3	4	9	n/a	n/a	n/a
1545318484	1.191685915	5	58	1	1	9	5	2	3	3	4	9	n/a	n/a	n/a
1545318486	1.191704035	5	59	1	1	9	5	3	3	3	4	9	n/a	n/a	n/a
1545318487	1.191752911	5	60	1	1	9	5	4	3	3	4	9	n/a	n/a	n/a
1545318488	1.191793919	5	61	1	1	9	5	5	3	3	4	9	n/a	n/a	n/a
1545318489	1.191753864	5	62	1	1	9	5	6	3	3	4	9	n/a	n/a	n/a
1545318490	1.191736937	5	63	1	1	9	5	7	3	3	4	9	n/a	n/a	n/a
1545318492	1.191725969	5	64	1	1	9	5	8	3	3	4	9	n/a	n/a	n/a
1545318493	1.191704035	5	65	1	1	9	5	9	3	3	4	9	n/a	n/a	n/a
1545318494	1.191753864	5	66	1	1	9	5	10	3	3	4	9	n/a	n/a	n/a
1545318495	1.198908091	5	67	1	1	1	6	1	2	2	4	9	n/a	1545318496	n/a
1545318497	1.191561937	5	68	1	1	1	6	2	1	2	4	9	1	1545318497	0.7338440418
1545318498	1.191766977	5	69	1	1	1	6	3	1	1	4	9	1	1545318498	0.7584161758
1545318499	1.191752911	5	70	1	1	1	6	4	1	1	5	9	0	1545318499	0.7918250561
1545318500	1.191717148	5	71	1	1	1	6	5	2	2	5	9	0	1545318501	0.8587210178
1545318501	1.199836969	5	72	1	1	1	6	6	1	2	6	9	1	1545318502	0.8336918354
1545318503	1.191782951	5	73	1	1	1	6	7	2	2	6	9	1	1545318503	0.7085669041
1545318504	1.191699982	5	74	1	1	1	6	8	1	2	5	9	1	1545318504	0.6667599678
1545318505	1.200016022	5	75	1	1	1	6	9	2	1	6	9	0	1545318505	0.7167999744
1545318506	1.191807032	5	76	1	1	1	6	10	2	1	6	9	1	1545318507	0.6169068813
