onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
183158.5423	1.285649832	5	1	1	1	9	1	1	3	3	7	6	n/a	n/a	n/a
183159.8447	1.281289811	5	2	1	1	9	1	2	3	3	7	6	n/a	n/a	n/a
183161.1429	1.434492837	5	3	1	1	9	1	3	3	3	7	6	n/a	n/a	n/a
183162.5927	1.30206091	5	4	1	1	9	1	4	3	3	7	6	n/a	n/a	n/a
183163.9092	1.283629862	5	5	1	1	9	1	5	3	3	7	6	n/a	n/a	n/a
183165.2092	1.282746383	5	6	1	1	9	1	6	3	3	7	6	n/a	n/a	n/a
183166.5091	1.283403083	5	7	1	1	9	1	7	3	3	7	6	n/a	n/a	n/a
183167.8089	1.283453203	5	8	1	1	9	1	8	3	3	7	6	n/a	n/a	n/a
183169.1085	1.284022679	5	9	1	1	9	1	9	3	3	7	6	n/a	n/a	n/a
183170.4092	1.282927123	5	10	1	1	9	1	10	3	3	7	6	n/a	n/a	n/a
183171.7441	1.281705246	5	11	1	1	1	2	1	2	1	7	6	n/a	183172.0792	n/a
183173.0441	1.282093093	5	12	1	1	1	2	2	1	2	8	6	0	183173.3754	0.451799482
183174.3421	1.283467516	5	13	1	1	1	2	3	2	1	8	6	1	183174.6759	0.199662443
183175.6464	1.280172058	5	14	1	1	1	2	4	2	2	8	6	n/a	183175.9753	n/a
183176.9427	1.282771727	5	15	1	1	1	2	5	1	1	8	6	n/a	183177.276	n/a
183178.2424	1.283339568	5	16	1	1	1	2	6	1	2	8	6	n/a	183178.5798	n/a
183179.5419	1.46712876	5	17	1	1	1	2	7	1	2	8	6	n/a	183179.8915	n/a
183181.0255	1.283287429	5	18	1	1	1	2	8	1	2	8	6	n/a	183181.3638	n/a
183182.3254	1.283751249	5	19	1	1	1	2	9	2	2	8	6	n/a	183182.6591	n/a
183183.6274	1.281184855	5	20	1	1	1	2	10	1	2	8	6	n/a	183183.9625	n/a
183184.9249	1.283860537	5	21	1	1	1	2	11	2	2	8	6	n/a	183185.259	n/a
183186.2299	1.278968539	5	22	1	1	1	2	12	2	2	8	6	n/a	183186.5612	n/a
183187.5252	1.283338479	5	23	1	1	1	2	13	1	2	8	6	n/a	183187.8587	n/a
183188.8252	1.285571473	5	24	1	1	1	2	14	2	1	8	6	n/a	183189.1585	n/a
183190.1247	1.283756521	5	25	1	1	1	2	15	2	2	8	6	n/a	183190.4587	n/a
183191.4251	1.28340569	5	26	1	1	1	2	16	1	2	8	6	n/a	183191.7587	n/a
183192.7252	1.283436831	5	27	1	1	1	2	17	1	1	8	6	n/a	183193.0585	n/a
183194.0253	1.282657926	5	28	1	1	1	2	18	1	2	8	6	n/a	183194.3585	n/a
183195.3264	1.282568621	5	29	1	1	9	3	1	3	3	8	6	n/a	n/a	n/a
183196.6254	1.283097241	5	30	1	1	9	3	2	3	3	8	6	n/a	n/a	n/a
183197.9248	1.283790757	5	31	1	1	9	3	3	3	3	8	6	n/a	n/a	n/a
183199.2252	1.283533994	5	32	1	1	9	3	4	3	3	8	6	n/a	n/a	n/a
183200.5253	1.283206216	5	33	1	1	9	3	5	3	3	8	6	n/a	n/a	n/a
183201.8254	1.283417103	5	34	1	1	9	3	6	3	3	8	6	n/a	n/a	n/a
183203.1252	1.284014134	5	35	1	1	9	3	7	3	3	8	6	n/a	n/a	n/a
183204.425	1.284017361	5	36	1	1	9	3	8	3	3	8	6	n/a	n/a	n/a
183205.7255	1.283107482	5	37	1	1	9	3	9	3	3	8	6	n/a	n/a	n/a
183207.0254	1.285737034	5	38	1	1	9	3	10	3	3	8	6	n/a	n/a	n/a
183208.33	1.278862065	5	39	1	1	5	4	1	1	1	8	6	n/a	183208.6586	n/a
183209.6253	1.283215276	5	40	1	1	5	4	2	1	2	8	6	0	183209.9585	0.91698671
183210.9251	1.290666686	5	41	1	1	5	4	3	2	1	9	6	n/a	183211.2633	n/a
183212.2255	1.288111488	5	42	1	1	5	4	4	1	1	10	6	0	183212.5585	0.317428087
183213.5269	1.281625627	5	43	1	1	5	4	5	1	2	11	6	0	183213.8587	0.383132646
183214.8252	1.283566557	5	44	1	1	5	4	6	1	2	11	6	n/a	183215.1588	n/a
183216.1251	1.283387832	5	45	1	1	5	4	7	2	1	11	6	1	183216.4586	0.283555544
183217.4252	1.283218122	5	46	1	1	5	4	8	1	2	11	6	n/a	183217.7586	n/a
183218.7251	1.283615243	5	47	1	1	5	4	9	2	1	11	6	n/a	183219.0587	n/a
183220.0253	1.284922743	5	48	1	1	5	4	10	2	1	11	6	n/a	183220.3582	n/a
183221.3246	1.283600385	5	49	1	1	5	4	11	2	1	11	6	n/a	183221.6586	n/a
183222.6253	1.286649037	5	50	1	1	5	4	12	2	2	11	6	n/a	183222.9606	n/a
183223.9256	1.283173494	5	51	1	1	5	4	13	1	2	11	6	n/a	183224.2588	n/a
