onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1559733311	1.291493893	1	1	1	4	9	1	1	3	3	9	9	n/a	n/a	n/a
1559733312	1.291831017	1	2	1	4	9	1	2	3	3	9	9	n/a	n/a	n/a
1559733313	1.291665077	1	3	1	4	9	1	3	3	3	9	9	n/a	n/a	n/a
1559733315	1.291675806	1	4	1	4	9	1	4	3	3	9	9	n/a	n/a	n/a
1559733316	1.291596889	1	5	1	4	9	1	5	3	3	9	9	n/a	n/a	n/a
1559733317	1.291679144	1	6	1	4	9	1	6	3	3	9	9	n/a	n/a	n/a
1559733319	1.291689873	1	7	1	4	9	1	7	3	3	9	9	n/a	n/a	n/a
1559733320	1.291680098	1	8	1	4	9	1	8	3	3	9	9	n/a	n/a	n/a
1559733321	1.291657925	1	9	1	4	9	1	9	3	3	9	9	n/a	n/a	n/a
1559733323	1.291568995	1	10	1	4	9	1	10	3	3	9	9	n/a	n/a	n/a
1559733324	1.298964977	1	11	1	4	1	2	1	1	2	9	9	n/a	1559733324	n/a
1559733325	1.291650057	1	12	1	4	1	2	2	1	2	9	9	n/a	1559733325	n/a
1559733326	1.299997091	1	13	1	4	1	2	3	1	1	9	9	n/a	1559733327	n/a
1559733328	1.300012112	1	14	1	4	1	2	4	2	1	9	9	n/a	1559733328	n/a
1559733329	1.299988985	1	15	1	4	1	2	5	2	1	9	9	n/a	1559733329	n/a
1559733330	1.291657925	1	16	1	4	1	2	6	1	2	9	9	n/a	1559733331	n/a
1559733332	1.299952984	1	17	1	4	1	2	7	1	2	9	9	n/a	1559733332	n/a
1559733333	1.299997091	1	18	1	4	1	2	8	2	2	9	9	n/a	1559733333	n/a
1559733334	1.291601896	1	19	1	4	1	2	9	1	1	9	9	n/a	1559733335	n/a
1559733336	1.291786194	1	20	1	4	1	2	10	1	2	9	9	n/a	1559733336	n/a
1559733337	1.300081015	1	21	1	4	1	2	11	2	2	9	9	n/a	1559733337	n/a
1559733338	1.291739941	1	22	1	4	1	2	12	2	2	9	9	n/a	1559733339	n/a
1559733340	1.299996853	1	23	1	4	1	2	13	2	1	9	9	n/a	1559733340	n/a
1559733341	1.300043106	1	24	1	4	1	2	14	1	2	9	9	n/a	1559733341	n/a
1559733342	1.300001144	1	25	1	4	1	2	15	2	2	9	9	n/a	1559733342	n/a
1559733343	1.291650057	1	26	1	4	1	2	16	2	1	9	9	n/a	1559733344	n/a
1559733345	1.299999952	1	27	1	4	1	2	17	2	1	9	9	n/a	1559733345	n/a
1559733346	1.291666985	1	28	1	4	1	2	18	1	1	9	9	n/a	1559733346	n/a
1559733347	1.299994946	1	29	1	4	1	2	19	1	1	9	9	n/a	1559733348	n/a
1559733349	1.299992085	1	30	1	4	1	2	20	1	1	9	9	n/a	1559733349	n/a
1559733350	1.299996138	1	31	1	4	1	2	21	1	2	9	9	n/a	1559733350	n/a
1559733351	1.291700125	1	32	1	4	1	2	22	1	2	9	9	n/a	1559733352	n/a
1559733353	1.291625023	1	33	1	4	1	2	23	2	2	9	9	n/a	1559733353	n/a
1559733354	1.300060987	1	34	1	4	1	2	24	1	2	9	9	n/a	1559733354	n/a
1559733355	1.291662931	1	35	1	4	1	2	25	2	2	9	9	n/a	1559733356	n/a
1559733356	1.291688204	1	36	1	4	1	2	26	2	2	9	9	n/a	1559733357	n/a
1559733358	1.291664839	1	37	1	4	1	2	27	1	1	9	9	n/a	1559733358	n/a
1559733359	1.299988985	1	38	1	4	1	2	28	2	2	9	9	n/a	1559733359	n/a
1559733360	1.299998045	1	39	1	4	1	2	29	2	2	9	9	n/a	1559733361	n/a
1559733362	1.291665077	1	40	1	4	1	2	30	2	1	9	9	n/a	1559733362	n/a
1559733363	1.299997091	1	41	1	4	1	2	31	1	1	9	9	n/a	1559733363	n/a
1559733364	1.291604996	1	42	1	4	1	2	32	2	2	9	9	n/a	1559733365	n/a
1559733366	1.291393042	1	43	1	4	9	3	1	3	3	9	9	n/a	n/a	n/a
1559733367	1.291609049	1	44	1	4	9	3	2	3	3	9	9	n/a	n/a	n/a
1559733368	1.291661978	1	45	1	4	9	3	3	3	3	9	9	n/a	n/a	n/a
1559733369	1.29166007	1	46	1	4	9	3	4	3	3	9	9	n/a	n/a	n/a
1559733371	1.291673183	1	47	1	4	9	3	5	3	3	9	9	n/a	n/a	n/a
1559733372	1.291633129	1	48	1	4	9	3	6	3	3	9	9	n/a	n/a	n/a
1559733373	1.291633844	1	49	1	4	9	3	7	3	3	9	9	n/a	n/a	n/a
1559733375	1.291610003	1	50	1	4	9	3	8	3	3	9	9	n/a	n/a	n/a
1559733376	1.291670799	1	51	1	4	9	3	9	3	3	9	9	n/a	n/a	n/a
1559733377	1.291658878	1	52	1	4	9	3	10	3	3	9	9	n/a	n/a	n/a
1559733379	1.300089121	1	53	1	4	3	4	1	1	2	9	9	n/a	1559733379	n/a
1559733380	1.299937963	1	54	1	4	3	4	2	2	2	9	9	n/a	1559733380	n/a
1559733381	1.300009012	1	55	1	4	3	4	3	2	1	9	9	n/a	1559733382	n/a
1559733383	1.299973011	1	56	1	4	3	4	4	1	2	9	9	n/a	1559733383	n/a
1559733384	1.30002284	1	57	1	4	3	4	5	2	1	9	9	n/a	1559733384	n/a
1559733385	1.300117016	1	58	1	4	3	4	6	1	2	9	9	n/a	1559733385	n/a
1559733386	1.291661024	1	59	1	4	3	4	7	2	1	9	9	n/a	1559733387	n/a
1559733388	1.29997611	1	60	1	4	3	4	8	1	2	9	9	n/a	1559733388	n/a
