onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
28782.60029	13.01300694	1	1	1	4	9	1	1	3	3	3	3	NaN	NaN	NaN	NaN
28795.79757	12.96778371	1	2	1	4	9	1	2	3	3	3	3	NaN	NaN	NaN	NaN
28808.95145	13.02728373	1	3	1	4	9	1	3	3	3	3	3	NaN	NaN	NaN	NaN
28822.1756	12.93640853	1	4	1	4	9	1	4	3	3	3	3	NaN	NaN	NaN	NaN
28835.30093	13.16506566	1	5	1	4	9	1	5	3	3	3	3	NaN	NaN	NaN	NaN
28848.65309	13.04519002	1	6	1	4	9	1	6	3	3	3	3	NaN	NaN	NaN	NaN
28861.9132	12.9326764	1	7	1	4	9	1	7	3	3	3	3	NaN	NaN	NaN	NaN
28875.02458	12.9280168	1	8	1	4	9	1	8	3	3	3	3	NaN	NaN	NaN	NaN
28888.1371	12.90117871	1	9	1	4	9	1	9	3	3	3	3	NaN	NaN	NaN	NaN
NaN	NaN	1	10	1	4	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
28914.33603	13.38635081	1	11	1	4	1	2	1	1	1	3	3	NaN	28917.61233	NaN	NaN
28927.91732	13.59000219	1	12	1	4	1	2	2	2	1	3	3	NaN	28931.16781	NaN	NaN
28941.7117	13.93341229	1	13	1	4	1	2	3	2	1	3	3	NaN	28945.11502	NaN	NaN
28955.8497	13.85986015	1	14	1	4	1	2	4	2	1	3	3	NaN	28959.24772	NaN	NaN
28969.91876	13.97653422	1	15	1	4	1	2	5	1	2	3	3	NaN	28973.24991	NaN	NaN
28984.10745	13.95143256	1	16	1	4	1	2	6	2	2	3	3	NaN	28987.49131	NaN	NaN
28998.26886	13.80720511	1	17	1	4	1	2	7	1	1	3	3	NaN	29001.66266	NaN	NaN
29012.28462	14.01885822	1	18	1	4	1	2	8	2	1	3	3	NaN	29015.7371	NaN	NaN
29026.50931	13.78988407	1	19	1	4	1	2	9	1	2	3	3	NaN	29029.92379	NaN	NaN
29040.50793	13.70973557	1	20	1	4	1	2	10	2	1	3	3	NaN	29043.92226	NaN	NaN
29054.42995	13.88893769	1	21	1	4	1	2	11	2	1	3	3	NaN	29057.79288	NaN	NaN
29068.52651	13.89255499	1	22	1	4	1	2	12	2	2	3	3	NaN	29071.98345	NaN	NaN
29082.63057	13.89207514	1	23	1	4	1	2	13	1	2	3	3	NaN	29086.04244	NaN	NaN
