onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
31145.09319	12.95075411	1	1	1	2	9	1	1	3	3	3	3	NaN	NaN	NaN	NaN
31158.23026	12.88120731	1	2	1	2	9	1	2	3	3	3	3	NaN	NaN	NaN	NaN
31171.29468	13.08880225	1	3	1	2	9	1	3	3	3	3	3	NaN	NaN	NaN	NaN
31184.56147	12.98609923	1	4	1	2	9	1	4	3	3	3	3	NaN	NaN	NaN	NaN
31197.73193	13.00791813	1	5	1	2	9	1	5	3	3	3	3	NaN	NaN	NaN	NaN
31210.91893	12.9619949	1	6	1	2	9	1	6	3	3	3	3	NaN	NaN	NaN	NaN
31224.06515	12.99118958	1	7	1	2	9	1	7	3	3	3	3	NaN	NaN	NaN	NaN
31237.22988	12.96448102	1	8	1	2	9	1	8	3	3	3	3	NaN	NaN	NaN	NaN
31250.36328	12.98266997	1	9	1	2	9	1	9	3	3	3	3	NaN	NaN	NaN	NaN
NaN	NaN	1	10	1	2	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
31276.73337	12.9545247	1	11	1	2	1	2	1	2	2	3	3	NaN	31279.85185	NaN	NaN
31289.87381	13.17803858	1	12	1	2	1	2	2	1	2	3	3	NaN	31293.05777	NaN	NaN
31303.24666	13.40857634	1	13	1	2	1	2	3	1	2	3	3	NaN	31306.43239	NaN	NaN
31316.85037	13.39226374	1	14	1	2	1	2	4	2	1	3	3	NaN	31320.08621	NaN	NaN
31330.44483	13.46308473	1	15	1	2	1	2	5	2	1	3	3	NaN	31333.7409	NaN	NaN
31344.10728	13.54927721	1	16	1	2	1	2	6	1	1	3	3	NaN	31347.39245	NaN	NaN
31357.85556	13.58581748	1	17	1	2	1	2	7	1	2	3	3	NaN	31361.17756	NaN	NaN
31371.6422	13.58267746	1	18	1	2	1	2	8	1	1	3	3	NaN	31374.94538	NaN	NaN
31385.43044	13.57926469	1	19	1	2	1	2	9	2	1	3	3	NaN	31388.74663	NaN	NaN
31399.21161	13.61725267	1	20	1	2	1	2	10	1	1	3	3	NaN	31402.51397	NaN	NaN
31413.03673	13.52397461	1	21	1	2	1	2	11	2	1	3	3	NaN	31416.34882	NaN	NaN
31426.76283	13.70049275	1	22	1	2	1	2	12	1	1	3	3	NaN	31430.11642	NaN	NaN
31440.66285	13.66739273	1	23	1	2	1	2	13	1	1	3	3	NaN	31444.06766	NaN	NaN
31454.53317	13.55147882	1	24	1	2	1	2	14	1	2	3	3	NaN	31457.83764	NaN	NaN
31468.2806	13.62826626	1	25	1	2	1	2	15	1	2	3	3	NaN	31471.63243	NaN	NaN
