onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
33257.89784	12.97516984	1	1	1	1	9	1	1	3	3	3	3	NaN	NaN	NaN	NaN
33271.0566	12.97728445	1	2	1	1	9	1	2	3	3	3	3	NaN	NaN	NaN	NaN
33284.20847	12.93171486	1	3	1	1	9	1	3	3	3	3	3	NaN	NaN	NaN	NaN
33297.32513	13.05092546	1	4	1	1	9	1	4	3	3	3	3	NaN	NaN	NaN	NaN
33310.56101	12.85748723	1	5	1	1	9	1	5	3	3	3	3	NaN	NaN	NaN	NaN
33323.58684	12.95357187	1	6	1	1	9	1	6	3	3	3	3	NaN	NaN	NaN	NaN
33336.73049	12.84741522	1	7	1	1	9	1	7	3	3	3	3	NaN	NaN	NaN	NaN
33349.76069	12.76591614	1	8	1	1	9	1	8	3	3	3	3	NaN	NaN	NaN	NaN
33362.71381	12.9301363	1	9	1	1	9	1	9	3	3	3	3	NaN	NaN	NaN	NaN
NaN	NaN	1	10	1	1	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
33389.073	13.28023439	1	11	1	1	1	2	1	2	1	3	3	NaN	33392.33172	NaN	NaN
33402.53555	13.11470067	1	12	1	1	1	2	2	2	2	3	3	NaN	33405.66636	NaN	NaN
33415.84141	13.43480196	1	13	1	1	1	2	3	1	1	3	3	NaN	33419.04536	NaN	NaN
33429.48643	13.96204511	1	14	1	1	1	2	4	2	1	3	3	NaN	33433.05402	NaN	NaN
33443.64945	13.40334034	1	15	1	1	1	2	5	2	2	3	3	NaN	33446.93657	NaN	NaN
33457.25593	13.46422739	1	16	1	1	1	2	6	2	2	3	3	NaN	33460.61569	NaN	NaN
33470.92092	13.6670873	1	17	1	1	1	2	7	1	2	3	3	NaN	33474.27322	NaN	NaN
33484.78921	13.56783906	1	18	1	1	1	2	8	2	2	3	3	NaN	33488.12423	NaN	NaN
33498.55618	13.53031602	1	19	1	1	1	2	9	1	1	3	3	NaN	33501.88941	NaN	NaN
33512.29061	13.56144666	1	20	1	1	1	2	10	1	1	3	3	NaN	33515.60638	NaN	NaN
33526.04082	13.61394793	1	21	1	1	1	2	11	1	1	3	3	NaN	33529.34521	NaN	NaN
33539.86247	13.59958356	1	22	1	1	1	2	12	2	1	3	3	NaN	33543.21228	NaN	NaN
33553.66569	13.48964126	1	23	1	1	1	2	13	2	2	3	3	NaN	33557.0083	NaN	NaN
33567.35925	13.61941261	1	24	1	1	1	2	14	1	1	3	3	NaN	33570.68144	NaN	NaN
33581.18475	13.67206075	1	25	1	1	1	2	15	2	1	3	3	NaN	33584.51634	NaN	NaN
33595.03785	13.56634974	1	26	1	1	1	2	16	1	1	3	3	NaN	33598.33342	NaN	NaN
33608.79549	13.32801944	1	27	1	1	1	2	17	1	2	3	3	NaN	33612.08198	NaN	NaN
33622.31208	13.13975671	1	28	1	1	1	2	18	1	1	3	3	NaN	33625.52436	NaN	NaN
NaN	NaN	1	29	1	1	9	2	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
33648.9095	13.07815796	1	30	1	1	9	3	1	3	3	3	3	NaN	NaN	NaN	NaN
33662.16777	13.14085841	1	31	1	1	9	3	2	3	3	3	3	NaN	NaN	NaN	NaN
33675.48818	13.01273755	1	32	1	1	9	3	3	3	3	3	3	NaN	NaN	NaN	NaN
33688.68906	13.06835649	1	33	1	1	9	3	4	3	3	3	3	NaN	NaN	NaN	NaN
33701.93622	13.01296044	1	34	1	1	9	3	5	3	3	3	3	NaN	NaN	NaN	NaN
33715.13515	12.93629721	1	35	1	1	9	3	6	3	3	3	3	NaN	NaN	NaN	NaN
33728.25464	13.00267089	1	36	1	1	9	3	7	3	3	3	3	NaN	NaN	NaN	NaN
33741.45217	13.06576462	1	37	1	1	9	3	8	3	3	3	3	NaN	NaN	NaN	NaN
