onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time	reaction_time
35136.33716	12.91581179	1	1	1	3	9	1	1	3	3	3	3	NaN	NaN	NaN	NaN
35149.4368	13.01520112	1	2	1	3	9	1	2	3	3	3	3	NaN	NaN	NaN	NaN
35162.65169	13.01390647	1	3	1	3	9	1	3	3	3	3	3	NaN	NaN	NaN	NaN
35175.84018	12.96471267	1	4	1	3	9	1	4	3	3	3	3	NaN	NaN	NaN	NaN
35188.98998	13.14557049	1	5	1	3	9	1	5	3	3	3	3	NaN	NaN	NaN	NaN
35202.33223	13.62205905	1	6	1	3	9	1	6	3	3	3	3	NaN	NaN	NaN	NaN
35216.26233	13.93030137	1	7	1	3	9	1	7	3	3	3	3	NaN	NaN	NaN	NaN
35230.39081	14.14318754	1	8	1	3	9	1	8	3	3	3	3	NaN	NaN	NaN	NaN
35244.7198	13.15704827	1	9	1	3	9	1	9	3	3	3	3	NaN	NaN	NaN	NaN
NaN	NaN	1	10	1	3	9	1	10	3	3	NaN	NaN	NaN	NaN	NaN	NaN
35271.29008	13.17082634	1	11	1	3	1	2	1	1	1	3	3	NaN	35274.48487	NaN	NaN
35284.64596	13.31421934	1	12	1	3	1	2	2	2	2	3	3	NaN	35287.82776	NaN	NaN
35298.15875	13.34126931	1	13	1	3	1	2	3	1	1	3	3	NaN	35301.41414	NaN	NaN
35311.70022	13.48012968	1	14	1	3	1	2	4	2	1	3	3	NaN	35315.01365	NaN	NaN
35325.38375	13.55187632	1	15	1	3	1	2	5	1	1	3	3	NaN	35328.68599	NaN	NaN
35339.13254	13.65195783	1	16	1	3	1	2	6	2	2	3	3	NaN	35342.49998	NaN	NaN
35352.98565	13.63144408	1	17	1	3	1	2	7	2	1	3	3	NaN	35356.30184	NaN	NaN
35366.82079	13.94696264	1	18	1	3	1	2	8	1	2	3	3	NaN	35370.16352	NaN	NaN
35380.97082	13.69726522	1	19	1	3	1	2	9	2	2	3	3	NaN	35384.33501	NaN	NaN
35394.87511	13.59661742	1	20	1	3	1	2	10	2	1	3	3	NaN	35398.13922	NaN	NaN
35408.67532	13.64569917	1	21	1	3	1	2	11	2	2	3	3	NaN	35412.00581	NaN	NaN
35422.52842	13.74481844	1	22	1	3	1	2	12	1	2	3	3	NaN	35425.84581	NaN	NaN
35436.47599	13.63220991	1	23	1	3	1	2	13	2	1	3	3	NaN	35439.82709	NaN	NaN
35450.3109	13.68078763	1	24	1	3	1	2	14	1	2	3	3	NaN	35453.63893	NaN	NaN
35464.19632	13.63014978	1	25	1	3	1	2	15	2	2	3	3	NaN	35467.50821	NaN	NaN
35478.024	13.45181557	1	26	1	3	1	2	16	1	2	3	3	NaN	35481.32213	NaN	NaN
35491.67671	13.19542073	1	27	1	3	1	2	17	1	1	3	3	NaN	35494.94384	NaN	NaN
35505.06294	13.05876448	1	28	1	3	1	2	18	2	1	3	3	NaN	35508.21369	NaN	NaN
NaN	NaN	1	29	1	3	9	2	19	3	3	NaN	NaN	NaN	NaN	NaN	NaN
35531.38206	12.84834835	1	30	1	3	9	3	1	3	3	3	3	NaN	NaN	NaN	NaN
35544.41369	12.98573965	1	31	1	3	9	3	2	3	3	3	3	NaN	NaN	NaN	NaN
35557.58113	12.93362301	1	32	1	3	9	3	3	3	3	3	3	NaN	NaN	NaN	NaN
35570.6987	12.96685657	1	33	1	3	9	3	4	3	3	3	3	NaN	NaN	NaN	NaN
35583.85121	12.94957441	1	34	1	3	9	3	5	3	3	3	3	NaN	NaN	NaN	NaN
35596.98921	13.02931051	1	35	1	3	9	3	6	3	3	3	3	NaN	NaN	NaN	NaN
35610.20521	13.01338194	1	36	1	3	9	3	7	3	3	3	3	NaN	NaN	NaN	NaN
