onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
39525.52736	15.49675972	1	1	1	4	9	1	1	3	3	15	15	n/a	n/a	n/a
39541.22178	14.2343455	1	2	1	4	9	1	2	3	3	15	15	n/a	n/a	n/a
39555.65793	13.92953155	1	3	1	4	9	1	3	3	3	15	15	n/a	n/a	n/a
39569.79426	13.75745707	1	4	1	4	9	1	4	3	3	15	15	n/a	n/a	n/a
39583.74702	13.60601931	1	5	1	4	9	1	5	3	3	15	15	n/a	n/a	n/a
39597.54133	13.73219068	1	6	1	4	9	1	6	3	3	15	15	n/a	n/a	n/a
39611.47455	13.66656631	1	7	1	4	9	1	7	3	3	15	15	n/a	n/a	n/a
39625.34618	13.67491203	1	8	1	4	9	1	8	3	3	15	15	n/a	n/a	n/a
39639.2163	13.64289259	1	9	1	4	9	1	9	3	3	15	15	n/a	n/a	n/a
39653.06681	13.77573206	1	10	1	4	9	1	10	3	3	15	15	n/a	n/a	n/a
39667.09393	14.54455461	1	11	1	4	1	2	1	2	2	15	15	n/a	39670.59135	n/a
39681.83185	15.24192958	1	12	1	4	1	2	2	2	1	15	15	n/a	39685.41299	n/a
39697.28469	15.51825316	1	13	1	4	1	2	3	2	1	15	15	n/a	39701.01915	n/a
39713.02569	15.78062954	1	14	1	4	1	2	4	2	2	15	15	n/a	39716.81033	n/a
39729.02086	15.50754812	1	15	1	4	1	2	5	1	2	15	15	n/a	39732.75017	n/a
39744.74971	15.38789858	1	16	1	4	1	2	6	2	2	15	15	n/a	39748.47138	n/a
39760.35937	15.39845093	1	17	1	4	1	2	7	2	2	15	15	n/a	39764.1231	n/a
39775.97675	15.72117715	1	18	1	4	1	2	8	2	2	15	15	n/a	39779.7017	n/a
39791.92577	15.76524562	1	19	1	4	1	2	9	2	2	15	15	n/a	39795.75737	n/a
39807.91192	15.64898819	1	20	1	4	1	2	10	2	2	15	15	n/a	39811.68303	n/a
39823.78043	15.34473172	1	21	1	4	1	2	11	2	1	15	15	n/a	39827.51663	n/a
39839.34851	15.43048421	1	22	1	4	1	2	12	1	1	15	15	n/a	39843.15225	n/a
39855.00538	15.62342947	1	23	1	4	1	2	13	2	2	15	15	n/a	39858.81463	n/a
39870.85375	15.72738399	1	24	1	4	1	2	14	1	1	15	15	n/a	39874.62635	n/a
39886.79932	15.57588616	1	25	1	4	1	2	15	1	1	15	15	n/a	39890.51246	n/a
39902.59674	15.82309074	1	26	1	4	1	2	16	1	1	15	15	n/a	39906.38964	n/a
39918.63721	15.52358965	1	27	1	4	1	2	17	1	1	15	15	n/a	39922.40821	n/a
39934.37084	15.85976272	1	28	1	4	1	2	18	1	2	15	15	n/a	39938.25898	n/a
39950.46061	15.93936328	1	29	1	4	1	2	19	2	1	15	15	n/a	39954.34752	n/a
39966.63248	16.09064703	1	30	1	4	1	2	20	1	2	15	15	n/a	39970.45608	n/a
39982.95372	16.00830618	1	31	1	4	1	2	21	2	1	15	15	n/a	39986.91605	n/a
39999.18695	15.95256217	1	32	1	4	1	2	22	2	2	15	15	n/a	40003.03426	n/a
40015.35861	15.50295661	1	33	1	4	1	2	23	1	1	15	15	n/a	40019.11361	n/a
40031.08178	15.58525968	1	34	1	4	1	2	24	2	2	15	15	n/a	40034.83359	n/a
