onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
34928.4675	13.69543939	2	1	1	2	9	1	1	3	3	15	15	n/a	n/a	n/a
34942.35406	15.40312843	2	2	1	2	9	1	2	3	3	15	15	n/a	n/a	n/a
34957.9411	14.11934222	2	3	1	2	9	1	3	3	3	15	15	n/a	n/a	n/a
34972.25954	14.24477109	2	4	1	2	9	1	4	3	3	15	15	n/a	n/a	n/a
34986.76405	13.84409414	2	5	1	2	9	1	5	3	3	15	15	n/a	n/a	n/a
35000.80708	13.96161157	2	6	1	2	9	1	6	3	3	15	15	n/a	n/a	n/a
35014.95704	13.25244207	2	7	1	2	9	1	7	3	3	15	15	n/a	n/a	n/a
35028.39662	13.26802536	2	8	1	2	9	1	8	3	3	15	15	n/a	n/a	n/a
35041.85488	13.07270896	2	9	1	2	9	1	9	3	3	15	15	n/a	n/a	n/a
35055.1151	13.03308333	2	10	1	2	9	1	10	3	3	15	15	n/a	n/a	n/a
35068.37147	13.28329808	2	11	1	2	1	2	1	1	2	15	15	n/a	35071.56317	n/a
35081.83578	13.79786289	2	12	1	2	1	2	2	1	2	15	15	n/a	35085.056	n/a
35095.82839	14.0913314	2	13	1	2	1	2	3	2	2	15	15	n/a	35099.18175	n/a
35110.11408	14.38896685	2	14	1	2	1	2	4	2	2	15	15	n/a	35113.49447	n/a
35124.70757	14.55133754	2	15	1	2	1	2	5	1	2	15	15	n/a	35128.22957	n/a
35139.46501	14.53656254	2	16	1	2	1	2	6	1	2	15	15	n/a	35142.94169	n/a
35154.21373	14.7204149	2	17	1	2	1	2	7	2	1	15	15	n/a	35157.78105	n/a
35169.15446	14.40869281	2	18	1	2	1	2	8	2	1	15	15	n/a	35172.64668	n/a
35183.76754	14.36597841	2	19	1	2	1	2	9	2	1	15	15	n/a	35187.28042	n/a
35198.33073	14.36475935	2	20	1	2	1	2	10	1	2	15	15	n/a	35201.79324	n/a
35212.89775	14.4656989	2	21	1	2	1	2	11	2	1	15	15	n/a	35216.39688	n/a
35227.56063	14.12701144	2	22	1	2	1	2	12	1	1	15	15	n/a	35231.00904	n/a
35241.90251	15.0419231	2	23	1	2	1	2	13	1	1	15	15	n/a	35245.33471	n/a
35257.14606	14.16435508	2	24	1	2	1	2	14	1	1	15	15	n/a	35260.59264	n/a
35271.51369	14.19877492	2	25	1	2	1	2	15	2	2	15	15	n/a	35274.94551	n/a
35285.91325	13.86201697	2	26	1	2	1	2	16	2	2	15	15	n/a	35289.27573	n/a
35299.9746	13.65490982	2	27	1	2	1	2	17	2	2	15	15	n/a	35303.29203	n/a
35313.8279	13.29522415	2	28	1	2	1	2	18	2	1	15	15	n/a	35317.05482	n/a
35327.31673	13.03135959	2	29	1	2	9	3	1	3	3	15	15	n/a	n/a	n/a
35340.53426	13.14892782	2	30	1	2	9	3	2	3	3	15	15	n/a	n/a	n/a
35353.86374	13.02180055	2	31	1	2	9	3	3	3	3	15	15	n/a	n/a	n/a
35367.06588	13.01822184	2	32	1	2	9	3	4	3	3	15	15	n/a	n/a	n/a
35380.26681	13.03596007	2	33	1	2	9	3	5	3	3	15	15	n/a	n/a	n/a
35393.48765	13.01965829	2	34	1	2	9	3	6	3	3	15	15	n/a	n/a	n/a
35406.68698	13.02017158	2	35	1	2	9	3	7	3	3	15	15	n/a	n/a	n/a
35419.89037	13.01625124	2	36	1	2	9	3	8	3	3	15	15	n/a	n/a	n/a
35433.08825	13.02529873	2	37	1	2	9	3	9	3	3	15	15	n/a	n/a	n/a
35446.28858	13.21101676	2	38	1	2	9	3	10	3	3	15	15	n/a	n/a	n/a
35459.70283	13.6701214	2	39	1	2	5	4	1	1	2	15	15	n/a	35463.05172	n/a
35473.56825	13.83350179	2	40	1	2	5	4	2	2	1	15	15	n/a	35476.94724	n/a
