onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
29262.21853	13.2281387	1	1	1	1	9	1	1	3	3	15	15	n/a	n/a	n/a
29275.6324	13.58090576	1	2	1	1	9	1	2	3	3	15	15	n/a	n/a	n/a
29289.39875	13.03347111	1	3	1	1	9	1	3	3	3	15	15	n/a	n/a	n/a
29302.61676	13.0662666	1	4	1	1	9	1	4	3	3	15	15	n/a	n/a	n/a
29315.86728	13.03465777	1	5	1	1	9	1	5	3	3	15	15	n/a	n/a	n/a
29329.08497	13.03120663	1	6	1	1	9	1	6	3	3	15	15	n/a	n/a	n/a
29342.29948	13.03633085	1	7	1	1	9	1	7	3	3	15	15	n/a	n/a	n/a
29355.51768	13.0350276	1	8	1	1	9	1	8	3	3	15	15	n/a	n/a	n/a
29368.73603	13.01959937	1	9	1	1	9	1	9	3	3	15	15	n/a	n/a	n/a
29381.93732	13.01945702	1	10	1	1	9	1	10	3	3	15	15	n/a	n/a	n/a
29395.21439	13.16649568	1	11	1	1	1	2	1	1	1	15	15	n/a	29398.37989	n/a
29408.56391	13.50393275	1	12	1	1	1	2	2	2	1	15	15	n/a	29411.85048	n/a
29422.25193	14.02054691	1	13	1	1	1	2	3	1	2	15	15	n/a	29425.5889	n/a
29436.47181	14.23859976	1	14	1	1	1	2	4	2	2	15	15	n/a	29439.87625	n/a
29450.90993	14.26886929	1	15	1	1	1	2	5	1	1	15	15	n/a	29454.36382	n/a
29465.37912	14.31854733	1	16	1	1	1	2	6	1	2	15	15	n/a	29468.83695	n/a
29479.89814	14.33281537	1	17	1	1	1	2	7	2	1	15	15	n/a	29483.34907	n/a
29494.42927	14.31882112	1	18	1	1	1	2	8	2	1	15	15	n/a	29497.88371	n/a
29508.95238	14.5352062	1	19	1	1	1	2	9	1	2	15	15	n/a	29512.41353	n/a
29523.68785	14.44767916	1	20	1	1	1	2	10	2	2	15	15	n/a	29527.14111	n/a
29538.34149	14.53047868	1	21	1	1	1	2	11	2	2	15	15	n/a	29541.83048	n/a
29553.06881	14.36880947	1	22	1	1	1	2	12	2	2	15	15	n/a	29556.54539	n/a
29567.63795	14.43982519	1	23	1	1	1	2	13	1	1	15	15	n/a	29571.14972	n/a
29582.28585	14.27243935	1	24	1	1	1	2	14	1	2	15	15	n/a	29585.74133	n/a
29596.7542	13.80009967	1	25	1	1	1	2	15	1	1	15	15	n/a	29600.14965	n/a
29610.75186	13.97798116	1	26	1	1	1	2	16	2	1	15	15	n/a	29614.19728	n/a
29624.92558	13.78027009	1	27	1	1	1	2	17	2	2	15	15	n/a	29628.25682	n/a
29638.90068	13.32874328	1	28	1	1	1	2	18	1	2	15	15	n/a	29642.17847	n/a
29652.42848	13.0499424	1	29	1	1	9	3	1	3	3	15	15	n/a	n/a	n/a
29665.66082	13.13193908	1	30	1	1	9	3	2	3	3	15	15	n/a	n/a	n/a
29678.97705	13.1035127	1	31	1	1	9	3	3	3	3	15	15	n/a	n/a	n/a
29692.26045	13.05282753	1	32	1	1	9	3	4	3	3	15	15	n/a	n/a	n/a
29705.49427	13.11975098	1	33	1	1	9	3	5	3	3	15	15	n/a	n/a	n/a
29718.79604	13.05025934	1	34	1	1	9	3	6	3	3	15	15	n/a	n/a	n/a
29732.04221	13.02075101	1	35	1	1	9	3	7	3	3	15	15	n/a	n/a	n/a
29745.24733	13.17027006	1	36	1	1	9	3	8	3	3	15	15	n/a	n/a	n/a
29758.59652	13.25301252	1	37	1	1	9	3	9	3	3	15	15	n/a	n/a	n/a
29772.03562	13.23592603	1	38	1	1	9	3	10	3	3	15	15	n/a	n/a	n/a
29785.47218	13.33352185	1	39	1	1	5	4	1	2	2	15	15	n/a	29788.69888	n/a
29798.98744	13.3763225	1	40	1	1	5	4	2	2	2	15	15	n/a	29802.22854	n/a
29812.55999	14.00808192	1	41	1	1	5	4	3	1	1	15	15	n/a	29815.923	n/a
29826.76337	14.16264846	1	42	1	1	5	4	4	2	1	15	15	n/a	29830.18184	n/a
29841.12126	14.16138415	1	43	1	1	5	4	5	2	1	15	15	n/a	29844.61277	n/a
29855.48702	14.20339578	1	44	1	1	5	4	6	1	2	15	15	n/a	29858.94243	n/a
29869.8971	14.26478611	1	45	1	1	5	4	7	2	1	15	15	n/a	29873.33752	n/a
29884.36228	14.26487212	1	46	1	1	5	4	8	2	1	15	15	n/a	29887.80972	n/a
29898.82622	14.56614284	1	47	1	1	5	4	9	1	1	15	15	n/a	29902.35056	n/a
29913.61082	15.47457134	1	48	1	1	5	4	10	1	2	15	15	n/a	29917.2342	n/a
29929.27626	14.65844534	1	49	1	1	5	4	11	1	2	15	15	n/a	29932.80166	n/a
29944.13678	14.16167062	1	50	1	1	5	4	12	2	1	15	15	n/a	29947.61695	n/a
29958.49878	14.72256647	1	51	1	1	5	4	13	1	2	15	15	n/a	29961.98366	n/a
29973.42747	14.82937235	1	52	1	1	5	4	14	1	1	15	15	n/a	29977.0189	n/a
29988.46201	14.63827496	1	53	1	1	5	4	15	2	2	15	15	n/a	29991.95529	n/a
30003.31407	14.73745411	1	54	1	1	5	4	16	1	2	15	15	n/a	30006.80565	n/a
30018.2519	14.13105501	1	55	1	1	5	4	17	1	1	15	15	n/a	30021.69484	n/a
30032.58527	13.90925249	1	56	1	1	5	4	18	1	2	15	15	n/a	30035.96571	n/a
30046.68641	13.17308989	1	57	1	1	9	5	1	3	3	15	15	n/a	n/a	n/a
30060.04089	13.16712626	1	58	1	1	9	5	2	3	3	15	15	n/a	n/a	n/a
30073.3994	13.32281688	1	59	1	1	9	5	3	3	3	15	15	n/a	n/a	n/a
30086.90535	13.27413078	1	60	1	1	9	5	4	3	3	15	15	n/a	n/a	n/a
30100.36669	13.26012641	1	61	1	1	9	5	5	3	3	15	15	n/a	n/a	n/a
30113.80664	13.21839194	1	62	1	1	9	5	6	3	3	15	15	n/a	n/a	n/a
30127.21077	13.28385389	1	63	1	1	9	5	7	3	3	15	15	n/a	n/a	n/a
30140.68342	13.29663148	1	64	1	1	9	5	8	3	3	15	15	n/a	n/a	n/a
30154.16395	13.18471078	1	65	1	1	9	5	9	3	3	15	15	n/a	n/a	n/a
30167.52942	13.1660817	1	66	1	1	9	5	10	3	3	15	15	n/a	n/a	n/a
30180.90406	13.86710103	1	67	1	1	1	6	1	2	2	15	15	n/a	30184.22862	n/a
30194.95359	14.17947821	1	68	1	1	1	6	2	1	2	15	15	n/a	30198.31713	n/a
30209.36385	13.67678741	1	69	1	1	1	6	3	2	2	15	15	n/a	30212.70567	n/a
30223.22578	14.18456181	1	70	1	1	1	6	4	1	1	15	15	n/a	30226.55891	n/a
30237.61996	14.63357363	1	71	1	1	1	6	5	2	1	15	15	n/a	30241.24083	n/a
30252.45274	14.85808218	1	72	1	1	1	6	6	2	2	15	15	n/a	30256.07343	n/a
30267.51285	14.91867428	1	73	1	1	1	6	7	1	2	15	15	n/a	30271.09424	n/a
30282.64945	14.74503397	1	74	1	1	1	6	8	2	1	15	15	n/a	30286.29402	n/a
30297.59536	14.76887518	1	75	1	1	1	6	9	2	1	15	15	n/a	30301.1836	n/a
30312.57851	14.82399238	1	76	1	1	1	6	10	2	1	15	15	n/a	30316.25913	n/a
30327.61318	15.02648555	1	77	1	1	1	6	11	1	1	15	15	n/a	30331.19387	n/a
30342.84445	14.88514239	1	78	1	1	1	6	12	2	1	15	15	n/a	30346.42593	n/a
30357.93401	14.91549482	1	79	1	1	1	6	13	2	1	15	15	n/a	30361.64339	n/a
30373.05163	14.65875999	1	80	1	1	1	6	14	1	1	15	15	n/a	30376.60114	n/a
30387.91412	14.88860372	1	81	1	1	1	6	15	1	2	15	15	n/a	30391.46169	n/a
30403.00006	14.83054133	1	82	1	1	1	6	16	1	2	15	15	n/a	30406.62735	n/a
30418.02156	13.98919223	1	83	1	1	1	6	17	1	1	15	15	n/a	30421.31891	n/a
30432.20983	14.05224342	1	84	1	1	1	6	18	2	2	15	15	n/a	30435.58123	n/a
30446.46631	13.44373769	1	85	1	1	9	7	1	3	3	15	15	n/a	n/a	n/a
30460.09744	13.29403071	1	86	1	1	9	7	2	3	3	15	15	n/a	n/a	n/a
30473.56457	13.42402882	1	87	1	1	9	7	3	3	3	15	15	n/a	n/a	n/a
30487.17159	13.47335498	1	88	1	1	9	7	4	3	3	15	15	n/a	n/a	n/a
30500.83262	13.30719502	1	89	1	1	9	7	5	3	3	15	15	n/a	n/a	n/a
30514.31705	13.30170965	1	90	1	1	9	7	6	3	3	15	15	n/a	n/a	n/a
30527.79931	13.39998938	1	91	1	1	9	7	7	3	3	15	15	n/a	n/a	n/a
30541.38331	13.45606623	1	92	1	1	9	7	8	3	3	15	15	n/a	n/a	n/a
30555.01808	13.27774317	1	93	1	1	9	7	9	3	3	15	15	n/a	n/a	n/a
30568.47584	13.32199878	1	94	1	1	9	7	10	3	3	15	15	n/a	n/a	n/a
30581.9966	14.09630653	1	95	1	1	5	8	1	1	2	15	15	n/a	30585.4409	n/a
30596.27995	14.39263021	1	96	1	1	5	8	2	2	2	15	15	n/a	30599.81727	n/a
30611.07339	14.42599634	1	97	1	1	5	8	3	2	1	15	15	n/a	30614.44654	n/a
30625.69386	15.39106985	1	98	1	1	5	8	4	1	1	15	15	n/a	30629.31987	n/a
30641.28453	15.77069178	1	99	1	1	5	8	5	2	2	15	15	n/a	30645.11583	n/a
30657.26995	15.29813153	1	100	1	1	5	8	6	2	1	15	15	n/a	30661.15928	n/a
30672.77872	15.66688389	1	101	1	1	5	8	7	1	1	15	15	n/a	30676.36471	n/a
