onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
37381.64781	13.63481332	1	1	1	3	9	1	1	3	3	15	15	n/a	n/a	n/a
37395.46443	13.53250616	1	2	1	3	9	1	2	3	3	15	15	n/a	n/a	n/a
37409.18049	13.47557419	1	3	1	3	9	1	3	3	3	15	15	n/a	n/a	n/a
37422.85924	14.24836092	1	4	1	3	9	1	4	3	3	15	15	n/a	n/a	n/a
37437.30787	13.84044837	1	5	1	3	9	1	5	3	3	15	15	n/a	n/a	n/a
37451.34029	13.73520941	1	6	1	3	9	1	6	3	3	15	15	n/a	n/a	n/a
37465.2714	13.43114489	1	7	1	3	9	1	7	3	3	15	15	n/a	n/a	n/a
37478.90346	13.70728535	1	8	1	3	9	1	8	3	3	15	15	n/a	n/a	n/a
37492.80469	13.66669467	1	9	1	3	9	1	9	3	3	15	15	n/a	n/a	n/a
37506.65664	13.47047144	1	10	1	3	9	1	10	3	3	15	15	n/a	n/a	n/a
37520.3694	14.06307559	1	11	1	3	1	2	1	1	2	15	15	n/a	37523.71587	n/a
37534.62857	14.32564544	1	12	1	3	1	2	2	2	1	15	15	n/a	37537.96861	n/a
37549.15491	15.57921963	1	13	1	3	1	2	3	1	2	15	15	n/a	37552.85724	n/a
37564.94154	15.5553162	1	14	1	3	1	2	4	1	2	15	15	n/a	37568.7483	n/a
37580.80475	14.89331177	1	15	1	3	1	2	5	1	1	15	15	n/a	37584.41878	n/a
37595.90389	15.52342425	1	16	1	3	1	2	6	2	2	15	15	n/a	37599.78808	n/a
37611.62409	15.31151989	1	17	1	3	1	2	7	2	1	15	15	n/a	37615.08403	n/a
37627.1337	15.7290835	1	18	1	3	1	2	8	1	2	15	15	n/a	37631.0222	n/a
37643.06635	15.73899763	1	19	1	3	1	2	9	1	1	15	15	n/a	37646.84116	n/a
