onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
109311.5629	1.284012212	1	1	2	1	9	1	1	3	3	9	9	n/a	n/a	n/a
109312.8633	1.282723963	1	2	2	1	9	1	2	3	3	9	9	n/a	n/a	n/a
109314.1625	1.282892296	1	3	2	1	9	1	3	3	3	9	9	n/a	n/a	n/a
109315.4619	1.284066447	1	4	2	1	9	1	4	3	3	9	9	n/a	n/a	n/a
109316.7626	1.283541402	1	5	2	1	9	1	5	3	3	9	9	n/a	n/a	n/a
109318.0626	1.283855718	1	6	2	1	9	1	6	3	3	9	9	n/a	n/a	n/a
109319.3627	1.283505913	1	7	2	1	9	1	7	3	3	9	9	n/a	n/a	n/a
109320.6629	1.286842798	1	8	2	1	9	1	8	3	3	9	9	n/a	n/a	n/a
109321.9628	1.283418799	1	9	2	1	9	1	9	3	3	9	9	n/a	n/a	n/a
109323.263	1.283726793	1	10	2	1	9	1	10	3	3	9	9	n/a	n/a	n/a
109324.5985	1.281697449	1	11	2	1	1	2	1	1	1	9	9	n/a	109324.9312	n/a
109325.8967	1.283409438	1	12	2	1	1	2	2	1	2	9	9	n/a	109326.2298	n/a
109327.1966	1.283427872	1	13	2	1	1	2	3	2	2	9	9	n/a	109327.5303	n/a
109328.4967	1.283608324	1	14	2	1	1	2	4	2	1	9	9	n/a	109328.8303	n/a
109329.7971	1.283504804	1	15	2	1	1	2	5	1	1	9	9	n/a	109330.1303	n/a
109331.097	1.283137398	1	16	2	1	1	2	6	1	2	9	9	n/a	109331.4302	n/a
109332.3972	1.283458993	1	17	2	1	1	2	7	2	1	9	9	n/a	109332.7306	n/a
109333.6971	1.283383924	1	18	2	1	1	2	8	2	2	9	9	1	109334.0303	0.652932227
109334.9972	1.283512085	1	19	2	1	1	2	9	1	2	9	10	0	109335.3307	0.769098726
109336.2972	1.283687406	1	20	2	1	1	2	10	1	2	9	10	n/a	109336.6305	n/a
109337.5976	1.283188755	1	21	2	1	1	2	11	1	1	9	10	n/a	109337.9307	n/a
109338.8974	1.28348423	1	22	2	1	1	2	12	2	2	9	10	n/a	109339.231	n/a
109340.1977	1.283394278	1	23	2	1	1	2	13	1	1	9	10	n/a	109340.5309	n/a
109341.4976	1.28347401	1	24	2	1	1	2	14	1	1	9	10	n/a	109341.8309	n/a
109342.7978	1.283376754	1	25	2	1	1	2	15	2	1	9	10	n/a	109343.1311	n/a
109344.0979	1.283457955	1	26	2	1	1	2	16	1	2	9	10	n/a	109344.4313	n/a
109345.398	1.283248328	1	27	2	1	1	2	17	1	1	9	10	n/a	109345.7314	n/a
109346.6982	1.283330604	1	28	2	1	1	2	18	2	1	9	10	n/a	109347.0317	n/a
109348.0079	1.27393803	1	29	2	1	9	3	1	3	3	9	10	n/a	n/a	n/a
109349.2984	1.283264812	1	30	2	1	9	3	2	3	3	9	10	n/a	n/a	n/a
109350.5985	1.289896628	1	31	2	1	9	3	3	3	3	9	10	n/a	n/a	n/a
109351.8984	1.283439044	1	32	2	1	9	3	4	3	3	9	10	n/a	n/a	n/a
109353.1986	1.283546323	1	33	2	1	9	3	5	3	3	9	10	n/a	n/a	n/a
109354.4988	1.285347314	1	34	2	1	9	3	6	3	3	9	10	n/a	n/a	n/a
109355.7987	1.283779034	1	35	2	1	9	3	7	3	3	9	10	n/a	n/a	n/a
109357.0988	1.283474649	1	36	2	1	9	3	8	3	3	9	10	n/a	n/a	n/a
109358.3994	1.282912993	1	37	2	1	9	3	9	3	3	9	10	n/a	n/a	n/a
109359.6993	1.282988838	1	38	2	1	9	3	10	3	3	9	10	n/a	n/a	n/a
109361.0062	1.276177115	1	39	2	1	5	4	1	2	2	9	10	n/a	109361.3323	n/a
109362.299	1.283240586	1	40	2	1	5	4	2	2	1	9	10	n/a	109362.6322	n/a
109363.5994	1.283150722	1	41	2	1	5	4	3	1	1	9	10	n/a	109363.9325	n/a
109364.8995	1.283165095	1	42	2	1	5	4	4	2	1	9	10	n/a	109365.2326	n/a
109366.1996	1.283431263	1	43	2	1	5	4	5	1	2	9	10	n/a	109366.5326	n/a
109367.4992	1.283615956	1	44	2	1	5	4	6	2	1	9	10	n/a	109367.8331	n/a
109368.7995	1.285362307	1	45	2	1	5	4	7	2	2	9	10	n/a	109369.1329	n/a
109370.0995	1.284031572	1	46	2	1	5	4	8	1	2	9	10	n/a	109370.4331	n/a
109371.3996	1.283858497	1	47	2	1	5	4	9	1	1	9	10	n/a	109371.7331	n/a
109372.6997	1.283839758	1	48	2	1	5	4	10	1	2	9	10	n/a	109373.0333	n/a
109373.9999	1.28334812	1	49	2	1	5	4	11	2	1	9	10	n/a	109374.3335	n/a
109375.3002	1.283598799	1	50	2	1	5	4	12	1	2	9	10	n/a	109375.6336	n/a
109376.6001	1.300166581	1	51	2	1	5	4	13	1	1	9	10	n/a	109376.9335	n/a
109377.9166	1.283109425	1	52	2	1	5	4	14	1	1	9	10	n/a	109378.2503	n/a
109379.2168	1.283392578	1	53	2	1	5	4	15	1	2	9	10	n/a	109379.5502	n/a
109380.517	1.291095903	1	54	2	1	5	4	16	1	1	9	10	n/a	109380.8505	n/a
109381.8172	1.282906954	1	55	2	1	5	4	17	1	2	9	10	n/a	109382.1507	n/a
109383.1171	1.285432217	1	56	2	1	5	4	18	2	2	9	10	n/a	109383.4506	n/a
109384.4338	1.283941958	1	57	2	1	9	5	1	3	3	9	10	n/a	n/a	n/a
109385.7341	1.283568004	1	58	2	1	9	5	2	3	3	9	10	n/a	n/a	n/a
109387.0341	1.283454867	1	59	2	1	9	5	3	3	3	9	10	n/a	n/a	n/a
109388.3344	1.283194327	1	60	2	1	9	5	4	3	3	9	10	n/a	n/a	n/a
109389.6344	1.283250647	1	61	2	1	9	5	5	3	3	9	10	n/a	n/a	n/a
109390.9345	1.283747047	1	62	2	1	9	5	6	3	3	9	10	n/a	n/a	n/a
109392.2345	1.285407052	1	63	2	1	9	5	7	3	3	9	10	n/a	n/a	n/a
109393.5347	1.283241943	1	64	2	1	9	5	8	3	3	9	10	n/a	n/a	n/a
109394.8348	1.283387977	1	65	2	1	9	5	9	3	3	9	10	n/a	n/a	n/a
109396.1346	1.283555024	1	66	2	1	9	5	10	3	3	9	10	n/a	n/a	n/a
109397.439	1.279432496	1	67	2	1	1	6	1	2	2	9	10	n/a	109397.7684	n/a
109398.7348	1.283965367	1	68	2	1	1	6	2	1	1	9	10	n/a	109399.0688	n/a
109400.0348	1.285735909	1	69	2	1	1	6	3	2	1	9	10	n/a	109400.3683	n/a
109401.3346	1.283903021	1	70	2	1	1	6	4	1	2	9	10	n/a	109401.6687	n/a
109402.6354	1.28338442	1	71	2	1	1	6	5	2	2	9	10	n/a	109402.9689	n/a
109403.9353	1.283712104	1	72	2	1	1	6	6	2	2	9	10	n/a	109404.269	n/a
109405.2353	1.283711691	1	73	2	1	1	6	7	1	1	9	10	n/a	109405.569	n/a
109406.5358	1.283079649	1	74	2	1	1	6	8	1	2	9	10	n/a	109406.8689	n/a
109407.8358	1.28337185	1	75	2	1	1	6	9	1	1	9	10	n/a	109408.169	n/a
109409.1352	1.284100189	1	76	2	1	1	6	10	1	2	9	10	n/a	109409.469	n/a
