onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1559312284	1.191102982	1	1	1	4	9	1	1	3	3	9	9	n/a	n/a	n/a
1559312285	1.191666842	1	2	1	4	9	1	2	3	3	9	9	n/a	n/a	n/a
1559312286	1.19166398	1	3	1	4	9	1	3	3	3	9	9	n/a	n/a	n/a
1559312288	1.19167304	1	4	1	4	9	1	4	3	3	9	9	n/a	n/a	n/a
1559312289	1.191581964	1	5	1	4	9	1	5	3	3	9	9	n/a	n/a	n/a
1559312290	1.191654921	1	6	1	4	9	1	6	3	3	9	9	n/a	n/a	n/a
1559312291	1.191689968	1	7	1	4	9	1	7	3	3	9	9	n/a	n/a	n/a
1559312292	1.191671848	1	8	1	4	9	1	8	3	3	9	9	n/a	n/a	n/a
1559312294	1.191734076	1	9	1	4	9	1	9	3	3	9	9	n/a	n/a	n/a
1559312295	1.191672087	1	10	1	4	9	1	10	3	3	9	9	n/a	n/a	n/a
1559312296	1.190449953	1	11	1	4	1	2	1	1	1	9	9	n/a	1559312296	n/a
1559312297	1.191726923	1	12	1	4	1	2	2	2	1	9	9	n/a	1559312298	n/a
1559312298	1.191617966	1	13	1	4	1	2	3	1	1	9	9	n/a	1559312299	n/a
1559312300	1.20003891	1	14	1	4	1	2	4	2	1	9	9	n/a	1559312300	n/a
1559312301	1.199944019	1	15	1	4	1	2	5	2	2	9	9	n/a	1559312301	n/a
1559312302	1.191745996	1	16	1	4	1	2	6	2	1	9	9	n/a	1559312302	n/a
1559312303	1.191677809	1	17	1	4	1	2	7	2	1	9	9	n/a	1559312304	n/a
1559312304	1.191661119	1	18	1	4	1	2	8	1	2	9	9	n/a	1559312305	n/a
1559312306	1.191684961	1	19	1	4	1	2	9	2	2	9	9	n/a	1559312306	n/a
1559312307	1.208239079	1	20	1	4	1	2	10	1	2	9	9	n/a	1559312307	n/a
1559312308	1.191610098	1	21	1	4	1	2	11	2	2	9	9	n/a	1559312308	n/a
1559312309	1.191634893	1	22	1	4	1	2	12	2	1	9	9	n/a	1559312310	n/a
1559312310	1.191610813	1	23	1	4	1	2	13	2	2	9	9	n/a	1559312311	n/a
1559312312	1.191679001	1	24	1	4	1	2	14	2	2	9	9	n/a	1559312312	n/a
1559312313	1.191637993	1	25	1	4	1	2	15	2	1	9	9	n/a	1559312313	n/a
1559312314	1.199938059	1	26	1	4	1	2	16	2	1	9	9	n/a	1559312314	n/a
1559312315	1.191617966	1	27	1	4	1	2	17	2	2	9	9	n/a	1559312316	n/a
1559312316	1.191661835	1	28	1	4	1	2	18	1	2	9	9	n/a	1559312317	n/a
1559312318	1.191657066	1	29	1	4	1	2	19	1	2	9	9	n/a	1559312318	n/a
1559312319	1.191603184	1	30	1	4	1	2	20	1	2	9	9	n/a	1559312319	n/a
1559312320	1.191613913	1	31	1	4	1	2	21	1	2	9	9	n/a	1559312320	n/a
1559312321	1.191612005	1	32	1	4	1	2	22	2	2	9	9	n/a	1559312322	n/a
1559312322	1.191666126	1	33	1	4	1	2	23	2	1	9	9	n/a	1559312323	n/a
1559312324	1.191662073	1	34	1	4	1	2	24	2	1	9	9	n/a	1559312324	n/a
1559312325	1.200046062	1	35	1	4	1	2	25	2	1	9	9	n/a	1559312325	n/a
1559312326	1.191627979	1	36	1	4	1	2	26	1	1	9	9	n/a	1559312326	n/a
1559312327	1.191674948	1	37	1	4	1	2	27	1	2	9	9	n/a	1559312328	n/a
1559312329	1.191626072	1	38	1	4	1	2	28	1	2	9	9	n/a	1559312329	n/a
1559312330	1.191735029	1	39	1	4	1	2	29	2	1	9	9	n/a	1559312330	n/a
1559312331	1.191657066	1	40	1	4	1	2	30	1	2	9	9	n/a	1559312331	n/a
1559312332	1.191622019	1	41	1	4	1	2	31	2	1	9	9	n/a	1559312332	n/a
1559312333	1.191606045	1	42	1	4	1	2	32	2	2	9	9	n/a	1559312334	n/a
1559312335	1.191629887	1	43	1	4	9	3	1	3	3	9	9	n/a	n/a	n/a
1559312336	1.191622972	1	44	1	4	9	3	2	3	3	9	9	n/a	n/a	n/a
1559312337	1.191688061	1	45	1	4	9	3	3	3	3	9	9	n/a	n/a	n/a
1559312338	1.191632032	1	46	1	4	9	3	4	3	3	9	9	n/a	n/a	n/a
1559312339	1.191670895	1	47	1	4	9	3	5	3	3	9	9	n/a	n/a	n/a
1559312341	1.191710949	1	48	1	4	9	3	6	3	3	9	9	n/a	n/a	n/a
1559312342	1.19169879	1	49	1	4	9	3	7	3	3	9	9	n/a	n/a	n/a
1559312343	1.191623926	1	50	1	4	9	3	8	3	3	9	9	n/a	n/a	n/a
1559312344	1.191723108	1	51	1	4	9	3	9	3	3	9	9	n/a	n/a	n/a
1559312345	1.191604853	1	52	1	4	9	3	10	3	3	9	9	n/a	n/a	n/a
1559312347	1.191710949	1	53	1	4	3	4	1	1	2	9	9	n/a	1559312347	n/a
1559312348	1.191596031	1	54	1	4	3	4	2	1	1	9	9	n/a	1559312348	n/a
1559312349	1.191662073	1	55	1	4	3	4	3	2	2	9	9	n/a	1559312349	n/a
1559312350	1.199971914	1	56	1	4	3	4	4	2	2	9	9	n/a	1559312350	n/a
1559312351	1.208328009	1	57	1	4	3	4	5	2	2	9	9	n/a	1559312352	n/a
1559312353	1.200031042	1	58	1	4	3	4	6	2	2	9	9	n/a	1559312353	n/a
1559312354	1.191764832	1	59	1	4	3	4	7	1	1	9	9	n/a	1559312354	n/a
1559312355	1.191707134	1	60	1	4	3	4	8	1	1	9	9	n/a	1559312355	n/a
1559312356	1.19161582	1	61	1	4	3	4	9	1	2	9	9	n/a	1559312356	n/a
1559312357	1.20832777	1	62	1	4	3	4	10	1	1	9	9	n/a	1559312358	n/a
1559312359	1.191694975	1	63	1	4	3	4	11	1	2	9	9	n/a	1559312359	n/a
1559312360	1.191670895	1	64	1	4	3	4	12	1	2	9	9	n/a	1559312360	n/a
1559312361	1.191661835	1	65	1	4	3	4	13	2	1	9	9	n/a	1559312361	n/a
1559312362	1.19167304	1	66	1	4	3	4	14	2	2	9	9	n/a	1559312362	n/a
1559312363	1.200124025	1	67	1	4	3	4	15	2	1	9	9	n/a	1559312364	n/a
1559312365	1.200060129	1	68	1	4	3	4	16	1	1	9	9	n/a	1559312365	n/a
1559312366	1.19166398	1	69	1	4	3	4	17	2	2	9	9	n/a	1559312366	n/a
1559312367	1.191674948	1	70	1	4	3	4	18	2	1	9	9	n/a	1559312367	n/a
1559312368	1.191700935	1	71	1	4	9	5	1	3	3	9	9	n/a	n/a	n/a
1559312369	1.191729069	1	72	1	4	9	5	2	3	3	9	9	n/a	n/a	n/a
1559312371	1.191675901	1	73	1	4	9	5	3	3	3	9	9	n/a	n/a	n/a
1559312372	1.191672087	1	74	1	4	9	5	4	3	3	9	9	n/a	n/a	n/a
1559312373	1.19166398	1	75	1	4	9	5	5	3	3	9	9	n/a	n/a	n/a
1559312374	1.191654205	1	76	1	4	9	5	6	3	3	9	9	n/a	n/a	n/a
1559312375	1.191697121	1	77	1	4	9	5	7	3	3	9	9	n/a	n/a	n/a
1559312377	1.191664934	1	78	1	4	9	5	8	3	3	9	9	n/a	n/a	n/a
1559312378	1.191669226	1	79	1	4	9	5	9	3	3	9	9	n/a	n/a	n/a
1559312379	1.19166708	1	80	1	4	9	5	10	3	3	9	9	n/a	n/a	n/a
1559312380	1.20003891	1	81	1	4	5	6	1	1	1	9	9	n/a	1559312381	n/a
1559312381	1.20006299	1	82	1	4	5	6	2	1	2	9	9	n/a	1559312382	n/a
1559312383	1.199999809	1	83	1	4	5	6	3	1	1	9	9	n/a	1559312383	n/a
1559312384	1.200005054	1	84	1	4	5	6	4	1	1	9	9	n/a	1559312384	n/a
1559312385	1.199831963	1	85	1	4	5	6	5	1	2	9	9	n/a	1559312385	n/a
1559312386	1.191664934	1	86	1	4	5	6	6	1	2	9	9	n/a	1559312387	n/a
1559312387	1.200032949	1	87	1	4	5	6	7	2	2	9	9	n/a	1559312388	n/a
1559312389	1.200000048	1	88	1	4	5	6	8	1	2	9	9	n/a	1559312389	n/a
1559312390	1.200040102	1	89	1	4	5	6	9	1	2	9	9	n/a	1559312390	n/a
1559312391	1.19167304	1	90	1	4	5	6	10	2	2	9	9	n/a	1559312391	n/a
1559312392	1.20001483	1	91	1	4	5	6	11	1	1	9	9	n/a	1559312393	n/a
1559312393	1.200001001	1	92	1	4	5	6	12	2	2	9	9	n/a	1559312394	n/a
1559312395	1.199990988	1	93	1	4	5	6	13	2	1	9	9	n/a	1559312395	n/a
1559312396	1.191717863	1	94	1	4	5	6	14	2	1	9	9	n/a	1559312396	n/a
1559312397	1.199991941	1	95	1	4	5	6	15	2	2	9	9	n/a	1559312397	n/a
1559312398	1.20009017	1	96	1	4	5	6	16	1	1	9	9	n/a	1559312399	n/a
1559312400	1.200093985	1	97	1	4	5	6	17	1	2	9	9	n/a	1559312400	n/a
1559312401	1.208415985	1	98	1	4	5	6	18	1	1	9	9	n/a	1559312401	n/a
1559312402	1.199995041	1	99	1	4	5	6	19	2	2	9	9	n/a	1559312402	n/a
1559312403	1.200000048	1	100	1	4	5	6	20	2	1	9	9	n/a	1559312403	n/a
1559312404	1.200058937	1	101	1	4	5	6	21	1	2	9	9	n/a	1559312405	n/a
1559312406	1.208374023	1	102	1	4	5	6	22	2	2	9	9	n/a	1559312406	n/a
1559312407	1.199952126	1	103	1	4	5	6	23	2	2	9	9	n/a	1559312407	n/a
1559312408	1.208358049	1	104	1	4	5	6	24	2	2	9	9	n/a	1559312408	n/a
1559312409	1.200002909	1	105	1	4	5	6	25	1	1	9	9	n/a	1559312410	n/a
1559312410	1.199935913	1	106	1	4	5	6	26	2	2	9	9	n/a	1559312411	n/a
1559312412	1.191637993	1	107	1	4	5	6	27	2	2	9	9	n/a	1559312412	n/a
1559312413	1.200003862	1	108	1	4	5	6	28	1	1	9	9	n/a	1559312413	n/a
1559312414	1.191663027	1	109	1	4	5	6	29	2	2	9	9	n/a	1559312414	n/a
1559312415	1.199995995	1	110	1	4	5	6	30	1	2	9	9	n/a	1559312416	n/a
1559312416	1.200094938	1	111	1	4	5	6	31	1	1	9	9	n/a	1559312417	n/a
1559312418	1.199947119	1	112	1	4	5	6	32	2	2	9	9	n/a	1559312418	n/a
1559312419	1.191456795	1	113	1	4	9	7	1	3	3	9	9	n/a	n/a	n/a
1559312420	1.191663027	1	114	1	4	9	7	2	3	3	9	9	n/a	n/a	n/a
1559312421	1.191617012	1	115	1	4	9	7	3	3	3	9	9	n/a	n/a	n/a
1559312422	1.199973822	1	116	1	4	9	7	4	3	3	9	9	n/a	n/a	n/a
1559312424	1.191668034	1	117	1	4	9	7	5	3	3	9	9	n/a	n/a	n/a
1559312425	1.191649199	1	118	1	4	9	7	6	3	3	9	9	n/a	n/a	n/a
1559312426	1.191606045	1	119	1	4	9	7	7	3	3	9	9	n/a	n/a	n/a
1559312427	1.191610813	1	120	1	4	9	7	8	3	3	9	9	n/a	n/a	n/a
1559312428	1.19167304	1	121	1	4	9	7	9	3	3	9	9	n/a	n/a	n/a
1559312430	1.191725969	1	122	1	4	9	7	10	3	3	9	9	n/a	n/a	n/a
1559312431	1.200074911	1	123	1	4	7	8	1	1	2	9	9	n/a	1559312431	n/a
1559312432	1.208333015	1	124	1	4	7	8	2	1	1	9	9	n/a	1559312432	n/a
1559312433	1.200085878	1	125	1	4	7	8	3	1	2	9	9	n/a	1559312434	n/a
1559312435	1.19994998	1	126	1	4	7	8	4	1	2	9	9	n/a	1559312435	n/a
1559312436	1.208425999	1	127	1	4	7	8	5	1	2	9	9	n/a	1559312436	n/a
1559312437	1.200006008	1	128	1	4	7	8	6	1	1	9	9	n/a	1559312437	n/a
1559312438	1.19167304	1	129	1	4	7	8	7	1	1	9	9	n/a	1559312438	n/a
1559312439	1.208332062	1	130	1	4	7	8	8	1	1	9	9	n/a	1559312440	n/a
1559312441	1.208430052	1	131	1	4	7	8	9	2	2	9	9	n/a	1559312441	n/a
1559312442	1.199944973	1	132	1	4	7	8	10	1	2	9	9	n/a	1559312442	n/a
1559312443	1.20006299	1	133	1	4	7	8	11	1	1	9	9	n/a	1559312443	n/a
1559312444	1.200001001	1	134	1	4	7	8	12	1	2	9	9	n/a	1559312444	n/a
1559312445	1.200004101	1	135	1	4	7	8	13	1	2	9	9	n/a	1559312446	n/a
1559312447	1.191675186	1	136	1	4	7	8	14	2	1	9	9	n/a	1559312447	n/a
1559312448	1.200126886	1	137	1	4	7	8	15	1	2	9	9	n/a	1559312448	n/a
1559312449	1.200065851	1	138	1	4	7	8	16	1	2	9	9	n/a	1559312449	n/a
1559312450	1.200089216	1	139	1	4	7	8	17	2	2	9	9	n/a	1559312451	n/a
1559312451	1.191704035	1	140	1	4	7	8	18	1	2	9	9	n/a	1559312452	n/a
1559312453	1.191748857	1	141	1	4	9	9	1	3	3	9	9	n/a	n/a	n/a
1559312454	1.191680193	1	142	1	4	9	9	2	3	3	9	9	n/a	n/a	n/a
1559312455	1.191608906	1	143	1	4	9	9	3	3	3	9	9	n/a	n/a	n/a
1559312456	1.191758156	1	144	1	4	9	9	4	3	3	9	9	n/a	n/a	n/a
1559312457	1.191660881	1	145	1	4	9	9	5	3	3	9	9	n/a	n/a	n/a
1559312459	1.191704988	1	146	1	4	9	9	6	3	3	9	9	n/a	n/a	n/a
1559312460	1.191672087	1	147	1	4	9	9	7	3	3	9	9	n/a	n/a	n/a
1559312461	1.191674948	1	148	1	4	9	9	8	3	3	9	9	n/a	n/a	n/a
1559312462	1.191754818	1	149	1	4	9	9	9	3	3	9	9	n/a	n/a	n/a
1559312463	1.191659927	1	150	1	4	9	9	10	3	3	9	9	n/a	n/a	n/a
