onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
97537.04897	15.66590008	1	1	1	4	9	1	1	3	3	15	15	n/a	n/a	n/a
97552.91772	15.45172818	1	2	1	4	9	1	2	3	3	15	15	n/a	n/a	n/a
97568.56024	16.26282588	1	3	1	4	9	1	3	3	3	15	15	n/a	n/a	n/a
97585.02055	14.97377598	1	4	1	4	9	1	4	3	3	15	15	n/a	n/a	n/a
97600.19161	15.07021975	1	5	1	4	9	1	5	3	3	15	15	n/a	n/a	n/a
97615.45081	14.86334132	1	6	1	4	9	1	6	3	3	15	15	n/a	n/a	n/a
97630.50519	15.02221988	1	7	1	4	9	1	7	3	3	15	15	n/a	n/a	n/a
97645.71408	14.68433336	1	8	1	4	9	1	8	3	3	15	15	n/a	n/a	n/a
97660.57774	14.53592771	1	9	1	4	9	1	9	3	3	15	15	n/a	n/a	n/a
97675.30038	14.71535875	1	10	1	4	9	1	10	3	3	15	15	n/a	n/a	n/a
97690.28299	15.73348136	1	11	1	4	1	2	1	1	2	15	15	n/a	97694.39709	n/a
97706.22894	16.26626519	1	12	1	4	1	2	2	2	2	15	15	n/a	97710.53049	n/a
97722.70431	15.84850496	1	13	1	4	1	2	3	2	1	15	15	n/a	97726.90193	n/a
97738.76571	15.97034884	1	14	1	4	1	2	4	1	2	15	15	n/a	97742.98946	n/a
97754.9543	15.9818958	1	15	1	4	1	2	5	1	1	15	15	n/a	97759.16862	n/a
97771.1503	15.75282955	1	16	1	4	1	2	6	1	1	15	15	n/a	97775.31616	n/a
97787.11481	15.71878918	1	17	1	4	1	2	7	1	1	15	15	n/a	97791.23336	n/a
97803.03325	15.76271311	1	18	1	4	1	2	8	2	1	15	15	1	97807.23384	2.862225149
97819.00561	15.71051091	1	19	1	4	1	2	9	2	1	15	15	n/a	97823.14206	n/a
97834.91685	15.98543966	1	20	1	4	1	2	10	2	1	15	15	n/a	97839.02968	n/a
97851.1021	16.06343213	1	21	1	4	1	2	11	2	2	15	15	n/a	97855.25472	n/a
97867.3642	15.63271732	1	22	1	4	1	2	12	2	2	15	15	n/a	97871.4976	n/a
97883.19752	15.65208569	1	23	1	4	1	2	13	1	2	15	15	n/a	97887.28207	n/a
97899.04896	15.64619468	1	24	1	4	1	2	14	2	2	15	15	n/a	97903.12659	n/a
97914.89709	15.71457463	1	25	1	4	1	2	15	2	2	15	15	n/a	97919.04139	n/a
97930.81053	15.58235263	1	26	1	4	1	2	16	1	2	15	15	n/a	97934.88164	n/a
97946.59048	15.73896285	1	27	1	4	1	2	17	1	2	15	15	n/a	97950.67789	n/a
97962.52685	15.66724343	1	28	1	4	1	2	18	2	1	15	15	n/a	97966.66349	n/a
97978.39588	15.73472007	1	29	1	4	1	2	19	2	2	15	15	n/a	97982.56488	n/a
97994.32705	15.78930389	1	30	1	4	1	2	20	1	2	15	15	n/a	97998.44249	n/a
98010.31273	15.61944543	1	31	1	4	1	2	21	1	1	15	15	n/a	98014.40989	n/a
98026.12865	15.62192073	1	32	1	4	1	2	22	2	2	15	15	n/a	98030.23476	n/a
98041.95013	15.48166715	1	33	1	4	1	2	23	2	2	15	15	n/a	98046.028	n/a
98057.62903	15.4488947	1	34	1	4	1	2	24	1	2	15	15	n/a	98061.66098	n/a
98073.28291	15.18100194	1	35	1	4	1	2	25	2	1	15	15	n/a	98077.35292	n/a
98088.66015	15.21954351	1	36	1	4	1	2	26	2	1	15	15	n/a	98092.69505	n/a
98104.07479	15.30993639	1	37	1	4	1	2	27	1	2	15	15	n/a	98108.12601	n/a
98119.58882	15.25444053	1	38	1	4	1	2	28	2	1	15	15	n/a	98123.64327	n/a
98135.03548	15.2887002	1	39	1	4	1	2	29	2	1	15	15	n/a	98139.11369	n/a
98150.52926	15.41034298	1	40	1	4	1	2	30	2	2	15	15	n/a	98154.58625	n/a
98166.14123	15.09907925	1	41	1	4	1	2	31	2	1	15	15	n/a	98170.20791	n/a
98181.44185	14.48324987	1	42	1	4	1	2	32	2	2	15	15	n/a	98185.22191	n/a
98196.12282	13.8072117	1	43	1	4	9	3	1	3	3	15	15	n/a	n/a	n/a
98210.10419	14.00260177	1	44	1	4	9	3	2	3	3	15	15	n/a	n/a	n/a
98224.28723	13.97249653	1	45	1	4	9	3	3	3	3	15	15	n/a	n/a	n/a
98238.43624	13.8679972	1	46	1	4	9	3	4	3	3	15	15	n/a	n/a	n/a
98252.4853	13.55024541	1	47	1	4	9	3	5	3	3	15	15	n/a	n/a	n/a
98266.20069	13.56629477	1	48	1	4	9	3	6	3	3	15	15	n/a	n/a	n/a
98279.9356	13.51932194	1	49	1	4	9	3	7	3	3	15	15	n/a	n/a	n/a
98293.64098	13.43392612	1	50	1	4	9	3	8	3	3	15	15	n/a	n/a	n/a
98307.25222	13.3890748	1	51	1	4	9	3	9	3	3	15	15	n/a	n/a	n/a
98320.82048	13.59617746	1	52	1	4	9	3	10	3	3	15	15	n/a	n/a	n/a
98334.64696	15.52228509	1	53	1	4	3	4	1	1	2	15	15	n/a	98338.75372	n/a
98350.37057	17.28201197	1	54	1	4	3	4	2	1	2	15	15	n/a	98354.85479	n/a
98367.88131	17.68551149	1	55	1	4	3	4	3	2	1	15	15	n/a	98372.60761	n/a
98385.80762	17.61398945	1	56	1	4	3	4	4	1	1	15	15	n/a	98390.53635	n/a
98403.65484	17.61709651	1	57	1	4	3	4	5	1	2	15	15	n/a	98408.38859	n/a
98421.50491	17.71872946	1	58	1	4	3	4	6	1	1	15	15	n/a	98426.25739	n/a
98439.457	17.75451089	1	59	1	4	3	4	7	2	1	15	15	n/a	98444.19258	n/a
