onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
283100.8303	1.283918422	1	1	2	4	9	1	1	3	3	9	9	n/a	n/a	n/a
283102.1309	1.282638353	1	2	2	4	9	1	2	3	3	9	9	n/a	n/a	n/a
283103.4296	1.284059099	1	3	2	4	9	1	3	3	3	9	9	n/a	n/a	n/a
283104.7299	1.285531067	1	4	2	4	9	1	4	3	3	9	9	n/a	n/a	n/a
283106.0298	1.283792921	1	5	2	4	9	1	5	3	3	9	9	n/a	n/a	n/a
283107.3298	1.284068972	1	6	2	4	9	1	6	3	3	9	9	n/a	n/a	n/a
283108.6308	1.282951228	1	7	2	4	9	1	7	3	3	9	9	n/a	n/a	n/a
283109.9301	1.283478076	1	8	2	4	9	1	8	3	3	9	9	n/a	n/a	n/a
283111.2301	1.283511514	1	9	2	4	9	1	9	3	3	9	9	n/a	n/a	n/a
283112.5302	1.283265248	1	10	2	4	9	1	10	3	3	9	9	n/a	n/a	n/a
283113.868	1.295805607	1	11	2	4	1	2	1	2	2	9	9	1	283114.2151	0.617784684
283115.1805	1.284675472	1	12	2	4	1	2	2	1	2	9	10	0	283115.5134	0.519298803
283116.48	1.285308067	1	13	2	4	1	2	3	2	1	9	10	n/a	283116.8134	n/a
283117.7802	1.299833334	1	14	2	4	1	2	4	2	1	9	11	0	283118.1135	0.651004677
283119.0966	1.283751083	1	15	2	4	1	2	5	1	2	9	11	n/a	283119.4305	n/a
283120.3968	1.283220114	1	16	2	4	1	2	6	1	1	9	11	1	283120.7301	0.750371996
283121.6966	1.283383243	1	17	2	4	1	2	7	2	1	9	11	1	283122.03	0.749872434
283122.9968	1.283196938	1	18	2	4	1	2	8	1	2	9	10	1	283123.33	0.75249969
283124.2967	1.283073585	1	19	2	4	1	2	9	2	2	9	10	1	283124.6302	0.799837205
283125.5966	1.283285255	1	20	2	4	1	2	10	1	1	9	10	1	283125.9299	0.76679697
283126.8965	1.283569727	1	21	2	4	1	2	11	1	2	9	9	1	283127.2299	0.733661585
283128.1969	1.283061119	1	22	2	4	1	2	12	1	1	9	9	1	283128.5301	0.799452538
283129.4966	1.283743766	1	23	2	4	1	2	13	2	1	9	10	0	283129.8302	0.766480384
283130.7966	1.283395326	1	24	2	4	1	2	14	1	2	9	10	1	283131.1299	0.883821567
283132.0966	1.283157715	1	25	2	4	1	2	15	1	1	9	10	1	283132.4299	0.868941445
283133.3968	1.283163264	1	26	2	4	1	2	16	2	2	9	9	1	283133.7303	0.849916921
283134.6967	1.283317115	1	27	2	4	1	2	17	2	1	9	9	1	283135.03	0.583545634
283135.9965	1.283420704	1	28	2	4	1	2	18	1	2	9	9	1	283136.33	0.550178853
283137.2964	1.283399538	1	29	2	4	1	2	19	2	2	9	8	1	283137.6301	0.636467265
283138.5966	1.283863	1	30	2	4	1	2	20	2	1	9	8	1	283138.9299	0.900658944
283139.8967	1.283281017	1	31	2	4	1	2	21	2	2	9	8	1	283140.2297	0.866525703
283141.1963	1.300204128	1	32	2	4	1	2	22	1	1	9	7	1	283141.5298	0.717126232
283142.5134	1.282603002	1	33	2	4	1	2	23	2	2	9	7	1	283142.8465	0.683574944
283143.8134	1.283244776	1	34	2	4	1	2	24	1	1	9	7	1	283144.1465	0.566806928
283145.1134	1.283253996	1	35	2	4	1	2	25	2	2	9	6	1	283145.4479	0.632273543
283146.4134	1.283685274	1	36	2	4	1	2	26	2	2	9	6	0	283146.7469	0.950471982
283147.7133	1.283237989	1	37	2	4	1	2	27	2	2	9	7	1	283148.0465	0.7191937011
283149.0133	1.283401682	1	38	2	4	1	2	28	1	2	9	8	0	283149.347	0.849560687
283150.3138	1.282901712	1	39	2	4	1	2	29	1	1	9	9	0	283150.6466	0.449827004
283151.6134	1.283590532	1	40	2	4	1	2	30	2	1	9	10	0	283151.9467	0.516886023
283152.913	1.302309975	1	41	2	4	1	2	31	2	2	9	10	1	283153.2466	0.617021706
283154.2299	1.283430408	1	42	2	4	1	2	32	1	2	9	10	n/a	283154.5633	n/a
283155.5485	1.281640765	1	43	2	4	9	3	1	3	3	9	10	n/a	n/a	n/a
283156.8469	1.28316221	1	44	2	4	9	3	2	3	3	9	10	n/a	n/a	n/a
283158.1466	1.283390874	1	45	2	4	9	3	3	3	3	9	10	n/a	n/a	n/a
283159.4467	1.28323988	1	46	2	4	9	3	4	3	3	9	10	n/a	n/a	n/a
283160.7468	1.283263933	1	47	2	4	9	3	5	3	3	9	10	n/a	n/a	n/a
283162.0467	1.283480775	1	48	2	4	9	3	6	3	3	9	10	n/a	n/a	n/a
283163.3467	1.283288162	1	49	2	4	9	3	7	3	3	9	10	n/a	n/a	n/a
283164.6467	1.283042711	1	50	2	4	9	3	8	3	3	9	10	n/a	n/a	n/a
283165.9466	1.283354178	1	51	2	4	9	3	9	3	3	9	10	n/a	n/a	n/a
283167.2468	1.283214521	1	52	2	4	9	3	10	3	3	9	10	n/a	n/a	n/a
283168.5635	1.299725015	1	53	2	4	3	4	1	1	1	9	10	n/a	283168.9131	n/a
283169.8801	1.299796864	1	54	2	4	3	4	2	1	1	9	10	1	283170.2297	0.834828894
283171.1969	1.282971253	1	55	2	4	3	4	3	2	2	9	9	1	283171.5297	0.716441194
283172.4965	1.283697355	1	56	2	4	3	4	4	2	1	9	9	1	283172.8315	0.764980307
283173.7967	1.283284368	1	57	2	4	3	4	5	1	1	9	9	1	283174.1297	0.78365097
283175.0965	1.283183582	1	58	2	4	3	4	6	1	2	9	9	1	283175.4299	0.933414235
283176.3966	1.283310178	1	59	2	4	3	4	7	2	2	9	8	n/a	283176.73	n/a
283177.6966	1.300225177	1	60	2	4	3	4	8	1	1	9	8	1	283178.0466	0.849487799
283179.0138	1.282791493	1	61	2	4	3	4	9	2	1	9	9	0	283179.3466	0.754083166
283180.3134	1.28317465	1	62	2	4	3	4	10	2	2	9	9	1	283180.6467	0.619180016
283181.6134	1.299999532	1	63	2	4	3	4	11	1	1	9	9	1	283181.9634	0.550041676
283182.9299	1.283424672	1	64	2	4	3	4	12	2	1	9	8	1	283183.2651	0.51479769
283184.2301	1.299758405	1	65	2	4	3	4	13	1	2	9	8	1	283184.563	0.584182897
283185.5461	1.300450043	1	66	2	4	3	4	14	2	2	9	8	1	283185.8799	0.767057395
283186.8632	1.283435713	1	67	2	4	3	4	15	2	2	9	8	1	283187.1966	0.917046788
283188.1633	1.316619118	1	68	2	4	3	4	16	2	1	9	7	n/a	283188.496	n/a
283189.4967	1.299499199	1	69	2	4	3	4	17	1	2	9	7	n/a	283189.8465	n/a
283190.8135	1.283189844	1	70	2	4	3	4	18	1	1	9	7	n/a	283191.147	n/a
283192.1222	1.274433632	1	71	2	4	9	5	1	3	3	9	7	n/a	n/a	n/a
283193.4135	1.282945036	1	72	2	4	9	5	2	3	3	9	7	n/a	n/a	n/a
283194.7135	1.283114988	1	73	2	4	9	5	3	3	3	9	7	n/a	n/a	n/a
283196.0133	1.283298797	1	74	2	4	9	5	4	3	3	9	7	n/a	n/a	n/a
283197.3132	1.283382684	1	75	2	4	9	5	5	3	3	9	7	n/a	n/a	n/a
283198.6133	1.283085315	1	76	2	4	9	5	6	3	3	9	7	n/a	n/a	n/a
283199.9134	1.283365426	1	77	2	4	9	5	7	3	3	9	7	n/a	n/a	n/a
283201.2132	1.28343606	1	78	2	4	9	5	8	3	3	9	7	n/a	n/a	n/a
283202.5133	1.283094879	1	79	2	4	9	5	9	3	3	9	7	n/a	n/a	n/a
283203.8133	1.284983679	1	80	2	4	9	5	10	3	3	9	7	n/a	n/a	n/a
283205.1298	1.283578798	1	81	2	4	5	6	1	2	1	9	7	n/a	283205.4637	n/a
283206.4302	1.283161318	1	82	2	4	5	6	2	1	2	9	7	n/a	283206.7659	n/a
283207.7301	1.283210053	1	83	2	4	5	6	3	1	1	9	7	1	283208.0628	0.517807452
283209.03	1.283341171	1	84	2	4	5	6	4	1	2	9	7	1	283209.3632	0.717133681
283210.3299	1.2835164	1	85	2	4	5	6	5	2	2	9	6	1	283210.663	0.733060061
283211.6302	1.2830978	1	86	2	4	5	6	6	1	2	9	6	1	283211.9632	0.816912357
283212.93	1.283135632	1	87	2	4	5	6	7	2	2	9	6	1	283213.2649	0.882251776
283214.23	1.283108279	1	88	2	4	5	6	8	1	1	9	5	1	283214.5633	0.685418927
283215.53	1.283303762	1	89	2	4	5	6	9	1	2	9	5	1	283215.8631	0.750053675
283216.83	1.283349853	1	90	2	4	5	6	10	1	2	9	5	1	283217.1634	0.783523667
283218.1295	1.283824824	1	91	2	4	5	6	11	2	1	9	4	1	283218.4632	0.883386666
